Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006708,0.007100,0.001716,0.000839,0.000145,0.009797,0.000246,0.000245,0.168146,0.062346,0.062344,0.010559,0.000001,0.257808,0.000070,0.130762,0.028382,0.006580,0.001841,0.000458,0.000000,0.041435,0.011174,0.007947,0.002092,0.257846,0.257916,0.258215,0.258215,7.712901,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.896966,1.324625,,0.896966,0.896966,,1.012058,,,,,,,,,,,,,,,,,,,,,,,,0.896966,1.324625,1.012058,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006801,0.007028,0.001763,0.000693,0.000174,0.009649,0.000257,0.000256,0.169492,0.057161,0.057159,0.010482,0.000001,0.254525,0.000071,0.132289,0.028805,0.006304,0.001673,0.000473,0.000000,0.040142,0.009799,0.005941,0.001297,0.254566,0.254636,0.254924,0.254924,7.712901,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.913069,1.329863,,0.913069,,0.913069,1.005319,,,,,,,,,,,,,,,,,,,,,,,,0.913069,1.329863,1.005319,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000000,0.020509,0.015260,0.004583,0.002307,0.000265,0.022411,0.000634,0.000632,0.347650,0.133857,0.133854,0.021895,0.000002,0.551071,0.000084,0.266784,0.063238,0.013701,0.003589,0.000773,0.000000,0.091289,0.025100,0.012727,0.004816,0.551109,0.551193,0.551480,0.551480,16.773850,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871898,1.113585,,0.871898,0.871898,,1.022912,,,,,,,,,,,,,,,,,,,,,,,,0.871898,1.113585,1.022912,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020442,0.014990,0.004310,0.002388,0.000492,0.022047,0.000743,0.000742,0.352587,0.137798,0.137795,0.021789,0.000002,0.555694,0.000071,0.270457,0.061989,0.015391,0.003985,0.000886,0.000000,0.092830,0.025526,0.015211,0.004381,0.555748,0.555819,0.556105,0.556105,16.773850,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851597,1.109489,,0.851597,,0.851597,0.999203,,,,,,,,,,,,,,,,,,,,,,,,0.851597,1.109489,0.999203,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000018,0.000014,0.000013,0.000011,0.000009,0.000047,0.000013,0.000012,0.000379,0.000111,0.000110,0.000019,0.000000,0.000596,0.000008,0.000161,0.000073,0.000043,0.000049,0.000041,0.000000,0.000040,0.000026,0.000022,0.000019,0.000624,0.000631,0.000638,0.000638,0.007123,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.162165,1.558863,1.162165,,1.162165,,1.030856,,,,,,,,,,,,,,1.162165,1.558863,1.030856,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000013,0.000010,0.000009,0.000046,0.000015,0.000015,0.000672,0.000115,0.000114,0.000023,0.000000,0.000890,0.000017,0.000365,0.000131,0.000079,0.000058,0.000042,0.000000,0.000042,0.000026,0.000023,0.000022,0.000907,0.000915,0.000922,0.000922,0.007123,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.164025,1.583544,2.164025,,,2.164025,0.988106,,,,,,,,,,,,,,2.164025,1.583544,0.988106,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000111,0.000102,0.000024,0.000032,0.000013,0.000159,0.000029,0.000029,0.002677,0.001060,0.001059,0.000264,0.000000,0.004295,0.000013,0.002039,0.000362,0.000126,0.000066,0.000069,0.000000,0.000783,0.000188,0.000049,0.000039,0.004315,0.004328,0.004358,0.004358,0.080477,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.845386,1.516124,0.845386,,0.845386,,0.998933,,,,,,,,,,,,,,0.845386,1.516124,0.998933,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000110,0.000083,0.000023,0.000016,0.000011,0.000135,0.000028,0.000028,0.004602,0.001032,0.001031,0.000254,0.000000,0.006153,0.000014,0.003566,0.000639,0.000206,0.000102,0.000082,0.000000,0.000753,0.000181,0.000069,0.000036,0.006174,0.006188,0.006218,0.006218,0.080477,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.940638,1.525605,0.940638,,,0.940638,0.987621,,,,,,,,,,,,,,0.940638,1.525605,0.987621,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000226,0.000252,0.000041,0.000014,0.000010,0.000315,0.000014,0.000013,0.007363,0.001794,0.001793,0.000532,0.000000,0.010228,0.000017,0.005798,0.001132,0.000244,0.000132,0.000093,0.000000,0.001411,0.000295,0.000063,0.000042,0.010255,0.010273,0.010324,0.010324,0.207642,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.581357,2.095201,0.581357,,0.581357,,0.998187,,,,,,,,,,,,,,0.581357,2.095201,0.998187,,,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000001,0.000249,0.000191,0.000045,0.000014,0.000010,0.000258,0.000016,0.000015,0.013067,0.001526,0.001525,0.000513,0.000000,0.015601,0.000020,0.010564,0.001751,0.000470,0.000176,0.000110,0.000000,0.001105,0.000317,0.000076,0.000031,0.015628,0.015645,0.015698,0.015698,0.207642,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.595559,2.082237,0.595559,,,0.595559,0.992881,,,,,,,,,,,,,,0.595559,2.082237,0.992881,,,,
