Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000019,0.000013,0.000010,0.000010,0.000051,0.000012,0.000011,0.000467,0.000155,0.000154,0.000026,0.000000,0.000726,0.000008,0.000234,0.000090,0.000045,0.000056,0.000039,0.000000,0.000081,0.000030,0.000022,0.000019,0.000746,0.000754,0.000761,0.000761,0.007435,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.944969,1.493380,0.944969,,0.944969,,1.000698,,,,,,,,,,,,0.944969,1.493380,1.000698,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000028,0.000018,0.000011,0.000009,0.000009,0.000046,0.000013,0.000012,0.000871,0.000137,0.000137,0.000027,0.000000,0.001130,0.000008,0.000512,0.000166,0.000070,0.000069,0.000040,0.000000,0.000065,0.000030,0.000022,0.000019,0.001149,0.001157,0.001165,0.001165,0.007435,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.708046,1.517024,1.708046,,,1.708046,0.984922,,,,,,,,,,,,1.708046,1.517024,0.984922,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000179,0.000118,0.000034,0.000015,0.000011,0.000179,0.000022,0.000022,0.004664,0.001826,0.001825,0.000439,0.000000,0.007326,0.000022,0.003762,0.000555,0.000173,0.000087,0.000088,0.000000,0.001404,0.000305,0.000089,0.000039,0.007360,0.007382,0.007428,0.007428,0.084848,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.500802,1.438020,0.500802,,0.500802,,1.008581,,,,,,,,,,,,0.500802,1.438020,1.008581,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000001,0.000179,0.000123,0.000052,0.000016,0.000012,0.000202,0.000023,0.000023,0.008986,0.001771,0.001770,0.000454,0.000000,0.011583,0.000021,0.007559,0.000878,0.000277,0.000104,0.000110,0.000000,0.001345,0.000295,0.000099,0.000040,0.011611,0.011629,0.011673,0.011673,0.084848,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.501398,1.447012,0.501398,,,0.501398,0.988195,,,,,,,,,,,,0.501398,1.447012,0.988195,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000457,0.000723,0.000092,0.000018,0.000013,0.000837,0.000021,0.000020,0.022222,0.005200,0.005198,0.001767,0.000001,0.030450,0.000032,0.018255,0.003316,0.000355,0.000152,0.000140,0.000000,0.004032,0.000944,0.000143,0.000087,0.030494,0.030526,0.030609,0.030609,0.221208,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.194826,1.966714,0.194826,,0.194826,,0.991792,,,,,,,,,,,,0.194826,1.966714,0.991792,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000457,0.000739,0.000085,0.000020,0.000014,0.000858,0.000019,0.000018,0.028344,0.005207,0.005206,0.001842,0.000001,0.036882,0.000032,0.022930,0.004468,0.000609,0.000242,0.000176,0.000000,0.004118,0.000948,0.000123,0.000105,0.036920,0.036952,0.037035,0.037035,0.221208,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.252856,1.954545,0.252856,,,0.252856,0.994520,,,,,,,,,,,,0.252856,1.954545,0.994520,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000609,0.001222,0.000149,0.000027,0.000017,0.001415,0.000031,0.000030,0.032405,0.006772,0.006770,0.003007,0.000002,0.044288,0.000032,0.025372,0.005936,0.000649,0.000220,0.000215,0.000000,0.004946,0.001446,0.000259,0.000125,0.044330,0.044362,0.044459,0.044459,0.421534,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.273754,1.520694,,,0.273754,,0.994607,,,,,,,,,,,,0.273754,1.520694,0.994607,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000616,0.001235,0.000170,0.000047,0.000018,0.001452,0.000036,0.000035,0.039350,0.006575,0.006573,0.002976,0.000001,0.051269,0.000033,0.030639,0.007358,0.000876,0.000304,0.000257,0.000000,0.004809,0.001436,0.000218,0.000118,0.051307,0.051340,0.051420,0.051420,0.421534,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.316067,1.530065,,,,0.316067,1.022843,,,,,,,,,,,,0.316067,1.530065,1.022843,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.002019,0.003283,0.000713,0.000134,0.000044,0.004156,0.000062,0.000061,0.075045,0.017320,0.017318,0.007628,0.000001,0.106245,0.000049,0.061466,0.010272,0.002320,0.000483,0.000448,0.000000,0.012687,0.003329,0.001015,0.000308,0.106288,0.106338,0.106405,0.106405,0.901390,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.460465,1.456562,,0.460465,0.460465,,1.004385,,,,,,,,,,,,0.460465,1.456562,1.004385,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001994,0.003289,0.000664,0.000114,0.000036,0.004105,0.000059,0.000058,0.081488,0.017181,0.017179,0.007679,0.000002,0.112504,0.000034,0.066190,0.011564,0.002690,0.000563,0.000463,0.000000,0.012542,0.003313,0.001028,0.000295,0.112553,0.112587,0.112669,0.112669,0.901390,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.422892,1.448020,,0.422892,,0.422892,0.948881,,,,,,,,,,,,0.422892,1.448020,0.948881,,,,
