Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000027,0.000020,0.000012,0.000010,0.000009,0.000052,0.000011,0.000011,0.000483,0.000138,0.000138,0.000027,0.000000,0.000736,0.000008,0.000238,0.000092,0.000045,0.000054,0.000039,0.000000,0.000065,0.000032,0.000023,0.000019,0.000756,0.000764,0.000771,0.000771,0.007447,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.981361,1.491110,0.981361,,0.981361,,1.052071,,,,,,,,,,0.981361,1.491110,1.052071,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000028,0.000018,0.000011,0.000009,0.000009,0.000047,0.000020,0.000019,0.000846,0.000137,0.000136,0.000027,0.000000,0.001105,0.000008,0.000507,0.000182,0.000067,0.000068,0.000040,0.000000,0.000065,0.000031,0.000021,0.000019,0.001124,0.001132,0.001139,0.001139,0.007447,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.760530,1.514719,1.760530,,,1.760530,0.992679,,,,,,,,,,1.760530,1.514719,0.992679,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000169,0.000145,0.000034,0.000017,0.000012,0.000208,0.000021,0.000021,0.004747,0.001798,0.001797,0.000417,0.000000,0.007317,0.000020,0.003788,0.000588,0.000185,0.000077,0.000085,0.000000,0.001371,0.000327,0.000070,0.000038,0.007345,0.007366,0.007408,0.007408,0.085367,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.498280,1.429283,0.498280,,0.498280,,1.000871,,,,,,,,,,0.498280,1.429283,1.000871,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000001,0.000172,0.000126,0.000037,0.000017,0.000012,0.000191,0.000019,0.000018,0.009272,0.001796,0.001795,0.000423,0.000000,0.011850,0.000039,0.007807,0.000906,0.000315,0.000104,0.000135,0.000000,0.001329,0.000348,0.000079,0.000042,0.011884,0.011907,0.011955,0.011955,0.085367,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.495302,1.438221,0.495302,,,0.495302,0.999789,,,,,,,,,,0.495302,1.438221,0.999789,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000438,0.000738,0.000099,0.000020,0.000014,0.000864,0.000021,0.000020,0.023176,0.005452,0.005450,0.001747,0.000002,0.031659,0.000032,0.019094,0.003403,0.000358,0.000167,0.000146,0.000000,0.004328,0.000906,0.000148,0.000080,0.031698,0.031729,0.031826,0.031826,0.222869,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.188729,1.952050,0.188729,,0.188729,,0.998967,,,,,,,,,,0.188729,1.952050,0.998967,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000458,0.000742,0.000086,0.000019,0.000014,0.000861,0.000021,0.000021,0.029411,0.005483,0.005482,0.001912,0.000001,0.038321,0.000033,0.023867,0.004488,0.000620,0.000221,0.000169,0.000000,0.004389,0.000892,0.000125,0.000076,0.038366,0.038399,0.038480,0.038480,0.222869,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.247522,1.939972,0.247522,,,0.247522,1.011542,,,,,,,,,,0.247522,1.939972,1.011542,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000617,0.001262,0.000171,0.000032,0.000017,0.001483,0.000044,0.000043,0.032520,0.006985,0.006984,0.003059,0.000002,0.045391,0.000032,0.025394,0.005949,0.000690,0.000222,0.000236,0.000000,0.005089,0.001507,0.000274,0.000131,0.045434,0.045466,0.045547,0.045547,0.423067,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.274494,1.515185,,,0.274494,,1.021714,,,,,,,,,,0.274494,1.515185,1.021714,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000658,0.001237,0.000172,0.000029,0.000018,0.001443,0.000032,0.000031,0.038062,0.006762,0.006761,0.002975,0.000001,0.050078,0.000033,0.029382,0.007268,0.000848,0.000327,0.000259,0.000000,0.004891,0.001499,0.000263,0.000133,0.050121,0.050155,0.050235,0.050235,0.423067,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.314905,1.524521,,,,0.314905,0.995588,,,,,,,,,,0.314905,1.524521,0.995588,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001998,0.003232,0.000673,0.000120,0.000034,0.004042,0.000055,0.000054,0.074980,0.016799,0.016797,0.007587,0.000002,0.105505,0.000034,0.061200,0.010619,0.002249,0.000426,0.000411,0.000000,0.012283,0.003320,0.000951,0.000270,0.105545,0.105578,0.105677,0.105677,0.900665,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.462099,1.457734,,0.462099,0.462099,,1.001051,,,,,,,,,,0.462099,1.457734,1.001051,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001997,0.003323,0.000721,0.000109,0.000039,0.004187,0.000057,0.000056,0.081430,0.017580,0.017578,0.007735,0.000002,0.113078,0.000034,0.066194,0.011520,0.002637,0.000542,0.000483,0.000000,0.012726,0.003362,0.001242,0.000297,0.113122,0.113156,0.113238,0.113238,0.900665,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.435897,1.449184,,0.435897,,0.435897,0.982997,,,,,,,,,,0.435897,1.449184,0.982997,,,,
