Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006734,0.007096,0.001729,0.000952,0.000143,0.009891,0.000201,0.000200,0.167009,0.056949,0.056947,0.010507,0.000001,0.251403,0.000083,0.129718,0.029867,0.005866,0.001509,0.000399,0.000000,0.039394,0.009973,0.006063,0.001532,0.251437,0.251521,0.251799,0.251799,7.699478,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919033,1.326934,,0.919033,0.919033,,1.011189,,,,,,,,,,,,,,,,,,0.919033,1.326934,1.011189,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006496,0.007027,0.001647,0.000529,0.000127,0.009315,0.000253,0.000253,0.168441,0.057632,0.057630,0.010372,0.000001,0.252714,0.000069,0.131927,0.028237,0.006261,0.001596,0.000406,0.000000,0.039673,0.009713,0.006169,0.002075,0.252751,0.252820,0.253117,0.253117,7.699478,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.916901,1.332181,,0.916901,,0.916901,1.002380,,,,,,,,,,,,,,,,,,0.916901,1.332181,1.002380,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020561,0.015039,0.004149,0.001865,0.000541,0.021596,0.000787,0.000785,0.348108,0.133597,0.133595,0.021816,0.000001,0.547902,0.000072,0.264531,0.061686,0.017786,0.003924,0.000797,0.000000,0.090034,0.024721,0.014792,0.004344,0.547940,0.548012,0.548318,0.548318,16.651926,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.880631,1.121738,,0.880631,0.880631,,1.027234,,,,,,,,,,,,,,,,,,0.880631,1.121738,1.027234,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020448,0.014948,0.004127,0.002358,0.000387,0.021816,0.000724,0.000722,0.351774,0.133455,0.133453,0.021526,0.000001,0.549760,0.000070,0.268588,0.063568,0.014968,0.003800,0.000895,0.000000,0.090430,0.024684,0.014075,0.004487,0.549800,0.549869,0.550152,0.550152,16.651926,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.872429,1.117612,,0.872429,,0.872429,1.012688,,,,,,,,,,,,,,,,,,0.872429,1.117612,1.012688,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000013,0.000013,0.000010,0.000008,0.000045,0.000012,0.000012,0.000354,0.000117,0.000116,0.000019,0.000000,0.000557,0.000009,0.000160,0.000070,0.000041,0.000047,0.000038,0.000000,0.000040,0.000028,0.000023,0.000017,0.000574,0.000582,0.000588,0.000588,0.007108,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.181372,1.562142,1.181372,,1.181372,,0.966174,,,,,,,,,,1.181372,1.562142,0.966174,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000012,0.000010,0.000009,0.000045,0.000019,0.000018,0.000660,0.000109,0.000108,0.000020,0.000000,0.000869,0.000013,0.000358,0.000134,0.000068,0.000054,0.000042,0.000000,0.000042,0.000025,0.000022,0.000017,0.000887,0.000901,0.000906,0.000906,0.007108,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,2.176643,1.586875,2.176643,,,2.176643,0.976023,,,,,,,,,,2.176643,1.586875,0.976023,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000127,0.000130,0.000090,0.000016,0.000012,0.000238,0.000027,0.000027,0.002711,0.001107,0.001106,0.000247,0.000000,0.004439,0.000012,0.002016,0.000435,0.000119,0.000063,0.000070,0.000000,0.000822,0.000194,0.000052,0.000038,0.004457,0.004470,0.004501,0.004501,0.079386,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.848314,1.536962,0.848314,,0.848314,,1.035200,,,,,,,,,,0.848314,1.536962,1.035200,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000126,0.000143,0.000032,0.000015,0.000011,0.000200,0.000028,0.000027,0.004680,0.001103,0.001103,0.000252,0.000000,0.006397,0.000014,0.003531,0.000701,0.000202,0.000110,0.000098,0.000000,0.000803,0.000204,0.000061,0.000038,0.006420,0.006433,0.006465,0.006465,0.079386,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.980549,1.546574,0.980549,,,0.980549,1.070326,,,,,,,,,,0.980549,1.546574,1.070326,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000239,0.000238,0.000042,0.000014,0.000010,0.000304,0.000013,0.000013,0.007486,0.001827,0.001826,0.000527,0.000000,0.010408,0.000018,0.005882,0.001145,0.000246,0.000124,0.000079,0.000000,0.001424,0.000316,0.000069,0.000042,0.010435,0.010453,0.010504,0.010504,0.205064,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.574094,2.121541,0.574094,,0.574094,,1.002884,,,,,,,,,,0.574094,2.121541,1.002884,,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000237,0.000277,0.000049,0.000014,0.000009,0.000349,0.000013,0.000013,0.015168,0.001815,0.001814,0.000543,0.000001,0.018122,0.000017,0.011761,0.002666,0.000437,0.000201,0.000104,0.000000,0.001405,0.000287,0.000082,0.000052,0.018146,0.018163,0.018213,0.018213,0.205064,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.534188,2.108413,0.534188,,,0.534188,1.033268,,,,,,,,,,0.534188,2.108413,1.033268,,,,
