Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,96,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.004034,0.008763,0.001140,0.000253,0.000176,0.010304,0.000379,0.000378,0.166004,0.039004,0.039003,0.014610,0.000001,0.234316,0.000121,0.128448,0.031667,0.003775,0.001504,0.000612,0.000000,0.029835,0.006977,0.001619,0.000631,0.234364,0.234484,0.234762,0.234762,15.152073,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999438,0.674277,,0.999438,0.999438,,1.025254,,,,,,,,,,,,,,,,,,,,,0.999438,0.674277,1.025254,,,,
5,conesHalfSize,FLOAT,96,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.004090,0.008770,0.001186,0.000279,0.000220,0.010454,0.000632,0.000631,0.166891,0.040555,0.040553,0.014657,0.000001,0.237295,0.000122,0.129024,0.031707,0.003993,0.001565,0.000634,0.000000,0.030704,0.007262,0.001855,0.000711,0.237346,0.237468,0.237777,0.237777,15.152073,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995147,0.676944,,0.995147,,0.995147,1.021989,,,,,,,,,,,,,,,,,,,,,0.995147,0.676944,1.021989,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000000,0.009784,0.016459,0.003206,0.000729,0.000347,0.020742,0.000634,0.000633,0.344104,0.085464,0.085462,0.028582,0.000001,0.489437,0.000123,0.262386,0.065504,0.012078,0.002937,0.001129,0.000000,0.063003,0.016863,0.004122,0.001456,0.489489,0.489613,0.489889,0.489889,25.380313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.966831,0.735968,,0.966831,0.966831,,1.007607,,,,,,,,,,,,,,,,,,,,,0.966831,0.735968,1.007607,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.009839,0.016485,0.003090,0.000699,0.000301,0.020596,0.000541,0.000539,0.343666,0.082823,0.082821,0.028422,0.000001,0.485842,0.000125,0.261749,0.065666,0.011972,0.003052,0.001216,0.000000,0.060883,0.016338,0.004207,0.001448,0.485887,0.486012,0.486300,0.486300,25.380313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.980220,0.733261,,0.980220,,0.980220,1.005753,,,,,,,,,,,,,,,,,,,,,0.980220,0.733261,1.005753,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000045,0.000054,0.000047,0.000045,0.000043,0.000192,0.000038,0.000037,0.001018,0.000339,0.000338,0.000094,0.000000,0.001738,0.000041,0.000341,0.000217,0.000153,0.000142,0.000152,0.000000,0.000117,0.000076,0.000070,0.000073,0.001758,0.001799,0.001808,0.001808,0.012760,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.924784,0.870217,0.924784,,0.924784,,2.325435,,,,,,,,,,,,0.924784,0.870217,2.325435,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000045,0.000051,0.000045,0.000044,0.000042,0.000184,0.000036,0.000035,0.001602,0.000326,0.000325,0.000097,0.000000,0.002295,0.000040,0.000709,0.000334,0.000211,0.000167,0.000158,0.000000,0.000106,0.000074,0.000071,0.000071,0.002318,0.002358,0.002367,0.002367,0.012760,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.423350,0.883994,1.423350,,,1.423350,1.667659,,,,,,,,,,,,1.423350,0.883994,1.667659,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000125,0.000136,0.000074,0.000058,0.000052,0.000319,0.000067,0.000067,0.002953,0.000945,0.000942,0.000221,0.000000,0.004635,0.000046,0.001510,0.000722,0.000371,0.000202,0.000158,0.000000,0.000496,0.000214,0.000129,0.000110,0.004656,0.004702,0.004747,0.004747,0.125665,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.890724,0.970939,0.890724,,0.890724,,1.146485,,,,,,,,,,,,0.890724,0.970939,1.146485,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000115,0.000115,0.000066,0.000054,0.000050,0.000300,0.000066,0.000065,0.003838,0.000872,0.000871,0.000249,0.000000,0.005463,0.000043,0.002064,0.000918,0.000424,0.000246,0.000185,0.000000,0.000473,0.000193,0.000110,0.000097,0.005485,0.005529,0.005575,0.005575,0.125665,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.096243,0.977011,1.096243,,,1.096243,1.031923,,,,,,,,,,,,1.096243,0.977011,1.031923,,,,
2,venus,DOUBLE,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000228,0.000175,0.000073,0.000064,0.000064,0.000388,0.000105,0.000105,0.005603,0.001563,0.001561,0.000367,0.000000,0.008221,0.000066,0.003202,0.001244,0.000640,0.000301,0.000205,0.000000,0.000810,0.000447,0.000170,0.000120,0.008267,0.008334,0.008406,0.008406,0.524520,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.972064,0.829430,0.972064,,0.972064,,1.358901,,,,,,,,,,,,0.972064,0.829430,1.358901,,,,
2,venus,DOUBLE,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000001,0.000228,0.000170,0.000072,0.000062,0.000058,0.000377,0.000083,0.000083,0.006003,0.001539,0.001538,0.000404,0.000000,0.008605,0.000062,0.003531,0.001293,0.000638,0.000314,0.000215,0.000000,0.000814,0.000436,0.000168,0.000117,0.008647,0.008709,0.008805,0.008805,0.524520,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.343966,0.824297,1.343966,,,1.343966,1.256736,,,,,,,,,,,,1.343966,0.824297,1.256736,,,,
