Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,26,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.011121,0.011007,0.002595,0.000427,0.000113,0.014126,0.000208,0.000206,0.332380,0.083774,0.083772,0.020779,0.000001,0.462360,0.000088,0.258317,0.062438,0.009960,0.001717,0.000474,0.000000,0.063369,0.015454,0.003769,0.001083,0.462407,0.462491,0.462899,0.462899,7.941870,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.516864,1.286435,,0.516864,0.516864,,1.045464,,,,,,,,,,,,,,,,,,,,,0.516864,1.286435,1.045464,,,,
5,conesHalfSize,FLOAT,26,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.010883,0.010690,0.002491,0.000436,0.000111,0.013778,0.000210,0.000208,0.341740,0.082981,0.082979,0.019854,0.000001,0.470378,0.000083,0.264193,0.063325,0.010450,0.001977,0.000538,0.000000,0.062169,0.015429,0.003844,0.001780,0.470421,0.470505,0.470901,0.470901,7.941870,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476775,1.291522,,0.476775,,0.476775,0.969688,,,,,,,,,,,,,,,,,,,,,0.476775,1.291522,0.969688,,,,
6,conesFullSizeCropped,FLOAT,26,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.024722,0.024149,0.005868,0.001104,0.000306,0.031491,0.000635,0.000633,0.648478,0.183544,0.183542,0.041271,0.000001,0.929762,0.000084,0.481276,0.133645,0.027820,0.004186,0.000991,0.000000,0.137807,0.033443,0.009312,0.002768,0.929811,0.929897,0.930302,0.930302,16.904456,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502442,1.104981,,0.502442,0.502442,,0.994381,,,,,,,,,,,,,,,,,,,,,0.502442,1.104981,0.994381,,,,
6,conesFullSizeCropped,FLOAT,26,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.024506,0.024180,0.005814,0.001102,0.000298,0.031360,0.000758,0.000756,0.666888,0.185909,0.185906,0.041808,0.000001,0.952016,0.000087,0.495107,0.136854,0.028846,0.004514,0.001101,0.000000,0.135911,0.036556,0.010398,0.002915,0.952069,0.952153,0.952563,0.952563,16.904456,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500758,1.100917,,0.500758,,0.500758,1.006433,,,,,,,,,,,,,,,,,,,,,0.500758,1.100917,1.006433,,,,
0,tsukubaSetHalfSize,DOUBLE,26,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,192,144,15,0.000000,0.000021,0.000019,0.000015,0.000012,0.000011,0.000057,0.000014,0.000014,0.000425,0.000146,0.000145,0.000030,0.000000,0.000696,0.000011,0.000207,0.000085,0.000047,0.000041,0.000045,0.000000,0.000069,0.000030,0.000024,0.000022,0.000712,0.000721,0.000727,0.000727,0.008896,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.989018,1.248123,0.989018,,0.989018,,1.000129,,,,,,,,,,,,0.989018,1.248123,1.000129,,,,
0,tsukubaSetHalfSize,DOUBLE,26,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,DEFAULT,192,144,15,0.000000,0.000020,0.000017,0.000014,0.000011,0.000010,0.000053,0.000014,0.000014,0.002158,0.000129,0.000127,0.000037,0.000000,0.002410,0.000010,0.001501,0.000418,0.000128,0.000061,0.000046,0.000000,0.000052,0.000029,0.000023,0.000021,0.002430,0.002439,0.002446,0.002446,0.008896,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.825188,1.267884,0.825188,,,0.825188,0.998983,,,,,,,,,,,,0.825188,1.267884,0.998983,,,,
1,tsukubaSet,DOUBLE,26,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0.000000,0.000105,0.000074,0.000028,0.000016,0.000012,0.000130,0.000030,0.000030,0.004002,0.001308,0.001307,0.000358,0.000001,0.005923,0.000018,0.003230,0.000486,0.000153,0.000069,0.000055,0.000000,0.000945,0.000245,0.000074,0.000041,0.005959,0.005978,0.006038,0.006038,0.082538,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.635008,1.478273,0.635008,,0.635008,,1.039586,,,,,,,,,,,,0.635008,1.478273,1.039586,,,,
1,tsukubaSet,DOUBLE,26,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0.000000,0.000118,0.000083,0.000029,0.000016,0.000012,0.000145,0.000022,0.000022,0.012381,0.001351,0.001350,0.000374,0.000000,0.014480,0.000022,0.009660,0.001925,0.000521,0.000176,0.000097,0.000000,0.000970,0.000269,0.000077,0.000041,0.014517,0.014539,0.014605,0.014605,0.082538,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.410853,1.487518,0.410853,,,0.410853,1.013181,,,,,,,,,,,,0.410853,1.487518,1.013181,,,,
2,venus,DOUBLE,26,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0.000000,0.000327,0.000319,0.000061,0.000022,0.000016,0.000418,0.000022,0.000021,0.021173,0.003891,0.003890,0.001284,0.000001,0.027277,0.000028,0.018292,0.002258,0.000377,0.000175,0.000096,0.000000,0.003020,0.000666,0.000127,0.000077,0.027323,0.027352,0.027468,0.027468,0.232538,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.216947,1.870883,0.216947,,0.216947,,0.991072,,,,,,,,,,,,0.216947,1.870883,0.991072,,,,
2,venus,DOUBLE,26,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0.000000,0.000346,0.000330,0.000060,0.000022,0.000016,0.000433,0.000023,0.000022,0.031857,0.004018,0.004016,0.001394,0.000001,0.037928,0.000029,0.026186,0.004311,0.000876,0.000301,0.000144,0.000000,0.003154,0.000642,0.000129,0.000085,0.037971,0.037999,0.038101,0.038101,0.232538,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.270154,1.859307,0.270154,,,0.270154,1.093146,,,,,,,,,,,,0.270154,1.859307,1.093146,,,,
