Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002387,0.004263,0.000739,0.000132,0.000047,0.005134,0.000058,0.000057,0.117521,0.020053,0.020051,0.008474,0.000002,0.158613,0.000220,0.089474,0.022185,0.003775,0.001156,0.000339,0.000000,0.015042,0.003910,0.000998,0.000226,0.158662,0.158868,0.158976,0.158976,7.401988,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.475530,1.380264,,1.475530,1.475530,,1.025006,,,,,,,,,,,,,,,,,,,,,1.475530,1.380264,1.025006,,,,
5,conesHalfSize,FLOAT,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002346,0.004269,0.000744,0.000139,0.000047,0.005201,0.000059,0.000056,0.129719,0.020391,0.020389,0.008388,0.000002,0.165571,0.000191,0.098142,0.024560,0.004243,0.001311,0.000380,0.000000,0.015206,0.003920,0.001043,0.000229,0.165619,0.165811,0.165928,0.165928,7.401988,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337212,1.385722,,1.337212,,1.337212,0.958314,,,,,,,,,,,,,,,,,,,,,1.337212,1.385722,0.958314,,,,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005693,0.008550,0.001827,0.000344,0.000082,0.010799,0.000116,0.000114,0.241097,0.041757,0.041755,0.018017,0.000002,0.319108,0.000243,0.182290,0.045322,0.010153,0.002651,0.000681,0.000000,0.030891,0.007987,0.002408,0.000479,0.319160,0.319366,0.319471,0.319471,14.535008,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.423849,1.285111,,1.423849,1.423849,,0.967695,,,,,,,,,,,,,,,,,,,,,1.423849,1.285111,0.967695,,,,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005613,0.008608,0.001822,0.000353,0.000078,0.011265,0.000107,0.000105,0.250905,0.041586,0.041584,0.018432,0.000001,0.328175,0.000448,0.188072,0.047105,0.010637,0.002727,0.000733,0.000000,0.030507,0.008172,0.002419,0.000514,0.328228,0.328677,0.328787,0.328787,14.535008,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413439,1.280385,,1.413439,,1.413439,0.980517,,,,,,,,,,,,,,,,,,,,,1.413439,1.280385,0.980517,,,,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000013,0.000021,0.000020,0.000019,0.000019,0.000079,0.000009,0.000009,0.000454,0.000098,0.000098,0.000033,0.000000,0.000682,0.000020,0.000152,0.000087,0.000074,0.000065,0.000065,0.000000,0.000033,0.000023,0.000021,0.000019,0.000703,0.000721,0.000724,0.000724,0.010539,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.125455,1.053544,1.125455,,1.125455,,1.133797,,,,,,,,,,,,1.125455,1.053544,1.133797,,,,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000013,0.000021,0.000020,0.000019,0.000019,0.000080,0.000010,0.000010,0.000773,0.000098,0.000097,0.000033,0.000000,0.001025,0.000018,0.000394,0.000158,0.000082,0.000066,0.000065,0.000000,0.000033,0.000023,0.000021,0.000020,0.001048,0.001066,0.001069,0.001069,0.010539,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.925143,1.070224,1.925143,,,1.925143,1.018906,,,,,,,,,,,,1.925143,1.070224,1.018906,,,,
1,tsukubaSet,DOUBLE,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000044,0.000035,0.000024,0.000022,0.000020,0.000101,0.000012,0.000012,0.001501,0.000251,0.000250,0.000080,0.000000,0.001989,0.000021,0.000912,0.000306,0.000127,0.000083,0.000075,0.000000,0.000153,0.000048,0.000027,0.000022,0.002014,0.002035,0.002057,0.002057,0.093257,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.830872,1.308350,1.830872,,1.830872,,1.020969,,,,,,,,,,,,1.830872,1.308350,1.020969,,,,
1,tsukubaSet,DOUBLE,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000039,0.000033,0.000024,0.000021,0.000020,0.000097,0.000012,0.000012,0.003414,0.000235,0.000235,0.000079,0.000000,0.003872,0.000020,0.002259,0.000691,0.000263,0.000107,0.000072,0.000000,0.000142,0.000045,0.000026,0.000022,0.003893,0.003913,0.003928,0.003928,0.093257,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.232740,1.316531,1.232740,,,1.232740,0.817619,,,,,,,,,,,,1.232740,1.316531,0.817619,,,,
2,venus,DOUBLE,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000057,0.000069,0.000039,0.000025,0.000022,0.000155,0.000015,0.000015,0.004941,0.000564,0.000563,0.000199,0.000000,0.005954,0.000024,0.003479,0.000897,0.000357,0.000144,0.000085,0.000000,0.000309,0.000176,0.000059,0.000033,0.005990,0.006014,0.006039,0.006039,0.279596,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.012497,1.556005,1.012497,,1.012497,,1.016904,,,,,,,,,,,,1.012497,1.556005,1.016904,,,,
2,venus,DOUBLE,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000057,0.000081,0.000037,0.000025,0.000022,0.000164,0.000016,0.000015,0.005537,0.000566,0.000566,0.000215,0.000000,0.006586,0.000044,0.003892,0.001034,0.000374,0.000150,0.000092,0.000000,0.000321,0.000153,0.000059,0.000033,0.006622,0.006646,0.006672,0.006672,0.279596,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.414512,1.546377,1.414512,,,1.414512,1.002317,,,,,,,,,,,,1.414512,1.546377,1.002317,,,,
3,barn1,DOUBLE,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000001,0.000120,0.000126,0.000046,0.000037,0.000038,0.000240,0.000017,0.000017,0.009554,0.001132,0.001131,0.000689,0.000001,0.011908,0.000026,0.007284,0.001345,0.000498,0.000174,0.000108,0.000000,0.000793,0.000200,0.000077,0.000065,0.011954,0.011980,0.012005,0.012005,0.409366,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,0.987012,1.565894,,,0.987012,,0.968306,,,,,,,,,,,,0.987012,1.565894,0.968306,,,,
3,barn1,DOUBLE,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000001,0.000120,0.000134,0.000052,0.000029,0.000022,0.000232,0.000017,0.000017,0.010134,0.001169,0.001168,0.000723,0.000001,0.012660,0.000054,0.007800,0.001431,0.000552,0.000181,0.000116,0.000000,0.000834,0.000209,0.000077,0.000052,0.012705,0.012760,0.012786,0.012786,0.409366,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,1.188042,1.575543,,,,1.188042,0.956035,,,,,,,,,,,,1.188042,1.575543,0.956035,,,,
4,conesQuarterSize,DOUBLE,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000316,0.000313,0.000099,0.000043,0.000026,0.000474,0.000034,0.000033,0.025072,0.003987,0.003986,0.002021,0.000001,0.031872,0.000051,0.020345,0.003094,0.001031,0.000342,0.000181,0.000000,0.003250,0.000517,0.000149,0.000081,0.031921,0.031971,0.031997,0.031997,0.935734,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,1.468697,1.403102,,1.468697,1.468697,,0.963351,,,,,,,,,,,,1.468697,1.403102,0.963351,,,,
