Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006809,0.007109,0.001868,0.000668,0.000147,0.009786,0.000216,0.000215,0.168227,0.062181,0.062179,0.010493,0.000001,0.257708,0.000083,0.130637,0.029143,0.006301,0.001618,0.000421,0.000000,0.041616,0.010723,0.007676,0.002164,0.257742,0.257814,0.258100,0.258100,7.694999,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907176,1.327706,,0.907176,0.907176,,1.023119,,,,,,,,,,,,,,,,,,0.907176,1.327706,1.023119,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006580,0.007027,0.001643,0.000855,0.000186,0.009713,0.000304,0.000303,0.169319,0.057937,0.057935,0.010404,0.000001,0.254885,0.000070,0.132132,0.028570,0.006322,0.001724,0.000470,0.000000,0.040882,0.010108,0.005115,0.001890,0.254923,0.254993,0.255278,0.255278,7.694999,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.911992,1.332957,,0.911992,,0.911992,1.005525,,,,,,,,,,,,,,,,,,0.911992,1.332957,1.005525,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000000,0.020511,0.014977,0.003869,0.002967,0.000538,0.022251,0.000659,0.000658,0.346254,0.133740,0.133737,0.021731,0.000001,0.545890,0.000070,0.265765,0.061026,0.014914,0.003889,0.000878,0.000000,0.091459,0.024339,0.013695,0.004950,0.545928,0.545999,0.546286,0.546286,16.774011,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.849482,1.113574,,0.849482,0.849482,,0.987228,,,,,,,,,,,,,,,,,,0.849482,1.113574,0.987228,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020427,0.014919,0.004642,0.002701,0.000521,0.022736,0.000756,0.000755,0.349843,0.134688,0.134686,0.021638,0.000002,0.550424,0.000070,0.268452,0.062144,0.014100,0.003919,0.000904,0.000000,0.091533,0.025020,0.013134,0.005211,0.550461,0.550531,0.550841,0.550841,16.774011,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845285,1.109478,,0.845285,,0.845285,0.982409,,,,,,,,,,,,,,,,,,0.845285,1.109478,0.982409,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000014,0.000011,0.000010,0.000051,0.000011,0.000011,0.000375,0.000110,0.000110,0.000022,0.000000,0.000602,0.000008,0.000167,0.000073,0.000045,0.000050,0.000041,0.000000,0.000041,0.000025,0.000023,0.000020,0.000619,0.000626,0.000632,0.000632,0.007051,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.209364,1.574772,1.209364,,1.209364,,1.062697,,,,,,,,,,1.209364,1.574772,1.062697,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000013,0.000010,0.000009,0.000047,0.000018,0.000018,0.000697,0.000112,0.000112,0.000022,0.000000,0.000911,0.000008,0.000390,0.000135,0.000069,0.000057,0.000043,0.000000,0.000043,0.000024,0.000023,0.000019,0.000929,0.000937,0.000943,0.000943,0.007051,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,2.135777,1.599705,2.135777,,,2.135777,0.996544,,,,,,,,,,2.135777,1.599705,0.996544,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000113,0.000087,0.000025,0.000018,0.000012,0.000143,0.000029,0.000029,0.002803,0.001378,0.001378,0.000268,0.000000,0.004726,0.000014,0.002159,0.000381,0.000123,0.000069,0.000072,0.000000,0.001035,0.000248,0.000068,0.000039,0.004747,0.004761,0.004793,0.004793,0.081448,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.472423,1.498049,0.472423,,0.472423,,0.613961,,,,,,,,,,0.472423,1.498049,0.613961,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000113,0.000082,0.000023,0.000018,0.000011,0.000133,0.000026,0.000025,0.004432,0.001094,0.001093,0.000260,0.000000,0.006058,0.000031,0.003457,0.000613,0.000188,0.000094,0.000081,0.000000,0.000781,0.000227,0.000049,0.000039,0.006081,0.006112,0.006143,0.006143,0.081448,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.957876,1.507417,0.957876,,,0.957876,0.993508,,,,,,,,,,0.957876,1.507417,0.993508,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000229,0.000310,0.000052,0.000015,0.000010,0.000385,0.000014,0.000013,0.007445,0.001836,0.001835,0.000546,0.000001,0.010419,0.000018,0.005893,0.001095,0.000243,0.000133,0.000086,0.000000,0.001416,0.000315,0.000073,0.000041,0.010447,0.010465,0.010520,0.010520,0.207159,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.571153,2.100089,0.571153,,0.571153,,0.999340,,,,,,,,,,0.571153,2.100089,0.999340,,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000238,0.000252,0.000047,0.000014,0.000010,0.000323,0.000013,0.000012,0.014406,0.001846,0.001845,0.000567,0.000000,0.017379,0.000019,0.011586,0.002056,0.000454,0.000199,0.000103,0.000000,0.001427,0.000298,0.000071,0.000052,0.017411,0.017430,0.017488,0.017488,0.207159,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.544992,2.087095,0.544992,,,0.544992,1.012210,,,,,,,,,,0.544992,2.087095,1.012210,,,,
