Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000032,0.000019,0.000012,0.000009,0.000011,0.000056,0.000013,0.000012,0.000498,0.000148,0.000147,0.000028,0.000000,0.000797,0.000009,0.000241,0.000120,0.000056,0.000056,0.000037,0.000000,0.000073,0.000032,0.000022,0.000019,0.000819,0.000895,0.000902,0.000902,0.007338,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.894375,1.513151,0.894375,,0.894375,,1.122592,,,,,,,,,,0.894375,1.513151,1.122592,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000032,0.000018,0.000011,0.000010,0.000009,0.000049,0.000020,0.000020,0.000872,0.000149,0.000148,0.000028,0.000000,0.001148,0.000008,0.000510,0.000173,0.000070,0.000072,0.000040,0.000000,0.000070,0.000034,0.000023,0.000022,0.001170,0.001178,0.001186,0.001186,0.007338,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.699535,1.537108,1.699535,,,1.699535,0.997932,,,,,,,,,,1.699535,1.537108,0.997932,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000196,0.000131,0.000034,0.000016,0.000011,0.000191,0.000022,0.000022,0.004971,0.001785,0.001784,0.000427,0.000000,0.007569,0.000036,0.004045,0.000590,0.000176,0.000071,0.000096,0.000000,0.001355,0.000317,0.000095,0.000041,0.007600,0.007621,0.007664,0.007664,0.086688,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.480275,1.407501,0.480275,,0.480275,,0.998024,,,,,,,,,,0.480275,1.407501,0.998024,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000200,0.000141,0.000036,0.000015,0.000012,0.000203,0.000022,0.000021,0.009108,0.001728,0.001727,0.000449,0.000000,0.011681,0.000021,0.007706,0.000915,0.000259,0.000095,0.000106,0.000000,0.001315,0.000300,0.000085,0.000039,0.011713,0.011734,0.011776,0.011776,0.086688,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.500533,1.416303,0.500533,,,0.500533,0.995255,,,,,,,,,,0.500533,1.416303,0.995255,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000412,0.000744,0.000077,0.000018,0.000013,0.000854,0.000020,0.000020,0.022582,0.005357,0.005355,0.001758,0.000001,0.030984,0.000032,0.018547,0.003385,0.000366,0.000149,0.000135,0.000000,0.004196,0.000937,0.000147,0.000078,0.031028,0.031060,0.031140,0.031140,0.225325,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.194533,1.930772,0.194533,,0.194533,,1.007488,,,,,,,,,,0.194533,1.930772,1.007488,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000443,0.000732,0.000099,0.000020,0.000013,0.000847,0.000020,0.000019,0.028410,0.005141,0.005140,0.001847,0.000001,0.036682,0.000033,0.022900,0.004454,0.000643,0.000236,0.000189,0.000000,0.004048,0.000897,0.000135,0.000083,0.036721,0.036753,0.036834,0.036834,0.225325,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.237981,1.918825,0.237981,,,0.237981,0.930950,,,,,,,,,,0.237981,1.918825,0.930950,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000624,0.001229,0.000173,0.000031,0.000017,0.001450,0.000035,0.000035,0.032416,0.006734,0.006733,0.002960,0.000002,0.044268,0.000032,0.025351,0.006006,0.000698,0.000238,0.000217,0.000000,0.004870,0.001500,0.000253,0.000118,0.044308,0.044340,0.044420,0.044420,0.419528,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.274322,1.527966,,,0.274322,,0.995806,,,,,,,,,,0.274322,1.527966,0.995806,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000637,0.001227,0.000158,0.000029,0.000033,0.001443,0.000049,0.000048,0.038356,0.006509,0.006507,0.002957,0.000002,0.049853,0.000032,0.029693,0.007193,0.000925,0.000318,0.000227,0.000000,0.004735,0.001438,0.000232,0.000118,0.049894,0.049927,0.050006,0.050006,0.419528,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.315151,1.537381,,,,0.315151,0.991835,,,,,,,,,,0.315151,1.537381,0.991835,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001995,0.003270,0.000695,0.000126,0.000036,0.004115,0.000058,0.000057,0.074764,0.017325,0.017323,0.007633,0.000002,0.105970,0.000035,0.061190,0.010175,0.002321,0.000502,0.000421,0.000000,0.012749,0.003297,0.000973,0.000335,0.106031,0.106063,0.106146,0.106146,0.911886,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.453461,1.439796,,0.453461,0.453461,,0.986696,,,,,,,,,,0.453461,1.439796,0.986696,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001974,0.003229,0.000756,0.000129,0.000047,0.004155,0.000075,0.000073,0.081067,0.017267,0.017264,0.007647,0.000002,0.112155,0.000032,0.065855,0.011507,0.002656,0.000570,0.000500,0.000000,0.012642,0.003311,0.001022,0.000300,0.112197,0.112229,0.112312,0.112312,0.911886,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.448437,1.431352,,0.448437,,0.448437,1.003006,,,,,,,,,,0.448437,1.431352,1.003006,,,,
