Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,96,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002646,0.003281,0.000604,0.000180,0.000081,0.004159,0.000218,0.000216,0.068812,0.023469,0.023467,0.006359,0.000001,0.105695,0.000052,0.057162,0.009029,0.001774,0.000526,0.000297,0.000000,0.017872,0.003786,0.001244,0.000581,0.105743,0.105795,0.106106,0.106106,7.829166,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.083080,1.304954,,2.083080,2.083080,,0.965812,,,,,,,,,,,,,,,,,,,,,,,,2.083080,1.304954,0.965812,,,,
5,conesHalfSize,FLOAT,96,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002665,0.003320,0.000600,0.000263,0.000079,0.004274,0.000236,0.000234,0.070005,0.024052,0.024050,0.006335,0.000001,0.107602,0.000050,0.057494,0.009688,0.001925,0.000603,0.000309,0.000000,0.018007,0.003958,0.001454,0.000638,0.107654,0.107706,0.108018,0.108018,7.829166,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.100216,1.310114,,2.100216,,2.100216,0.979826,,,,,,,,,,,,,,,,,,,,,,,,2.100216,1.310114,0.979826,,,,
6,conesFullSizeCropped,FLOAT,96,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.006856,0.006901,0.001924,0.000610,0.000145,0.009584,0.000457,0.000456,0.153094,0.052106,0.052103,0.013762,0.000001,0.235878,0.000050,0.121564,0.025337,0.004629,0.001131,0.000459,0.000000,0.037454,0.008849,0.004020,0.001775,0.235927,0.235975,0.236270,0.236270,16.595621,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.957348,1.125544,,1.957348,1.957348,,0.983828,,,,,,,,,,,,,,,,,,,,,,,,1.957348,1.125544,0.983828,,,,
6,conesFullSizeCropped,FLOAT,96,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.006919,0.006848,0.002119,0.000792,0.000161,0.009933,0.000462,0.000460,0.155878,0.052446,0.052443,0.013707,0.000001,0.239330,0.000050,0.123571,0.025761,0.004733,0.001223,0.000550,0.000000,0.037549,0.009179,0.004048,0.001662,0.239376,0.239426,0.239721,0.239721,16.595621,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.950953,1.121404,,1.950953,,1.950953,0.986769,,,,,,,,,,,,,,,,,,,,,,,,1.950953,1.121404,0.986769,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000018,0.000029,0.000027,0.000027,0.000025,0.000110,0.000016,0.000016,0.000541,0.000169,0.000169,0.000044,0.000000,0.000899,0.000024,0.000163,0.000106,0.000094,0.000084,0.000093,0.000000,0.000055,0.000040,0.000036,0.000039,0.000914,0.000937,0.000943,0.000943,0.009285,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.414800,1.195898,1.414800,,1.414800,,1.854697,,,,,,,,,,,,,,1.414800,1.195898,1.854697,,,,
0,tsukubaSetHalfSize,DOUBLE,96,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000018,0.000028,0.000026,0.000026,0.000025,0.000108,0.000016,0.000016,0.000740,0.000167,0.000167,0.000042,0.000000,0.001093,0.000023,0.000299,0.000147,0.000109,0.000099,0.000085,0.000000,0.000049,0.000042,0.000035,0.000037,0.001109,0.001133,0.001139,0.001139,0.009285,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.117303,1.214832,2.117303,,,2.117303,1.193857,,,,,,,,,,,,,,2.117303,1.214832,1.193857,,,,
1,tsukubaSet,DOUBLE,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000048,0.000047,0.000033,0.000030,0.000028,0.000147,0.000024,0.000024,0.001058,0.000530,0.000529,0.000068,0.000000,0.001882,0.000027,0.000498,0.000218,0.000128,0.000102,0.000109,0.000000,0.000302,0.000105,0.000065,0.000056,0.001906,0.001932,0.001963,0.001963,0.080996,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.962616,1.506402,1.962616,,1.962616,,1.044581,,,,,,,,,,,,,,1.962616,1.506402,1.044581,,,,
1,tsukubaSet,DOUBLE,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000049,0.000047,0.000035,0.000029,0.000027,0.000138,0.000037,0.000037,0.001797,0.000591,0.000590,0.000069,0.000000,0.002693,0.000026,0.000959,0.000374,0.000213,0.000146,0.000114,0.000000,0.000355,0.000108,0.000068,0.000059,0.002716,0.002744,0.002775,0.002775,0.080996,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,2.196524,1.515822,2.196524,,,2.196524,1.029266,,,,,,,,,,,,,,2.196524,1.515822,1.029266,,,,
2,venus,DOUBLE,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000086,0.000057,0.000033,0.000032,0.000030,0.000153,0.000049,0.000049,0.002754,0.000642,0.000641,0.000201,0.000000,0.003878,0.000027,0.001899,0.000366,0.000216,0.000146,0.000132,0.000000,0.000386,0.000109,0.000076,0.000064,0.003907,0.003933,0.003982,0.003982,0.208111,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.528507,2.090484,1.528507,,1.528507,,1.012354,,,,,,,,,,,,,,1.528507,2.090484,1.012354,,,,
2,venus,DOUBLE,96,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000090,0.000058,0.000034,0.000031,0.000031,0.000154,0.000045,0.000044,0.004253,0.000641,0.000640,0.000190,0.000000,0.005375,0.000026,0.002981,0.000615,0.000300,0.000212,0.000144,0.000000,0.000390,0.000110,0.000076,0.000064,0.005399,0.005424,0.005474,0.005474,0.208111,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.712756,2.077548,1.712756,,,1.712756,0.995797,,,,,,,,,,,,,,1.712756,2.077548,0.995797,,,,
