Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,120,16,8,YES,sockets,true,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,900,750,7,0.000001,0.003033,0.004218,0.000543,0.000205,0.000201,0.005164,0.000357,0.000357,0.078397,0.021939,0.021938,0.007787,0.000001,0.117734,0.000207,0.066093,0.009301,0.002700,0.001009,0.000456,0.000000,0.016615,0.003384,0.001398,0.000654,0.117776,0.117981,0.118183,0.118183,11.630541,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.834091,0.878437,,1.834091,1.834091,,0.947156,,,,,,,,,,,,,,,,,,,,,1.834091,0.878437,0.947156,,,,
5,conesHalfSize,FLOAT,120,16,8,YES,sockets,true,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,900,750,7,0.000000,0.002681,0.003814,0.000599,0.000156,0.000195,0.004762,0.000365,0.000365,0.076483,0.020365,0.020364,0.006912,0.000000,0.111726,0.000203,0.062321,0.009516,0.002753,0.001081,0.000617,0.000000,0.015231,0.003092,0.001458,0.000642,0.111763,0.111966,0.112174,0.112174,11.630541,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.231387,0.881911,,2.231387,,2.231387,1.081073,,,,,,,,,,,,,,,,,,,,,2.231387,0.881911,1.081073,,,,
6,conesFullSizeCropped,FLOAT,120,16,8,YES,sockets,true,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,900,750,7,0.000000,0.006248,0.007234,0.001192,0.000325,0.000345,0.009119,0.000776,0.000775,0.156755,0.038024,0.038022,0.014391,0.000001,0.225360,0.000211,0.127549,0.021031,0.004957,0.002687,0.000914,0.000000,0.028782,0.005722,0.002355,0.001239,0.225398,0.225615,0.225827,0.225827,19.144427,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.454940,0.975694,,1.454940,1.454940,,0.698979,,,,,,,,,,,,,,,,,,,,,1.454940,0.975694,0.698979,,,,
6,conesFullSizeCropped,FLOAT,120,16,8,YES,sockets,true,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,900,750,7,0.000001,0.007085,0.010228,0.001335,0.000335,0.000353,0.012232,0.000783,0.000782,0.203325,0.050669,0.050669,0.019617,0.000000,0.294349,0.000177,0.171529,0.022391,0.005823,0.002747,0.000986,0.000000,0.040171,0.006755,0.002611,0.001270,0.294376,0.294553,0.294744,0.294744,19.144427,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.603782,0.972105,,1.603782,,1.603782,0.997363,,,,,,,,,,,,,,,,,,,,,1.603782,0.972105,0.997363,,,,
0,tsukubaSetHalfSize,DOUBLE,120,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,192,144,15,0.000000,0.000061,0.000041,0.000036,0.000034,0.000033,0.000147,0.000028,0.000028,0.000756,0.000250,0.000249,0.000062,0.000000,0.001307,0.000032,0.000252,0.000151,0.000119,0.000108,0.000117,0.000000,0.000092,0.000049,0.000048,0.000063,0.001324,0.001356,0.001363,0.001363,0.012020,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.830554,0.923801,0.830554,,0.830554,,1.574807,,,,,,,,,,,,0.830554,0.923801,1.574807,,,,
0,tsukubaSetHalfSize,DOUBLE,120,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,192,144,15,0.000000,0.000054,0.000038,0.000034,0.000033,0.000031,0.000136,0.000027,0.000027,0.001146,0.000258,0.000258,0.000061,0.000000,0.001688,0.000031,0.000535,0.000241,0.000137,0.000113,0.000113,0.000000,0.000100,0.000051,0.000050,0.000054,0.001704,0.001736,0.001743,0.001743,0.012020,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.243812,0.938427,1.243812,,,1.243812,1.072879,,,,,,,,,,,,1.243812,0.938427,1.072879,,,,
1,tsukubaSet,DOUBLE,120,16,8,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,384,288,15,0.000000,0.000105,0.000115,0.000059,0.000048,0.000045,0.000269,0.000047,0.000047,0.002307,0.000875,0.000875,0.000239,0.000000,0.003848,0.000038,0.001257,0.000517,0.000234,0.000165,0.000132,0.000000,0.000515,0.000160,0.000113,0.000087,0.003864,0.003901,0.003933,0.003933,0.105905,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.898857,1.152098,0.898857,,0.898857,,0.958480,,,,,,,,,,,,0.898857,1.152098,0.958480,,,,
1,tsukubaSet,DOUBLE,120,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,384,288,15,0.000000,0.000103,0.000116,0.000056,0.000045,0.000045,0.000265,0.000045,0.000045,0.003584,0.000946,0.000946,0.000253,0.000000,0.005193,0.000037,0.001968,0.000891,0.000376,0.000217,0.000158,0.000000,0.000528,0.000185,0.000109,0.000113,0.005209,0.005248,0.005280,0.005280,0.105905,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.138974,1.159303,1.138974,,,1.138974,1.015320,,,,,,,,,,,,1.138974,1.159303,1.015320,,,,
2,venus,DOUBLE,120,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000284,0.000154,0.000097,0.000056,0.000052,0.000364,0.000074,0.000074,0.004474,0.001455,0.001454,0.000311,0.000000,0.006967,0.000036,0.002356,0.001073,0.000618,0.000272,0.000154,0.000000,0.000846,0.000309,0.000170,0.000143,0.006982,0.007019,0.007065,0.007065,0.414314,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.962305,1.050054,0.962305,,0.962305,,1.130645,,,,,,,,,,,,0.962305,1.050054,1.130645,,,,
2,venus,DOUBLE,120,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000240,0.000154,0.000094,0.000054,0.000042,0.000345,0.000048,0.000048,0.004800,0.001114,0.001113,0.000308,0.000000,0.006882,0.000034,0.002876,0.001075,0.000455,0.000229,0.000161,0.000000,0.000728,0.000212,0.000101,0.000081,0.006899,0.006933,0.007013,0.007013,0.414314,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.306404,1.043557,1.306404,,,1.306404,0.972950,,,,,,,,,,,,1.306404,1.043557,0.972950,,,,
