Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,176,16,8,YES,sockets,true,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,900,750,7,0.000001,0.013059,0.026051,0.025930,0.023973,0.024991,0.100643,0.014005,0.014004,0.445084,0.102955,0.102953,0.035929,0.000001,0.708989,0.021773,0.092304,0.088818,0.085965,0.087006,0.088004,0.000000,0.025687,0.023117,0.026030,0.027016,0.709019,0.730792,0.730980,0.730980,8.637786,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.836618,1.182791,,5.836618,5.836618,,18.642909,,,,,,,,,,,,,,,,,,,,,,,,5.836618,1.182791,18.642909,,,,
5,conesHalfSize,FLOAT,176,64,16,YES,sockets,true,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,900,750,7,0.000001,0.011455,0.022736,0.025937,0.023974,0.020980,0.094670,0.011009,0.011009,0.394495,0.089157,0.089154,0.033960,0.000001,0.632002,0.020757,0.087358,0.078959,0.071017,0.080973,0.075997,0.000000,0.022585,0.023138,0.021075,0.026043,0.632033,0.652790,0.652984,0.652984,8.637786,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.182605,1.187469,,6.182605,,6.182605,17.436654,,,,,,,,,,,,,,,,,,,,,,,,6.182605,1.187469,17.436654,,,,
6,conesFullSizeCropped,FLOAT,176,16,8,YES,sockets,true,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,900,750,7,0.000001,0.011602,0.025735,0.023613,0.021928,0.022968,0.094407,0.011026,0.011026,0.446957,0.099191,0.099188,0.034644,0.000001,0.698002,0.019764,0.125704,0.081318,0.078098,0.082999,0.077957,0.000000,0.029860,0.020214,0.025190,0.021134,0.698031,0.717806,0.717989,0.717989,17.075936,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.511405,1.093884,,4.511405,4.511405,,6.890850,,,,,,,,,,,,,,,,,,,,,,,,4.511405,1.093884,6.890850,,,,
6,conesFullSizeCropped,FLOAT,176,64,16,YES,sockets,true,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,900,750,7,0.000001,0.012427,0.024131,0.022537,0.020921,0.021978,0.090664,0.012030,0.012029,0.432546,0.097941,0.097938,0.036892,0.000001,0.688996,0.025754,0.118683,0.086045,0.079116,0.074026,0.077951,0.000000,0.029745,0.025276,0.023136,0.023057,0.689039,0.709796,0.709989,0.709989,17.075936,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.817092,1.089861,,4.817092,,4.817092,7.216050,,,,,,,,,,,,,,,,,,,,,,,,4.817092,1.089861,7.216050,,,,
0,tsukubaSetHalfSize,DOUBLE,176,64,16,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000001,0.011001,0.020998,0.021000,0.021000,0.022004,0.086996,0.011000,0.010999,0.377003,0.088010,0.088008,0.033992,0.000000,0.605000,0.019942,0.075004,0.074996,0.073997,0.076004,0.078004,0.000000,0.021003,0.021998,0.023002,0.021998,0.605038,0.624977,0.624984,0.624984,0.010781,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.957189,1.029941,0.957189,,0.957189,,832.070320,,,,,,,,,,,,,,0.957189,1.029941,832.070320,,,,
0,tsukubaSetHalfSize,DOUBLE,176,64,16,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,192,144,15,0.000001,0.009002,0.020988,0.020998,0.019999,0.019998,0.080997,0.009999,0.009998,0.352012,0.078993,0.078991,0.030982,0.000000,0.562999,0.022944,0.070007,0.072012,0.072001,0.068002,0.069001,0.000000,0.019992,0.021994,0.020999,0.018994,0.563036,0.582987,0.582994,0.582994,0.010781,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.445591,1.046248,1.445591,,,1.445591,417.170029,,,,,,,,,,,,,,1.445591,1.046248,417.170029,,,,
1,tsukubaSet,DOUBLE,176,64,16,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,384,288,15,0.000001,0.012014,0.020988,0.021994,0.022001,0.020998,0.085987,0.011000,0.011000,0.378022,0.089022,0.089020,0.032974,0.000001,0.611994,0.020898,0.073997,0.074003,0.080000,0.076008,0.076001,0.000000,0.022020,0.020006,0.022000,0.022003,0.612040,0.631944,0.631970,0.631970,0.088048,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.341450,1.385759,1.341450,,1.341450,,229.864399,,,,,,,,,,,,,,1.341450,1.385759,229.864399,,,,
1,tsukubaSet,DOUBLE,176,64,16,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX512,384,288,15,0.000000,0.000171,0.000113,0.000091,0.000088,0.000087,0.000379,0.000070,0.000070,0.002929,0.000818,0.000817,0.000154,0.000000,0.004503,0.000088,0.001217,0.000712,0.000403,0.000290,0.000319,0.000000,0.000401,0.000172,0.000113,0.000129,0.004518,0.004606,0.004642,0.004642,0.088048,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.474535,1.394425,1.474535,,,1.474535,1.155596,,,,,,,,,,,,,,1.474535,1.394425,1.155596,,,,
2,venus,DOUBLE,176,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000001,0.012024,0.025980,0.024991,0.023997,0.026000,0.098971,0.012001,0.012001,0.426047,0.097020,0.097018,0.035912,0.000000,0.680999,0.024908,0.085048,0.087010,0.087996,0.084005,0.084000,0.000000,0.024019,0.023992,0.025003,0.023996,0.681033,0.704948,0.704989,0.704989,0.303760,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.278181,1.432221,1.278181,,1.278181,,149.865642,,,,,,,,,,,,,,1.278181,1.432221,149.865642,,,,
2,venus,DOUBLE,176,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,176,AVX256,434,383,15,0.000001,0.011027,0.024962,0.021995,0.020000,0.021997,0.087955,0.011000,0.010999,0.391080,0.089003,0.089001,0.033871,0.000000,0.621998,0.021915,0.079074,0.076029,0.080014,0.075996,0.078991,0.000000,0.022995,0.021009,0.022007,0.023002,0.622033,0.645951,0.645990,0.645990,0.303760,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.790597,1.423359,1.790597,,,1.790597,122.844466,,,,,,,,,,,,,,1.790597,1.423359,122.844466,,,,
