Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX512 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX512 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000000,0.006628,0.007141,0.001697,0.000701,0.000133,0.009658,0.000227,0.000226,0.168886,0.060415,0.060413,0.010858,0.000001,0.256820,0.000071,0.132666,0.027782,0.006275,0.001713,0.000414,0.000000,0.040927,0.011114,0.006177,0.002108,0.256860,0.256931,0.257225,0.257225,7.725639,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907023,1.322441,,0.907023,0.907023,,1.019481,,,,,,,,,,,,,,,,,,,,,0.907023,1.322441,1.019481,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006813,0.007118,0.001608,0.000762,0.000140,0.009608,0.000203,0.000201,0.170771,0.057235,0.057234,0.010427,0.000001,0.255802,0.000084,0.133992,0.028636,0.006185,0.001538,0.000419,0.000000,0.040852,0.009737,0.005520,0.001125,0.255842,0.255927,0.256230,0.256230,7.725639,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910563,1.327670,,0.910563,,0.910563,1.007696,,,,,,,,,,,,,,,,,,,,,0.910563,1.327670,1.007696,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020418,0.015033,0.004286,0.001529,0.000270,0.021087,0.000466,0.000464,0.351390,0.132105,0.132102,0.022721,0.000001,0.549972,0.000153,0.269372,0.062539,0.015241,0.003312,0.000735,0.000000,0.091485,0.023591,0.013779,0.003280,0.550009,0.550079,0.550384,0.550384,16.581431,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870209,1.126507,,0.870209,0.870209,,1.018903,,,,,,,,,,,,,,,,,,,,,0.870209,1.126507,1.018903,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020480,0.015169,0.004205,0.001702,0.000527,0.021500,0.000689,0.000688,0.356467,0.135669,0.135667,0.021877,0.000001,0.556586,0.000070,0.272166,0.062490,0.016797,0.003934,0.000869,0.000000,0.091560,0.024717,0.015380,0.004355,0.556624,0.556694,0.556980,0.556980,16.581431,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860174,1.122364,,0.860174,,0.860174,1.010856,,,,,,,,,,,,,,,,,,,,,0.860174,1.122364,1.010856,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000018,0.000016,0.000013,0.000011,0.000009,0.000050,0.000013,0.000012,0.000361,0.000114,0.000114,0.000019,0.000000,0.000588,0.000007,0.000163,0.000067,0.000044,0.000047,0.000040,0.000000,0.000042,0.000026,0.000021,0.000020,0.000612,0.000631,0.000636,0.000636,0.006992,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.191686,1.587982,1.191686,,1.191686,,1.054620,,,,,,,,,,,,1.191686,1.587982,1.054620,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000012,0.000010,0.000009,0.000046,0.000015,0.000015,0.000662,0.000114,0.000114,0.000022,0.000000,0.000881,0.000008,0.000373,0.000127,0.000067,0.000055,0.000043,0.000000,0.000045,0.000028,0.000021,0.000020,0.000896,0.000904,0.000909,0.000909,0.006992,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,2.226907,1.613124,2.226907,,,2.226907,1.002510,,,,,,,,,,,,2.226907,1.613124,1.002510,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000123,0.000110,0.000028,0.000017,0.000011,0.000164,0.000025,0.000024,0.002689,0.001073,0.001072,0.000257,0.000000,0.004312,0.000013,0.002024,0.000400,0.000119,0.000066,0.000065,0.000000,0.000789,0.000189,0.000059,0.000037,0.004333,0.004346,0.004378,0.004378,0.080901,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.870284,1.508173,0.870284,,0.870284,,1.033069,,,,,,,,,,,,0.870284,1.508173,1.033069,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000116,0.000134,0.000026,0.000012,0.000010,0.000183,0.000017,0.000016,0.004470,0.001071,0.001070,0.000258,0.000000,0.006098,0.000014,0.003465,0.000624,0.000188,0.000101,0.000084,0.000000,0.000785,0.000196,0.000059,0.000037,0.006118,0.006131,0.006164,0.006164,0.080901,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.959393,1.517604,0.959393,,,0.959393,0.998502,,,,,,,,,,,,0.959393,1.517604,0.998502,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000248,0.000236,0.000056,0.000015,0.000009,0.000316,0.000013,0.000012,0.007532,0.001816,0.001815,0.000540,0.000000,0.010412,0.000019,0.005949,0.001097,0.000259,0.000123,0.000085,0.000000,0.001414,0.000295,0.000067,0.000042,0.010439,0.010458,0.010509,0.010509,0.206996,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.573796,2.101745,0.573796,,0.573796,,1.002919,,,,,,,,,,,,0.573796,2.101745,1.002919,,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000259,0.000250,0.000043,0.000014,0.000010,0.000314,0.000013,0.000012,0.014382,0.001838,0.001837,0.000551,0.000001,0.017335,0.000019,0.011629,0.002023,0.000446,0.000190,0.000115,0.000000,0.001403,0.000317,0.000074,0.000043,0.017366,0.017386,0.017440,0.017440,0.206996,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.541419,2.088740,0.541419,,,0.541419,1.002794,,,,,,,,,,,,0.541419,2.088740,1.002794,,,,
