Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.006776,0.007242,0.001778,0.000855,0.000128,0.010004,0.000267,0.000265,0.168790,0.061137,0.061135,0.010828,0.000001,0.258045,0.000073,0.131634,0.028592,0.006475,0.001716,0.000407,0.000000,0.041175,0.011221,0.006780,0.001959,0.258082,0.258155,0.258440,0.258440,7.695201,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.921267,1.327672,,0.921267,0.921267,,1.040381,,,,,,,,,,,,,,,,,,0.921267,1.327672,1.040381,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.006914,0.006963,0.001614,0.000567,0.000143,0.009266,0.000186,0.000185,0.169468,0.055828,0.055826,0.010263,0.000001,0.251996,0.000084,0.132831,0.028231,0.006387,0.001550,0.000415,0.000000,0.039593,0.009636,0.005053,0.001600,0.252030,0.252098,0.252379,0.252379,7.695201,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914324,1.332922,,0.914324,,0.914324,0.996649,,,,,,,,,,,,,,,,,,0.914324,1.332922,0.996649,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020476,0.014853,0.004036,0.001720,0.000418,0.020996,0.000607,0.000606,0.348879,0.131044,0.131042,0.021602,0.000001,0.544056,0.000070,0.264232,0.061356,0.018512,0.003777,0.000882,0.000000,0.089170,0.024369,0.014035,0.003671,0.544094,0.544163,0.544444,0.544444,16.628797,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866737,1.123298,,0.866737,0.866737,,1.003884,,,,,,,,,,,,,,,,,,0.866737,1.123298,1.003884,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020368,0.014827,0.004066,0.002044,0.000561,0.021498,0.000669,0.000668,0.355530,0.126359,0.126356,0.021349,0.000001,0.546873,0.000084,0.271718,0.063167,0.015838,0.003904,0.000904,0.000000,0.086354,0.022757,0.013945,0.003471,0.546913,0.546997,0.547291,0.547291,16.628797,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875891,1.119167,,0.875891,,0.875891,1.011420,,,,,,,,,,,,,,,,,,0.875891,1.119167,1.011420,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000018,0.000014,0.000014,0.000010,0.000009,0.000047,0.000012,0.000012,0.000362,0.000113,0.000112,0.000019,0.000000,0.000572,0.000008,0.000161,0.000068,0.000041,0.000049,0.000043,0.000000,0.000044,0.000026,0.000020,0.000021,0.000587,0.000596,0.000601,0.000601,0.006852,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.318482,1.620558,1.318482,,1.318482,,1.102845,,,,,,,,,,1.318482,1.620558,1.102845,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,192,144,3,0.000000,0.000020,0.000015,0.000012,0.000010,0.000009,0.000047,0.000014,0.000014,0.000703,0.000113,0.000112,0.000023,0.000000,0.000922,0.000008,0.000388,0.000137,0.000072,0.000057,0.000043,0.000000,0.000043,0.000025,0.000022,0.000022,0.000940,0.000949,0.000954,0.000954,0.006852,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,2.142943,1.646216,2.142943,,,2.142943,1.012119,,,,,,,,,,2.142943,1.646216,1.012119,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000142,0.000087,0.000025,0.000017,0.000013,0.000141,0.000024,0.000024,0.002659,0.001033,0.001032,0.000259,0.000000,0.004261,0.000013,0.002037,0.000377,0.000118,0.000063,0.000067,0.000000,0.000742,0.000199,0.000057,0.000039,0.004281,0.004294,0.004324,0.004324,0.081899,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.852895,1.489805,0.852895,,0.852895,,0.999982,,,,,,,,,,0.852895,1.489805,0.999982,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000113,0.000128,0.000030,0.000017,0.000011,0.000183,0.000028,0.000028,0.004490,0.001111,0.001110,0.000254,0.000000,0.006169,0.000014,0.003408,0.000653,0.000202,0.000103,0.000088,0.000000,0.000801,0.000224,0.000051,0.000039,0.006190,0.006203,0.006234,0.006234,0.081899,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.970021,1.499121,0.970021,,,0.970021,1.021051,,,,,,,,,,0.970021,1.499121,1.021051,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000232,0.000297,0.000050,0.000013,0.000009,0.000369,0.000013,0.000012,0.007418,0.001813,0.001812,0.000552,0.000000,0.010389,0.000019,0.005871,0.001122,0.000254,0.000124,0.000084,0.000000,0.001394,0.000315,0.000078,0.000041,0.010414,0.010432,0.010484,0.010484,0.206698,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.577820,2.104767,0.577820,,0.577820,,1.007519,,,,,,,,,,0.577820,2.104767,1.007519,,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000252,0.000270,0.000044,0.000014,0.000010,0.000338,0.000013,0.000012,0.014423,0.001796,0.001795,0.000543,0.000000,0.017349,0.000017,0.011669,0.001995,0.000454,0.000197,0.000107,0.000000,0.001391,0.000291,0.000082,0.000042,0.017376,0.017394,0.017458,0.017458,0.206698,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.534039,2.091743,0.534039,,,0.534039,0.990167,,,,,,,,,,0.534039,2.091743,0.990167,,,,
