Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,900,750,3,0.000001,0.006362,0.007240,0.001484,0.000394,0.000129,0.009249,0.000194,0.000193,0.583711,0.060480,0.060478,0.029331,0.000002,0.689262,0.000073,0.440502,0.107515,0.026348,0.007549,0.001835,0.000000,0.045600,0.010881,0.002811,0.001206,0.689311,0.689384,0.689755,0.689755,7.708542,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329663,1.325374,,0.329663,0.329663,,0.993602,,,,,,,,,,,,,,,,,,0.329663,1.325374,0.993602,,,,
5,conesHalfSize,FLOAT,24,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,900,750,3,0.000001,0.006691,0.007207,0.001525,0.000384,0.000176,0.009289,0.000219,0.000218,0.612372,0.060479,0.060477,0.029311,0.000001,0.718950,0.000073,0.457467,0.114042,0.028670,0.010049,0.002021,0.000000,0.045444,0.010975,0.002862,0.001345,0.718998,0.719071,0.719453,0.719453,7.708542,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323189,1.330615,,0.323189,,0.323189,1.004264,,,,,,,,,,,,,,,,,,0.323189,1.330615,1.004264,,,,
6,conesFullSizeCropped,FLOAT,24,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,900,750,3,0.000001,0.020418,0.016859,0.004236,0.000939,0.000590,0.022603,0.000574,0.000573,1.254972,0.132588,0.132586,0.083367,0.000003,1.516275,0.000076,0.951964,0.219439,0.052742,0.026241,0.004586,0.000000,0.098880,0.023344,0.006457,0.003921,1.516323,1.516399,1.516751,1.516751,16.705495,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314031,1.118141,,0.314031,0.314031,,1.013281,,,,,,,,,,,,,,,,,,0.314031,1.118141,1.013281,,,,
6,conesFullSizeCropped,FLOAT,24,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,900,750,3,0.000001,0.020336,0.016875,0.004206,0.000908,0.000519,0.022508,0.000644,0.000643,1.269567,0.141378,0.141375,0.081102,0.000001,1.545761,0.000073,0.963423,0.225481,0.055005,0.020604,0.004223,0.000000,0.101706,0.024834,0.009849,0.004985,1.545810,1.545881,1.546252,1.546252,16.705495,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310066,1.114029,,0.310066,,0.310066,1.011574,,,,,,,,,,,,,,,,,,0.310066,1.114029,1.011574,,,,
0,tsukubaSetHalfSize,DOUBLE,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,192,144,3,0.000000,0.000018,0.000015,0.000010,0.000011,0.000008,0.000044,0.000011,0.000011,0.001192,0.000113,0.000112,0.000047,0.000000,0.001427,0.000008,0.000774,0.000234,0.000111,0.000057,0.000039,0.000000,0.000044,0.000026,0.000022,0.000021,0.001448,0.001457,0.001462,0.001462,0.007191,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.488207,1.544084,0.488207,,0.488207,,0.992837,,,,,,,,,,0.488207,1.544084,0.992837,,,,
0,tsukubaSetHalfSize,DOUBLE,24,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,192,144,3,0.000000,0.000021,0.000016,0.000010,0.000012,0.000009,0.000056,0.000016,0.000016,0.002173,0.000120,0.000120,0.000036,0.000000,0.002428,0.000010,0.001518,0.000404,0.000123,0.000072,0.000042,0.000000,0.000047,0.000025,0.000022,0.000021,0.002446,0.002456,0.002461,0.002461,0.007191,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.833036,1.568530,0.833036,,,0.833036,1.014871,,,,,,,,,,0.833036,1.568530,1.014871,,,,
1,tsukubaSet,DOUBLE,24,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,384,288,3,0.000000,0.000128,0.000088,0.000022,0.000012,0.000017,0.000140,0.000027,0.000027,0.009329,0.001014,0.001013,0.000710,0.000000,0.011348,0.000015,0.007039,0.001640,0.000423,0.000142,0.000089,0.000000,0.000733,0.000180,0.000064,0.000036,0.011371,0.011386,0.011414,0.011414,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.326797,1.506414,0.326797,,0.326797,,1.011416,,,,,,,,,,0.326797,1.506414,1.011416,,,,
1,tsukubaSet,DOUBLE,24,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,384,288,3,0.000000,0.000112,0.000090,0.000023,0.000012,0.000017,0.000141,0.000028,0.000027,0.013914,0.001002,0.001001,0.000705,0.000000,0.015862,0.000015,0.010275,0.002635,0.000687,0.000202,0.000118,0.000000,0.000747,0.000161,0.000058,0.000035,0.015885,0.015901,0.015930,0.015930,0.080996,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.367547,1.515834,0.367547,,,0.367547,0.988614,,,,,,,,,,0.367547,1.515834,0.988614,,,,
2,venus,DOUBLE,24,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,434,383,3,0.000000,0.000227,0.000166,0.000039,0.000014,0.000010,0.000229,0.000015,0.000015,0.019050,0.001581,0.001581,0.000677,0.000001,0.021772,0.000019,0.014053,0.003620,0.001005,0.000282,0.000091,0.000000,0.001141,0.000332,0.000080,0.000028,0.021803,0.021821,0.021874,0.021874,0.208688,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.274932,2.084700,0.274932,,0.274932,,1.000163,,,,,,,,,,0.274932,2.084700,1.000163,,,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,DEFAULT,434,383,3,0.000000,0.000249,0.000183,0.000040,0.000013,0.000024,0.000246,0.000014,0.000014,0.025796,0.001598,0.001597,0.000681,0.000001,0.028563,0.000020,0.019074,0.004929,0.001312,0.000367,0.000112,0.000000,0.001155,0.000343,0.000073,0.000029,0.028591,0.028611,0.028662,0.028662,0.208688,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.327604,2.071801,0.327604,,,0.327604,0.997209,,,,,,,,,,0.327604,2.071801,0.997209,,,,
