Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,96,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002627,0.003272,0.000604,0.000214,0.000081,0.004163,0.000205,0.000202,0.068654,0.023829,0.023828,0.006356,0.000002,0.105828,0.000050,0.057114,0.008872,0.001817,0.000552,0.000297,0.000000,0.017743,0.003818,0.001642,0.000613,0.105876,0.105925,0.106228,0.106228,7.761885,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.082649,1.316265,,2.082649,2.082649,,0.966723,,,,,,,,,,,,,,,,,,,,,,,,2.082649,1.316265,0.966723,,,,
5,conesHalfSize,FLOAT,96,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.002695,0.003265,0.000645,0.000238,0.000089,0.004235,0.000214,0.000212,0.069653,0.024856,0.024854,0.006311,0.000001,0.108067,0.000051,0.057267,0.009437,0.002013,0.000625,0.000335,0.000000,0.017679,0.003967,0.002323,0.000873,0.108113,0.108165,0.108482,0.108482,7.761885,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.148719,1.321470,,2.148719,,2.148719,1.006764,,,,,,,,,,,,,,,,,,,,,,,,2.148719,1.321470,1.006764,,,,
6,conesFullSizeCropped,FLOAT,96,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.006853,0.006897,0.001672,0.000442,0.000165,0.009174,0.000461,0.000459,0.152792,0.051835,0.051833,0.013756,0.000001,0.234839,0.000050,0.121449,0.025218,0.004477,0.001060,0.000539,0.000000,0.037457,0.008887,0.003812,0.001654,0.234884,0.234934,0.235235,0.235235,16.637129,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.003803,1.122736,,2.003803,2.003803,,1.002767,,,,,,,,,,,,,,,,,,,,,,,,2.003803,1.122736,1.002767,,,,
6,conesFullSizeCropped,FLOAT,96,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.006859,0.006893,0.001902,0.000981,0.000183,0.009955,0.000475,0.000473,0.155975,0.052470,0.052467,0.013873,0.000001,0.239780,0.000050,0.123664,0.025895,0.004683,0.001189,0.000552,0.000000,0.037297,0.009257,0.004167,0.001644,0.239828,0.239876,0.240171,0.240171,16.637129,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.988158,1.118606,,1.988158,,1.988158,1.007477,,,,,,,,,,,,,,,,,,,,,,,,1.988158,1.118606,1.007477,,,,
0,tsukubaSetHalfSize,DOUBLE,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000018,0.000029,0.000027,0.000028,0.000025,0.000110,0.000016,0.000016,0.000533,0.000165,0.000164,0.000043,0.000000,0.000886,0.000023,0.000155,0.000106,0.000089,0.000081,0.000090,0.000000,0.000047,0.000041,0.000038,0.000037,0.000902,0.000925,0.000931,0.000931,0.008319,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.266763,1.334703,1.266763,,1.266763,,1.640599,,,,,,,,,,,,,,1.266763,1.334703,1.640599,,,,
0,tsukubaSetHalfSize,DOUBLE,96,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,192,144,15,0.000000,0.000017,0.000027,0.000026,0.000026,0.000025,0.000104,0.000016,0.000015,0.000671,0.000160,0.000159,0.000040,0.000000,0.001012,0.000021,0.000245,0.000136,0.000104,0.000098,0.000085,0.000000,0.000048,0.000039,0.000036,0.000037,0.001027,0.001047,0.001053,0.001053,0.008319,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.127403,1.355835,2.127403,,,2.127403,1.108912,,,,,,,,,,,,,,2.127403,1.355835,1.108912,,,,
1,tsukubaSet,DOUBLE,96,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000048,0.000046,0.000034,0.000030,0.000028,0.000140,0.000024,0.000024,0.001030,0.000565,0.000563,0.000062,0.000000,0.001881,0.000027,0.000464,0.000231,0.000129,0.000097,0.000110,0.000000,0.000342,0.000107,0.000065,0.000050,0.001903,0.001928,0.001959,0.001959,0.082047,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.389807,1.487109,1.389807,,1.389807,,0.738171,,,,,,,,,,,,,,1.389807,1.487109,0.738171,,,,
1,tsukubaSet,DOUBLE,96,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000049,0.000045,0.000034,0.000029,0.000028,0.000138,0.000034,0.000034,0.001529,0.000528,0.000526,0.000062,0.000000,0.002340,0.000026,0.000747,0.000321,0.000202,0.000138,0.000112,0.000000,0.000299,0.000103,0.000067,0.000051,0.002362,0.002388,0.002419,0.002419,0.082047,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,2.453167,1.496409,2.453167,,,2.453167,1.001960,,,,,,,,,,,,,,2.453167,1.496409,1.001960,,,,
2,venus,DOUBLE,96,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000084,0.000056,0.000033,0.000032,0.000030,0.000154,0.000047,0.000047,0.002754,0.000611,0.000610,0.000205,0.000000,0.003856,0.000026,0.001867,0.000385,0.000213,0.000152,0.000130,0.000000,0.000368,0.000108,0.000065,0.000064,0.003879,0.003905,0.003955,0.003955,0.207360,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.517106,2.098047,1.517106,,1.517106,,0.997896,,,,,,,,,,,,,,1.517106,2.098047,0.997896,,,,
2,venus,DOUBLE,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,AVX256,434,383,15,0.000000,0.000086,0.000052,0.000033,0.000032,0.000031,0.000151,0.000044,0.000043,0.004110,0.000621,0.000619,0.000197,0.000000,0.005235,0.000026,0.002858,0.000606,0.000314,0.000199,0.000146,0.000000,0.000347,0.000122,0.000067,0.000073,0.005258,0.005286,0.005339,0.005339,0.207360,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.770450,2.085065,1.770450,,,1.770450,1.003864,,,,,,,,,,,,,,1.770450,2.085065,1.003864,,,,
