Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000015,0.000015,0.000010,0.000009,0.000050,0.000012,0.000012,0.000308,0.000134,0.000133,0.000019,0.000000,0.000546,0.000036,0.000105,0.000060,0.000045,0.000055,0.000045,0.000000,0.000030,0.000037,0.000029,0.000032,0.000562,0.000635,0.000641,0.000641,0.007448,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.483162,1.364678,1.483162,,1.483162,,1.334578,,,1.483162,1.364678,1.334578,,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000022,0.000015,0.000016,0.000011,0.000009,0.000049,0.000012,0.000012,0.000498,0.000108,0.000107,0.000019,0.000000,0.000705,0.000009,0.000203,0.000081,0.000054,0.000093,0.000056,0.000000,0.000028,0.000024,0.000029,0.000029,0.000726,0.000811,0.000816,0.000816,0.007448,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.728553,1.385637,1.728553,,,1.728553,1.142284,,,1.728553,1.385637,1.142284,,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000094,0.000040,0.000015,0.000019,0.000016,0.000089,0.000025,0.000025,0.000832,0.000323,0.000322,0.000035,0.000000,0.001392,0.000014,0.000361,0.000120,0.000101,0.000155,0.000082,0.000000,0.000189,0.000048,0.000044,0.000043,0.001409,0.001420,0.001449,0.001449,0.076636,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.475194,1.634510,1.475194,,1.475194,,1.030470,,,1.475194,1.634510,1.030470,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000110,0.000041,0.000015,0.000020,0.000013,0.000089,0.000032,0.000031,0.001405,0.000310,0.000309,0.000035,0.000000,0.002005,0.000012,0.000593,0.000181,0.000091,0.000339,0.000156,0.000000,0.000184,0.000048,0.000041,0.000040,0.002025,0.002037,0.002066,0.002066,0.076636,,1.490307,1.455169,0.398953,0.223009,0.073712,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004494,0.004494,0.001890,0.000479,0.000326,0.000000,1.410677,1.618630,1.410677,,,1.410677,1.014634,,,1.410677,1.618630,1.014634,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000189,0.000082,0.000026,0.000012,0.000009,0.000129,0.000010,0.000010,0.001986,0.000476,0.000475,0.000107,0.000000,0.002932,0.000015,0.001082,0.000291,0.000121,0.000336,0.000097,0.000000,0.000299,0.000091,0.000038,0.000045,0.002954,0.002969,0.003016,0.003016,0.197013,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,1.243516,2.234173,1.243516,,1.243516,,1.062877,,,1.243516,2.234173,1.062877,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000191,0.000085,0.000041,0.000013,0.000010,0.000144,0.000011,0.000011,0.003154,0.000458,0.000457,0.000105,0.000000,0.004055,0.000016,0.001972,0.000531,0.000172,0.000363,0.000131,0.000000,0.000308,0.000093,0.000038,0.000020,0.004076,0.004092,0.004138,0.004138,0.197013,,0.446654,0.423928,0.883956,0.025261,0.013993,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002238,0.002238,0.001678,0.000126,0.000066,0.000000,0.979645,2.234056,0.979645,,,0.979645,0.994975,,,0.979645,2.234056,0.994975,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000285,0.000105,0.000072,0.000013,0.000010,0.000200,0.000012,0.000012,0.003194,0.001462,0.001461,0.000186,0.000000,0.005331,0.000016,0.002010,0.000493,0.000185,0.000392,0.000125,0.000000,0.000854,0.000404,0.000162,0.000042,0.005350,0.005366,0.005412,0.005412,0.392054,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.753799,1.642511,,,0.753799,,0.988427,,,0.753799,1.642511,0.988427,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,432,381,3,0.000000,0.000309,0.000110,0.000075,0.000014,0.000009,0.000207,0.000012,0.000012,0.004327,0.001480,0.001479,0.000187,0.000000,0.006516,0.000016,0.002739,0.000722,0.000240,0.000473,0.000150,0.000000,0.000871,0.000414,0.000161,0.000057,0.006536,0.006552,0.006598,0.006598,0.392054,,0.500237,0.486434,0.850230,0.039097,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001604,0.001604,0.000784,0.000140,0.000103,0.000000,0.821736,1.644873,,,,0.821736,0.993259,,,0.821736,1.644873,0.993259,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001262,0.000836,0.000214,0.000042,0.000011,0.001101,0.000026,0.000025,0.007890,0.004663,0.004662,0.000424,0.000000,0.015375,0.000018,0.005050,0.001146,0.000317,0.001048,0.000319,0.000000,0.003223,0.001016,0.000342,0.000084,0.015395,0.015413,0.015462,0.015462,0.844586,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.604793,1.560659,,0.604793,0.604793,,0.976623,,,0.604793,1.560659,0.976623,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,450,375,3,0.000000,0.001248,0.000793,0.000210,0.000044,0.000011,0.001057,0.000026,0.000026,0.009277,0.004587,0.004587,0.000443,0.000000,0.016637,0.000017,0.006020,0.001393,0.000365,0.001190,0.000371,0.000000,0.003163,0.001025,0.000328,0.000082,0.016661,0.016678,0.016731,0.016731,0.844586,,2.316924,1.475779,0.790524,0.157505,0.109879,0.073576,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.040545,0.035994,0.010643,0.005683,0.000741,0.000622,0.660309,1.567763,,0.660309,,0.660309,0.986349,,,0.660309,1.567763,0.986349,,
