Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,HALF,24,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,192,144,3,0.000000,0.000020,0.000015,0.000014,0.000010,0.000009,0.000047,0.000009,0.000009,0.000265,0.000121,0.000120,0.000017,0.000000,0.000491,0.000007,0.000107,0.000053,0.000035,0.000031,0.000040,0.000000,0.000026,0.000030,0.000027,0.000031,0.000508,0.000515,0.000520,0.000520,0.007562,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.350547,1.344022,1.350547,,1.350547,,0.986711,,,,1.350547,1.344022,0.986711,,
0,tsukubaSetHalfSize,HALF,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000021,0.000015,0.000013,0.000010,0.000008,0.000046,0.000013,0.000013,0.000471,0.000109,0.000108,0.000015,0.000000,0.000675,0.000007,0.000187,0.000077,0.000059,0.000084,0.000064,0.000000,0.000027,0.000025,0.000027,0.000028,0.000689,0.000697,0.000702,0.000702,0.007562,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,1.753821,1.364663,1.753821,,,1.753821,0.996647,,,,1.753821,1.364663,0.996647,,
1,tsukubaSet,HALF,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000118,0.000068,0.000023,0.000029,0.000013,0.000136,0.000024,0.000024,0.001056,0.000319,0.000318,0.000049,0.000000,0.001695,0.000012,0.000650,0.000180,0.000090,0.000053,0.000075,0.000000,0.000183,0.000049,0.000042,0.000046,0.001711,0.001722,0.001753,0.001753,0.076477,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.152442,1.637916,1.152442,,1.152442,,0.973446,,,,1.152442,1.637916,0.973446,,
1,tsukubaSet,HALF,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000125,0.000068,0.000023,0.000022,0.000013,0.000127,0.000024,0.000023,0.001708,0.000323,0.000322,0.000046,0.000000,0.002352,0.000011,0.001035,0.000313,0.000130,0.000087,0.000155,0.000000,0.000181,0.000050,0.000043,0.000041,0.002368,0.002380,0.002410,0.002410,0.076477,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,1.175663,1.622003,1.175663,,,1.175663,0.986330,,,,1.175663,1.622003,0.986330,,
2,venus,HALF,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000257,0.000129,0.000038,0.000016,0.000010,0.000191,0.000011,0.000011,0.002518,0.000471,0.000470,0.000114,0.000000,0.003536,0.000015,0.001693,0.000446,0.000171,0.000083,0.000110,0.000000,0.000318,0.000105,0.000039,0.000022,0.003554,0.003569,0.003616,0.003616,0.199850,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.976733,2.202462,0.976733,,0.976733,,1.000841,,,,0.976733,2.202462,1.000841,,
2,venus,HALF,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000236,0.000128,0.000038,0.000015,0.000010,0.000192,0.000011,0.000011,0.003960,0.000449,0.000448,0.000115,0.000000,0.004955,0.000015,0.002811,0.000702,0.000238,0.000106,0.000123,0.000000,0.000303,0.000093,0.000038,0.000019,0.004974,0.004990,0.005036,0.005036,0.199850,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,0.804687,2.202347,0.804687,,,0.804687,0.994610,,,,0.804687,2.202347,0.994610,,
3,barn1,HALF,24,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000354,0.000190,0.000105,0.000019,0.000010,0.000323,0.000012,0.000012,0.004108,0.001463,0.001462,0.000197,0.000000,0.006492,0.000015,0.002884,0.000753,0.000242,0.000100,0.000136,0.000000,0.000865,0.000406,0.000161,0.000043,0.006513,0.006528,0.006574,0.006574,0.389618,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.626549,1.652780,,,0.626549,,0.997884,,,,0.626549,1.652780,0.997884,,
3,barn1,HALF,24,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,432,381,3,0.000000,0.000353,0.000204,0.000105,0.000030,0.000010,0.000345,0.000012,0.000012,0.005449,0.001467,0.001466,0.000197,0.000000,0.007804,0.000030,0.003873,0.000979,0.000326,0.000129,0.000144,0.000000,0.000872,0.000396,0.000165,0.000044,0.007824,0.007855,0.007901,0.007901,0.389618,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,0.686936,1.655156,,,,0.686936,0.994211,,,,0.686936,1.655156,0.994211,,
4,conesQuarterSize,HALF,24,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001251,0.000827,0.000201,0.000045,0.000014,0.001081,0.000025,0.000024,0.009945,0.004629,0.004628,0.000560,0.000000,0.017486,0.000018,0.007343,0.001720,0.000452,0.000164,0.000278,0.000000,0.003183,0.001037,0.000341,0.000082,0.017508,0.017526,0.017576,0.017576,0.860459,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.542298,1.531868,,0.542298,0.542298,,0.995456,,,,0.542298,1.531868,0.995456,,
4,conesQuarterSize,HALF,24,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,450,375,3,0.000000,0.001254,0.000839,0.000228,0.000057,0.000014,0.001138,0.000027,0.000026,0.011897,0.004639,0.004638,0.000557,0.000000,0.019495,0.000018,0.008801,0.002054,0.000532,0.000197,0.000310,0.000000,0.003198,0.001018,0.000339,0.000094,0.019517,0.019534,0.019584,0.019584,0.860459,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.020840,0.007052,0.003064,0.000421,0.000415,0.570658,1.538841,,0.570658,,0.570658,0.997805,,,,0.570658,1.538841,0.997805,,
