Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000026,0.000018,0.000012,0.000010,0.000010,0.000055,0.000011,0.000011,0.000501,0.000149,0.000148,0.000026,0.000000,0.000771,0.000009,0.000242,0.000098,0.000046,0.000057,0.000040,0.000000,0.000071,0.000033,0.000023,0.000020,0.000797,0.000805,0.000814,0.000814,0.007391,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.864605,1.502286,0.864605,,0.864605,,0.978600,,,,,,,,,,0.864605,1.502286,0.978600,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000032,0.000019,0.000011,0.000010,0.000009,0.000051,0.000019,0.000019,0.000865,0.000142,0.000141,0.000031,0.000000,0.001184,0.000008,0.000511,0.000167,0.000069,0.000070,0.000042,0.000000,0.000068,0.000031,0.000023,0.000018,0.001202,0.001211,0.001217,0.001217,0.007391,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.717270,1.526071,1.717270,,,1.717270,1.034900,,,,,,,,,,1.717270,1.526071,1.034900,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000204,0.000128,0.000037,0.000016,0.000012,0.000194,0.000019,0.000019,0.004702,0.001821,0.001820,0.000436,0.000000,0.007335,0.000020,0.003719,0.000569,0.000195,0.000085,0.000090,0.000000,0.001367,0.000336,0.000079,0.000055,0.007367,0.007387,0.007431,0.007431,0.085014,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.497271,1.435212,0.497271,,0.497271,,1.001874,,,,,,,,,,0.497271,1.435212,1.001874,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000173,0.000119,0.000034,0.000032,0.000011,0.000195,0.000019,0.000019,0.008918,0.001784,0.001783,0.000458,0.000000,0.011524,0.000020,0.007590,0.000878,0.000272,0.000094,0.000108,0.000000,0.001384,0.000301,0.000081,0.000037,0.011554,0.011574,0.011617,0.011617,0.085014,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.268489,1.444187,0.268489,,,0.268489,0.526655,,,,,,,,,,0.268489,1.444187,0.526655,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000402,0.000747,0.000085,0.000019,0.000014,0.000864,0.000021,0.000020,0.022052,0.005199,0.005198,0.001759,0.000001,0.030315,0.000032,0.018097,0.003287,0.000348,0.000150,0.000138,0.000000,0.004052,0.000946,0.000128,0.000092,0.030358,0.030390,0.030474,0.030474,0.222040,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.194725,1.959339,0.194725,,0.194725,,0.986901,,,,,,,,,,0.194725,1.959339,0.986901,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000453,0.000727,0.000083,0.000020,0.000014,0.000842,0.000020,0.000019,0.028213,0.005177,0.005175,0.001821,0.000001,0.036538,0.000034,0.022741,0.004435,0.000600,0.000226,0.000189,0.000000,0.004074,0.000912,0.000137,0.000081,0.036575,0.036608,0.036691,0.036691,0.222040,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.256368,1.947215,0.256368,,,0.256368,0.998966,,,,,,,,,,0.256368,1.947215,0.998966,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000608,0.001212,0.000146,0.000045,0.000017,0.001416,0.000028,0.000027,0.032121,0.006881,0.006879,0.002974,0.000001,0.044065,0.000032,0.025303,0.005777,0.000646,0.000212,0.000200,0.000000,0.004971,0.001538,0.000257,0.000130,0.044108,0.044141,0.044225,0.044225,0.421274,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.277403,1.521630,,,0.277403,,1.002562,,,,,,,,,,0.277403,1.521630,1.002562,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000602,0.001234,0.000155,0.000062,0.000026,0.001445,0.000033,0.000032,0.038504,0.006877,0.006875,0.002985,0.000001,0.050401,0.000050,0.029852,0.007101,0.000937,0.000297,0.000246,0.000000,0.004960,0.001526,0.000268,0.000134,0.050443,0.050493,0.050575,0.050575,0.421274,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.312826,1.531007,,,,0.312826,0.995721,,,,,,,,,,0.312826,1.531007,0.995721,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001978,0.003211,0.000712,0.000129,0.000042,0.004073,0.000059,0.000058,0.074534,0.017398,0.017396,0.007588,0.000002,0.105802,0.000033,0.061227,0.010123,0.002247,0.000484,0.000449,0.000000,0.012698,0.003276,0.001149,0.000295,0.105841,0.105875,0.105968,0.105968,0.900266,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.456044,1.458380,,0.456044,0.456044,,0.990659,,,,,,,,,,0.456044,1.458380,0.990659,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.002028,0.003271,0.000694,0.000104,0.000053,0.004109,0.000063,0.000062,0.082008,0.017717,0.017714,0.007839,0.000002,0.114382,0.000032,0.066823,0.011618,0.002580,0.000542,0.000458,0.000000,0.013020,0.003384,0.001055,0.000280,0.114441,0.114474,0.114558,0.114558,0.900266,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.437881,1.449827,,0.437881,,0.437881,0.998983,,,,,,,,,,0.437881,1.449827,0.998983,,,,
