Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,48,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,900,750,7,0.000001,0.007843,0.009606,0.002259,0.000460,0.000081,0.012404,0.000162,0.000161,0.228990,0.059934,0.059932,0.018632,0.000001,0.328025,0.000116,0.173702,0.042355,0.011339,0.001155,0.000449,0.000000,0.042311,0.012568,0.004148,0.000909,0.328084,0.328195,0.328559,0.328559,11.111740,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.695935,0.919451,,0.695935,0.695935,,0.999146,,,,,,,,,,,,,,,,,,,,,,,,0.695935,0.919451,0.999146,,,,
5,conesHalfSize,FLOAT,48,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,900,750,7,0.000001,0.007935,0.009693,0.002268,0.000527,0.000089,0.012588,0.000188,0.000186,0.233180,0.059300,0.059297,0.018631,0.000001,0.331916,0.000119,0.177408,0.042605,0.011429,0.001243,0.000489,0.000000,0.042334,0.011691,0.004326,0.000944,0.331969,0.332088,0.332468,0.332468,11.111740,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692463,0.923087,,0.692463,,0.692463,0.994341,,,,,,,,,,,,,,,,,,,,,,,,0.692463,0.923087,0.994341,,,,
6,conesFullSizeCropped,FLOAT,48,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,900,750,7,0.000001,0.016983,0.020018,0.005008,0.001293,0.000225,0.026562,0.000450,0.000449,0.535583,0.135119,0.135116,0.037665,0.000001,0.753068,0.000111,0.412382,0.089028,0.029559,0.004088,0.000760,0.000000,0.094673,0.026381,0.011736,0.002441,0.753120,0.753226,0.753598,0.753598,22.084195,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630566,0.845813,,0.630566,0.630566,,1.010912,,,,,,,,,,,,,,,,,,,,,,,,0.630566,0.845813,1.010912,,,,
6,conesFullSizeCropped,FLOAT,48,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,900,750,7,0.000001,0.016991,0.020080,0.005382,0.001271,0.000207,0.026930,0.000358,0.000357,0.549666,0.134502,0.134499,0.037531,0.000001,0.765847,0.000111,0.423961,0.090711,0.029815,0.004233,0.000791,0.000000,0.095285,0.025977,0.010998,0.002354,0.765911,0.766024,0.766402,0.766402,22.084195,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.616519,0.842702,,0.616519,,0.616519,0.996933,,,,,,,,,,,,,,,,,,,,,,,,0.616519,0.842702,0.996933,,,,
0,tsukubaSetHalfSize,DOUBLE,48,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,192,144,15,0.000000,0.000023,0.000024,0.000021,0.000021,0.000019,0.000087,0.000013,0.000013,0.000561,0.000163,0.000163,0.000036,0.000000,0.000887,0.000018,0.000202,0.000105,0.000075,0.000104,0.000075,0.000000,0.000063,0.000036,0.000032,0.000032,0.000922,0.000940,0.000951,0.000951,0.014990,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.940859,0.740734,0.940859,,0.940859,,1.244428,,,,,,,,,,,,,,0.940859,0.740734,1.244428,,,,
0,tsukubaSetHalfSize,DOUBLE,48,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,192,144,15,0.000000,0.000027,0.000024,0.000021,0.000021,0.000019,0.000087,0.000014,0.000014,0.001158,0.000165,0.000165,0.000037,0.000000,0.001486,0.000018,0.000625,0.000234,0.000097,0.000115,0.000078,0.000000,0.000061,0.000037,0.000034,0.000032,0.001518,0.001536,0.001547,0.001547,0.014990,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.374549,0.752462,1.374549,,,1.374549,1.052599,,,,,,,,,,,,,,1.374549,0.752462,1.052599,,,,
1,tsukubaSet,DOUBLE,48,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,384,288,15,0.000000,0.000139,0.000077,0.000037,0.000028,0.000023,0.000167,0.000027,0.000027,0.005181,0.001457,0.001456,0.000560,0.000001,0.007541,0.000031,0.004264,0.000502,0.000227,0.000105,0.000074,0.000000,0.001024,0.000290,0.000088,0.000058,0.007598,0.007630,0.007711,0.007711,0.154656,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.524175,0.788933,0.524175,,0.524175,,1.095967,,,,,,,,,,,,,,0.524175,0.788933,1.095967,,,,
1,tsukubaSet,DOUBLE,48,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,384,288,15,0.000001,0.000165,0.000094,0.000039,0.000034,0.000027,0.000203,0.000034,0.000034,0.006927,0.001463,0.001462,0.000477,0.000001,0.009280,0.000037,0.005352,0.000898,0.000342,0.000167,0.000159,0.000000,0.001021,0.000279,0.000101,0.000058,0.009345,0.009382,0.009467,0.009467,0.154656,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.631230,0.793866,0.631230,,,0.631230,1.009011,,,,,,,,,,,,,,0.631230,0.793866,1.009011,,,,
2,venus,DOUBLE,48,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,434,383,15,0.000001,0.000464,0.000323,0.000064,0.000022,0.000022,0.000432,0.000034,0.000033,0.013918,0.003546,0.003545,0.001393,0.000001,0.019795,0.000038,0.011928,0.001235,0.000340,0.000199,0.000214,0.000000,0.002771,0.000531,0.000163,0.000073,0.019852,0.019891,0.019987,0.019987,0.382884,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.301884,1.136251,0.301884,,0.301884,,1.003471,,,,,,,,,,,,,,0.301884,1.136251,1.003471,,,,
2,venus,DOUBLE,48,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX256,434,383,15,0.000001,0.000478,0.000328,0.000056,0.000022,0.000022,0.000429,0.000033,0.000032,0.016857,0.003526,0.003524,0.001504,0.000001,0.022829,0.000037,0.014148,0.001883,0.000449,0.000203,0.000136,0.000000,0.002781,0.000524,0.000136,0.000082,0.022885,0.022923,0.023015,0.023015,0.382884,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.410688,1.129220,0.410688,,,0.410688,1.003823,,,,,,,,,,,,,,0.410688,1.129220,1.003823,,,,
