Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,78,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,900,750,7,0.000002,0.004409,0.007183,0.001761,0.000522,0.000070,0.009665,0.000166,0.000160,0.197151,0.054345,0.054340,0.014426,0.000004,0.280295,0.001094,0.142362,0.037102,0.011845,0.005406,0.000794,0.000000,0.041465,0.008394,0.002723,0.001755,0.280385,0.281415,0.281956,0.281956,22.100736,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806314,0.462279,,0.806314,0.806314,,0.993418,,,,,,,,,,,,,,,,,,,,,0.806314,0.462279,0.993418,,,,
5,conesHalfSize,FLOAT,78,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,900,750,7,0.000002,0.004470,0.007067,0.002344,0.000972,0.000281,0.010970,0.000132,0.000129,0.213169,0.052530,0.052525,0.014122,0.000004,0.294499,0.001301,0.153577,0.039730,0.013559,0.005955,0.000888,0.000000,0.039391,0.008774,0.002713,0.001559,0.294577,0.295777,0.296328,0.296328,22.100736,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.770118,0.464107,,0.770118,,0.770118,0.985641,,,,,,,,,,,,,,,,,,,,,0.770118,0.464107,0.985641,,,,
6,conesFullSizeCropped,FLOAT,78,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,900,750,7,0.000001,0.008822,0.013892,0.003244,0.001571,0.001083,0.019727,0.000325,0.000321,0.440286,0.143655,0.143649,0.027484,0.000004,0.641283,0.000978,0.330767,0.074361,0.022598,0.010777,0.001819,0.000000,0.112451,0.021501,0.007193,0.002874,0.641425,0.642525,0.643064,0.643064,42.476483,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.764809,0.439752,,0.764809,0.764809,,1.046285,,,,,,,,,,,,,,,,,,,,,0.764809,0.439752,1.046285,,,,
6,conesFullSizeCropped,FLOAT,78,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,900,750,7,0.000002,0.008631,0.013638,0.003698,0.001560,0.001225,0.019966,0.000532,0.000528,0.451842,0.141301,0.141296,0.027440,0.000004,0.651557,0.001124,0.338282,0.076592,0.023538,0.010481,0.002642,0.000000,0.110326,0.021188,0.007121,0.003083,0.651668,0.652453,0.652975,0.652975,42.476483,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.741228,0.438134,,0.741228,,0.741228,1.021201,,,,,,,,,,,,,,,,,,,,,0.741228,0.438134,1.021201,,,,
0,tsukubaSetHalfSize,DOUBLE,78,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,192,144,15,0.000000,0.000037,0.000029,0.000026,0.000026,0.000027,0.000112,0.000014,0.000014,0.000729,0.000169,0.000168,0.000049,0.000000,0.001135,0.000029,0.000275,0.000150,0.000101,0.000093,0.000093,0.000000,0.000050,0.000046,0.000036,0.000030,0.001171,0.001203,0.001218,0.001218,0.026951,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.712436,0.411992,0.712436,,0.712436,,1.207134,,,,,,,,,,,,0.712436,0.411992,1.207134,,,,
0,tsukubaSetHalfSize,DOUBLE,78,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,192,144,15,0.000000,0.000035,0.000029,0.000025,0.000026,0.000026,0.000109,0.000015,0.000013,0.001335,0.000161,0.000160,0.000052,0.000000,0.001734,0.000026,0.000701,0.000240,0.000151,0.000114,0.000103,0.000000,0.000047,0.000044,0.000036,0.000028,0.001768,0.001798,0.001813,0.001813,0.026951,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.130445,0.418515,1.130445,,,1.130445,1.014604,,,,,,,,,,,,1.130445,0.418515,1.014604,,,,
1,tsukubaSet,DOUBLE,78,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,384,288,15,0.000000,0.000161,0.000073,0.000037,0.000034,0.000029,0.000192,0.000025,0.000024,0.003028,0.000516,0.000514,0.000120,0.000000,0.004034,0.000040,0.001968,0.000585,0.000199,0.000124,0.000103,0.000000,0.000221,0.000144,0.000064,0.000041,0.004099,0.004143,0.004212,0.004212,0.277648,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.839309,0.439453,0.839309,,0.839309,,0.958455,,,,,,,,,,,,0.839309,0.439453,0.958455,,,,
1,tsukubaSet,DOUBLE,78,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,384,288,15,0.000000,0.000152,0.000072,0.000036,0.000033,0.000030,0.000192,0.000024,0.000022,0.006706,0.000512,0.000510,0.000142,0.000000,0.007754,0.000038,0.004722,0.001226,0.000387,0.000215,0.000149,0.000000,0.000235,0.000152,0.000063,0.000044,0.007802,0.007843,0.007908,0.007908,0.277648,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.735741,0.442201,0.735741,,,0.735741,0.982355,,,,,,,,,,,,0.735741,0.442201,0.982355,,,,
2,venus,DOUBLE,78,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,DEFAULT,434,383,15,0.000001,0.000183,0.000240,0.000108,0.000063,0.000045,0.000468,0.000034,0.000031,0.011920,0.001038,0.001036,0.000391,0.000002,0.014131,0.000253,0.008303,0.002374,0.000793,0.000298,0.000171,0.000000,0.000497,0.000350,0.000144,0.000072,0.014204,0.014489,0.014590,0.014590,0.818244,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.400891,0.531690,0.400891,,0.400891,,0.972735,,,,,,,,,,,,0.400891,0.531690,0.972735,,,,
2,venus,DOUBLE,78,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,78,NEON,434,383,15,0.000001,0.000234,0.000180,0.000077,0.000048,0.000043,0.000377,0.000030,0.000030,0.013418,0.001527,0.001524,0.000324,0.000001,0.015963,0.000254,0.009309,0.002618,0.000989,0.000324,0.000201,0.000000,0.000920,0.000365,0.000169,0.000074,0.016045,0.016286,0.016384,0.016384,0.818244,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.567853,0.528400,0.567853,,,0.567853,0.988076,,,,,,,,,,,,0.567853,0.528400,0.988076,,,,
