Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006594,0.007180,0.001701,0.000766,0.000137,0.009815,0.000215,0.000214,0.168020,0.059198,0.059196,0.010680,0.000001,0.255327,0.000072,0.131371,0.027852,0.006583,0.001830,0.000414,0.000000,0.040970,0.010009,0.006445,0.001772,0.255367,0.255438,0.255731,0.255731,7.729328,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907360,1.321810,,0.907360,0.907360,,1.013935,,,,,,,,,,,,,,,,,,,,,,,,0.907360,1.321810,1.013935,,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006919,0.007029,0.001581,0.000690,0.000140,0.009440,0.000241,0.000240,0.170227,0.059281,0.059279,0.010487,0.000001,0.257107,0.000069,0.133145,0.028433,0.006595,0.001669,0.000447,0.000000,0.041549,0.010493,0.005956,0.001420,0.257143,0.257213,0.257505,0.257505,7.729328,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.898022,1.327036,,0.898022,,0.898022,0.998759,,,,,,,,,,,,,,,,,,,,,,,,0.898022,1.327036,0.998759,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000000,0.020384,0.014865,0.004119,0.001715,0.000349,0.021038,0.000803,0.000802,0.349524,0.137429,0.137426,0.022027,0.000001,0.551023,0.000085,0.267541,0.062329,0.015159,0.003612,0.000810,0.000000,0.095748,0.023571,0.013840,0.004350,0.551062,0.551148,0.551438,0.551438,16.619607,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.859051,1.123919,,0.859051,0.859051,,1.007764,,,,,,,,,,,,,,,,,,,,,,,,0.859051,1.123919,1.007764,,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020624,0.015220,0.004245,0.002988,0.000405,0.022860,0.000617,0.000616,0.354700,0.136466,0.136464,0.021870,0.000001,0.556268,0.000070,0.271278,0.063122,0.015556,0.003883,0.000926,0.000000,0.090959,0.025460,0.015062,0.004983,0.556303,0.556374,0.556664,0.556664,16.619607,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866775,1.119786,,0.866775,,0.866775,1.018034,,,,,,,,,,,,,,,,,,,,,,,,0.866775,1.119786,1.018034,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000021,0.000013,0.000014,0.000011,0.000009,0.000048,0.000012,0.000012,0.000386,0.000114,0.000113,0.000020,0.000000,0.000619,0.000008,0.000187,0.000071,0.000041,0.000045,0.000040,0.000000,0.000040,0.000029,0.000021,0.000019,0.000635,0.000641,0.000647,0.000647,0.007047,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.319435,1.575632,1.319435,,1.319435,,1.187474,,,,,,,,,,,,,,1.319435,1.575632,1.187474,,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000013,0.000010,0.000009,0.000047,0.000015,0.000015,0.000674,0.000121,0.000121,0.000024,0.000000,0.000890,0.000008,0.000359,0.000133,0.000083,0.000056,0.000041,0.000000,0.000042,0.000029,0.000022,0.000021,0.000907,0.000914,0.000920,0.000920,0.007047,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.180913,1.600578,2.180913,,,2.180913,0.992758,,,,,,,,,,,,,,2.180913,1.600578,0.992758,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000112,0.000088,0.000024,0.000017,0.000011,0.000141,0.000029,0.000029,0.002724,0.001074,0.001074,0.000258,0.000000,0.004328,0.000014,0.002079,0.000373,0.000122,0.000076,0.000076,0.000000,0.000802,0.000212,0.000049,0.000037,0.004347,0.004361,0.004393,0.004393,0.079964,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.859853,1.525854,0.859853,,0.859853,,1.024254,,,,,,,,,,,,,,0.859853,1.525854,1.024254,,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000133,0.000097,0.000021,0.000017,0.000011,0.000147,0.000030,0.000029,0.004397,0.001090,0.001089,0.000256,0.000000,0.006026,0.000013,0.003434,0.000568,0.000189,0.000101,0.000080,0.000000,0.000800,0.000205,0.000047,0.000040,0.006049,0.006062,0.006094,0.006094,0.079964,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.968882,1.535396,0.968882,,,0.968882,0.996888,,,,,,,,,,,,,,0.968882,1.535396,0.996888,,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000239,0.000242,0.000044,0.000014,0.000009,0.000311,0.000013,0.000012,0.007321,0.001795,0.001794,0.000552,0.000000,0.010194,0.000018,0.005787,0.001100,0.000242,0.000122,0.000084,0.000000,0.001384,0.000306,0.000066,0.000040,0.010219,0.010238,0.010289,0.010289,0.207343,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.587972,2.098227,0.587972,,0.587972,,1.006182,,,,,,,,,,,,,,0.587972,2.098227,1.006182,,,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000250,0.000194,0.000053,0.000029,0.000009,0.000278,0.000014,0.000014,0.013376,0.001672,0.001672,0.000514,0.000000,0.016088,0.000020,0.010703,0.001970,0.000481,0.000178,0.000100,0.000000,0.001174,0.000389,0.000080,0.000028,0.016120,0.016140,0.016197,0.016197,0.207343,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.586998,2.085244,0.586998,,,0.586998,1.009694,,,,,,,,,,,,,,0.586998,2.085244,1.009694,,,,
