Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000022,0.000015,0.000010,0.000010,0.000012,0.000053,0.000018,0.000018,0.000304,0.000126,0.000126,0.000016,0.000000,0.000524,0.000007,0.000130,0.000053,0.000040,0.000046,0.000035,0.000000,0.000044,0.000027,0.000028,0.000026,0.000540,0.000547,0.000552,0.000552,0.007481,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.931506,1.399990,0.931506,,0.931506,,0.888023,,,,,,,,,,,,,,,,,,,,,,0.931506,1.399990,0.888023,,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000015,0.000010,0.000010,0.000009,0.000043,0.000019,0.000019,0.000544,0.000118,0.000117,0.000018,0.000000,0.000761,0.000021,0.000276,0.000096,0.000058,0.000060,0.000052,0.000000,0.000044,0.000026,0.000023,0.000023,0.000777,0.000783,0.000789,0.000789,0.007481,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.569931,1.462042,1.569931,,,1.569931,0.957399,,,,,,,,,,,,,,,,,,,,,,1.569931,1.462042,0.957399,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000141,0.000082,0.000032,0.000015,0.000014,0.000130,0.000023,0.000023,0.001870,0.001153,0.001152,0.000179,0.000000,0.003495,0.000015,0.001360,0.000284,0.000096,0.000065,0.000078,0.000000,0.000931,0.000150,0.000049,0.000042,0.003514,0.003528,0.003561,0.003561,0.084675,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626850,1.409380,0.626850,,0.626850,,0.992490,,,,,,,,,,,,,,,,,,,,,,0.626850,1.409380,0.992490,,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000174,0.000074,0.000043,0.000013,0.000014,0.000144,0.000024,0.000023,0.002815,0.001136,0.001136,0.000197,0.000000,0.004455,0.000017,0.002052,0.000444,0.000141,0.000086,0.000104,0.000000,0.000921,0.000130,0.000046,0.000042,0.004477,0.004493,0.004526,0.004526,0.084675,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768668,1.440558,0.768668,,,0.768668,1.004208,,,,,,,,,,,,,,,,,,,,,,0.768668,1.440558,1.004208,,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000340,0.000147,0.000041,0.000015,0.000015,0.000219,0.000027,0.000027,0.007691,0.001799,0.001798,0.000379,0.000001,0.010446,0.000027,0.006401,0.000739,0.000238,0.000111,0.000142,0.000000,0.001340,0.000259,0.000151,0.000064,0.010480,0.010507,0.010578,0.010578,0.221653,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355746,1.978592,0.355746,,0.355746,,1.016874,,,,,,,,,,,,,,,,,,,,,,0.355746,1.978592,1.016874,,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.000303,0.000197,0.000048,0.000017,0.000016,0.000278,0.000023,0.000023,0.010973,0.001799,0.001798,0.000392,0.000000,0.013726,0.000027,0.008975,0.001229,0.000373,0.000145,0.000221,0.000000,0.001369,0.000254,0.000116,0.000065,0.013756,0.013783,0.013846,0.013846,0.221653,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.414185,1.974455,0.414185,,,0.414185,1.020273,,,,,,,,,,,,,,,,,,,,,,0.414185,1.974455,1.020273,,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000488,0.000344,0.000074,0.000031,0.000020,0.000471,0.000034,0.000034,0.014950,0.003892,0.003890,0.001051,0.000001,0.021126,0.000031,0.012756,0.001392,0.000412,0.000157,0.000246,0.000000,0.002957,0.000563,0.000295,0.000092,0.021179,0.021211,0.021289,0.021289,0.422902,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306964,1.512371,,,0.306964,,1.139336,,,,,,,,,,,,,,,,,,,,,,0.306964,1.512371,1.139336,,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000446,0.000319,0.000070,0.000028,0.000021,0.000438,0.000033,0.000033,0.018822,0.003947,0.003945,0.001053,0.000001,0.024735,0.000032,0.015907,0.001900,0.000540,0.000190,0.000256,0.000000,0.002962,0.000603,0.000280,0.000100,0.024771,0.024804,0.024882,0.024882,0.422902,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268916,1.498505,,,,0.268916,0.999076,,,,,,,,,,,,,,,,,,,,,,0.268916,1.498505,0.999076,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001656,0.001627,0.000417,0.000118,0.000033,0.002247,0.000052,0.000051,0.044116,0.012149,0.012147,0.018733,0.000001,0.077665,0.000294,0.036375,0.005045,0.001004,0.000236,0.000473,0.000000,0.008298,0.003078,0.000891,0.000162,0.077712,0.080119,0.080202,0.080202,0.904637,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248970,1.462111,,0.248970,0.248970,,1.200612,,,,,,,,,,,,,,,,,,,,,,0.248970,1.462111,1.200612,,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000915,0.001436,0.000367,0.000086,0.000031,0.001921,0.000058,0.000058,0.037077,0.011586,0.011584,0.003257,0.000001,0.054811,0.000049,0.029723,0.005442,0.001083,0.000282,0.000494,0.000000,0.007065,0.003694,0.000665,0.000164,0.054851,0.054900,0.054981,0.054981,0.904637,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341293,1.474072,,0.341293,,0.341293,1.027736,,,,,,,,,,,,,,,,,,,,,,0.341293,1.474072,1.027736,,,,
