Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,96,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.001542,0.002390,0.000318,0.000093,0.000048,0.002850,0.000066,0.000065,0.071932,0.014225,0.014223,0.004664,0.000001,0.095264,0.000298,0.055107,0.012968,0.002637,0.000751,0.000394,0.000000,0.010632,0.002641,0.000754,0.000205,0.095302,0.095586,0.095679,0.095679,8.866596,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.388640,1.152269,,2.388640,2.388640,,0.998653,,,,,,,,,,,,,,,,,,,,,2.388640,1.152269,0.998653,,,,
5,conesHalfSize,FLOAT,96,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.001529,0.002449,0.000332,0.000101,0.000052,0.002933,0.000075,0.000074,0.074887,0.014250,0.014248,0.004719,0.000001,0.098376,0.000306,0.057068,0.013677,0.002857,0.000806,0.000421,0.000000,0.010662,0.002634,0.000753,0.000208,0.098415,0.098706,0.098787,0.098787,8.866596,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.340217,1.156825,,2.340217,,2.340217,0.998493,,,,,,,,,,,,,,,,,,,,,2.340217,1.156825,0.998493,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.003637,0.004897,0.000900,0.000200,0.000077,0.006077,0.000129,0.000127,0.151191,0.029381,0.029379,0.008946,0.000001,0.199261,0.000300,0.113557,0.029475,0.005962,0.001482,0.000785,0.000000,0.021660,0.005899,0.001349,0.000474,0.199302,0.199607,0.199687,0.199687,17.449259,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.350113,1.070481,,2.350113,2.350113,,0.998346,,,,,,,,,,,,,,,,,,,,,2.350113,1.070481,0.998346,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.003617,0.004822,0.000845,0.000194,0.000081,0.005942,0.000136,0.000133,0.152739,0.029366,0.029364,0.009042,0.000001,0.200952,0.000270,0.115251,0.028919,0.006177,0.001525,0.000843,0.000000,0.021611,0.005915,0.001355,0.000475,0.200992,0.201282,0.201363,0.201363,17.449259,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.352613,1.066544,,2.352613,,2.352613,0.999523,,,,,,,,,,,,,,,,,,,,,2.352613,1.066544,0.999523,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000020,0.000019,0.000018,0.000020,0.000077,0.000010,0.000010,0.000406,0.000108,0.000108,0.000034,0.000000,0.000646,0.000018,0.000128,0.000075,0.000071,0.000065,0.000064,0.000000,0.000034,0.000027,0.000025,0.000022,0.000660,0.000679,0.000684,0.000684,0.013590,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.533755,0.817029,1.533755,,1.533755,,1.458362,,,,,,,,,,,,1.533755,0.817029,1.458362,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000021,0.000019,0.000019,0.000019,0.000078,0.000009,0.000009,0.000660,0.000108,0.000108,0.000034,0.000000,0.000898,0.000017,0.000332,0.000122,0.000080,0.000064,0.000059,0.000000,0.000034,0.000026,0.000025,0.000023,0.000910,0.000927,0.000931,0.000931,0.013590,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,2.436330,0.829964,2.436330,,,2.436330,1.122716,,,,,,,,,,,,2.436330,0.829964,1.122716,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000029,0.000030,0.000023,0.000022,0.000022,0.000099,0.000012,0.000012,0.001182,0.000211,0.000210,0.000059,0.000000,0.001596,0.000019,0.000666,0.000258,0.000112,0.000077,0.000068,0.000000,0.000108,0.000045,0.000030,0.000028,0.001619,0.001637,0.001651,0.001651,0.120428,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,2.219969,1.013162,2.219969,,2.219969,,0.993905,,,,,,,,,,,,2.219969,1.013162,0.993905,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000028,0.000030,0.000023,0.000022,0.000022,0.000097,0.000013,0.000013,0.002651,0.000212,0.000211,0.000058,0.000000,0.003061,0.000020,0.001651,0.000592,0.000194,0.000130,0.000089,0.000000,0.000106,0.000044,0.000031,0.000029,0.003083,0.003104,0.003117,0.003117,0.120428,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.896007,1.019498,1.896007,,,1.896007,0.997890,,,,,,,,,,,,1.896007,1.019498,0.997890,,,,
2,venus,DOUBLE,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000054,0.000042,0.000023,0.000023,0.000023,0.000110,0.000015,0.000015,0.003898,0.000376,0.000376,0.000098,0.000000,0.004554,0.000020,0.002698,0.000720,0.000228,0.000149,0.000100,0.000000,0.000215,0.000081,0.000046,0.000031,0.004583,0.004603,0.004624,0.004624,0.326818,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.296969,1.331174,1.296969,,1.296969,,0.997492,,,,,,,,,,,,1.296969,1.331174,0.997492,,,,
2,venus,DOUBLE,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000054,0.000041,0.000022,0.000023,0.000022,0.000109,0.000016,0.000016,0.004476,0.000383,0.000382,0.000103,0.000000,0.005140,0.000020,0.003120,0.000819,0.000256,0.000168,0.000107,0.000000,0.000220,0.000085,0.000045,0.000032,0.005168,0.005189,0.005210,0.005210,0.326818,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.814387,1.322937,1.814387,,,1.814387,1.003944,,,,,,,,,,,,1.814387,1.322937,1.003944,,,,
