Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002347,0.004298,0.000911,0.000136,0.000047,0.005760,0.000058,0.000055,0.116610,0.020752,0.020751,0.008537,0.000002,0.154109,0.000243,0.089333,0.022277,0.003710,0.001151,0.000344,0.000000,0.015715,0.004053,0.000989,0.000222,0.154159,0.154363,0.154471,0.154471,7.371784,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.481050,1.385920,,1.481050,1.481050,,0.999685,,,,,,,,,,,,,,,,,,,,,1.481050,1.385920,0.999685,,,,
5,conesHalfSize,FLOAT,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002350,0.004509,0.000716,0.000152,0.000048,0.005618,0.000059,0.000056,0.143343,0.020087,0.020085,0.008947,0.000002,0.179951,0.000289,0.104255,0.024191,0.004309,0.001373,0.000392,0.000000,0.014905,0.003928,0.001048,0.000221,0.180001,0.180218,0.180329,0.180329,7.371784,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.361527,1.391400,,1.361527,,1.361527,1.060427,,,,,,,,,,,,,,,,,,,,,1.361527,1.391400,1.060427,,,,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005548,0.008525,0.001752,0.000325,0.000077,0.010669,0.000113,0.000111,0.243467,0.043251,0.043249,0.018397,0.000002,0.327300,0.000314,0.183753,0.045215,0.010292,0.002580,0.000672,0.000000,0.032418,0.008054,0.002341,0.000473,0.327352,0.327546,0.327652,0.327652,14.469932,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.418906,1.290891,,1.418906,1.418906,,0.989030,,,,,,,,,,,,,,,,,,,,,1.418906,1.290891,0.989030,,,,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005630,0.008560,0.002029,0.000404,0.000080,0.010971,0.000115,0.000113,0.256570,0.042586,0.042584,0.018060,0.000002,0.336350,0.000534,0.195360,0.047081,0.010854,0.002726,0.000717,0.000000,0.030416,0.009282,0.002422,0.000493,0.336402,0.336599,0.336713,0.336713,14.469932,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.375918,1.286143,,1.375918,,1.375918,0.977497,,,,,,,,,,,,,,,,,,,,,1.375918,1.286143,0.977497,,,,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000012,0.000020,0.000019,0.000018,0.000018,0.000080,0.000009,0.000009,0.000430,0.000091,0.000091,0.000031,0.000000,0.000663,0.000018,0.000147,0.000086,0.000068,0.000062,0.000061,0.000000,0.000032,0.000022,0.000019,0.000018,0.000692,0.000715,0.000718,0.000718,0.010645,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.152002,1.043113,1.152002,,1.152002,,1.150902,,,,,,,,,,,,1.152002,1.043113,1.150902,,,,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000012,0.000020,0.000019,0.000018,0.000018,0.000077,0.000009,0.000009,0.000755,0.000090,0.000090,0.000034,0.000000,0.000987,0.000023,0.000397,0.000155,0.000080,0.000062,0.000061,0.000000,0.000030,0.000022,0.000019,0.000019,0.001010,0.001033,0.001036,0.001036,0.010645,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.963218,1.059629,1.963218,,,1.963218,1.006997,,,,,,,,,,,,1.963218,1.059629,1.006997,,,,
1,tsukubaSet,DOUBLE,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000037,0.000034,0.000023,0.000020,0.000020,0.000097,0.000012,0.000011,0.001479,0.000251,0.000251,0.000086,0.000000,0.001981,0.000020,0.000924,0.000302,0.000123,0.000075,0.000066,0.000000,0.000157,0.000045,0.000027,0.000022,0.002004,0.002024,0.002040,0.002040,0.093424,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.854289,1.306015,1.854289,,1.854289,,1.025453,,,,,,,,,,,,1.854289,1.306015,1.025453,,,,
1,tsukubaSet,DOUBLE,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000038,0.000037,0.000023,0.000020,0.000019,0.000098,0.000012,0.000012,0.003375,0.000229,0.000228,0.000077,0.000000,0.003826,0.000020,0.002232,0.000688,0.000262,0.000104,0.000069,0.000000,0.000138,0.000044,0.000025,0.000021,0.003846,0.003866,0.003882,0.003882,0.093424,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.515820,1.314182,1.515820,,,1.515820,0.993530,,,,,,,,,,,,1.515820,1.314182,0.993530,,,,
2,venus,DOUBLE,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000056,0.000068,0.000036,0.000024,0.000020,0.000149,0.000015,0.000015,0.004869,0.000546,0.000546,0.000200,0.000000,0.006456,0.000024,0.003416,0.000891,0.000348,0.000132,0.000083,0.000000,0.000307,0.000150,0.000064,0.000033,0.006511,0.006534,0.006557,0.006557,0.275682,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.929829,1.578093,0.929829,,0.929829,,1.014029,,,,,,,,,,,,0.929829,1.578093,1.014029,,,,
2,venus,DOUBLE,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000064,0.000071,0.000037,0.000024,0.000020,0.000152,0.000015,0.000015,0.006600,0.000570,0.000569,0.000209,0.000000,0.007626,0.000024,0.004906,0.001000,0.000370,0.000145,0.000091,0.000000,0.000317,0.000164,0.000055,0.000032,0.007668,0.007692,0.007717,0.007717,0.275682,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.422608,1.568328,1.422608,,,1.422608,1.165883,,,,,,,,,,,,1.422608,1.568328,1.165883,,,,
