Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.004552,0.006480,0.001310,0.000302,0.000065,0.008152,0.000103,0.000101,0.168461,0.034128,0.034126,0.013281,0.000001,0.228618,0.000065,0.128269,0.032098,0.005938,0.001666,0.000474,0.000000,0.025584,0.006944,0.001273,0.000299,0.228664,0.228729,0.228851,0.228851,14.736381,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987617,0.693298,,0.987617,0.987617,,0.987616,,,,,,,,,,,,,,,,,,,,,0.987617,0.693298,0.987616,,,,
5,conesHalfSize,FLOAT,64,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.004571,0.006487,0.001335,0.000321,0.000070,0.008220,0.000121,0.000119,0.177420,0.034356,0.034355,0.013269,0.000001,0.237922,0.000065,0.134948,0.033576,0.006451,0.001846,0.000558,0.000000,0.025548,0.007010,0.001401,0.000390,0.237968,0.238034,0.238169,0.238169,14.736381,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961556,0.696039,,0.961556,,0.961556,0.989118,,,,,,,,,,,,,,,,,,,,,0.961556,0.696039,0.989118,,,,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.010327,0.012634,0.003074,0.000779,0.000121,0.016604,0.000195,0.000193,0.343582,0.072616,0.072614,0.026337,0.000001,0.469586,0.000064,0.257417,0.065951,0.015169,0.004105,0.000902,0.000000,0.052589,0.014893,0.004140,0.000990,0.469632,0.469696,0.469824,0.469824,28.215313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.003093,0.662020,,1.003093,1.003093,,1.002581,,,,,,,,,,,,,,,,,,,,,1.003093,0.662020,1.002581,,,,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.010364,0.012695,0.003114,0.000765,0.000127,0.016701,0.000178,0.000176,0.351284,0.072427,0.072426,0.026002,0.000001,0.476969,0.000066,0.263578,0.067075,0.015241,0.004405,0.000977,0.000000,0.052454,0.014821,0.004218,0.000930,0.477015,0.477081,0.477204,0.477204,28.215313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991443,0.659585,,0.991443,,0.991443,0.998239,,,,,,,,,,,,,,,,,,,,,0.991443,0.659585,0.998239,,,,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000015,0.000024,0.000020,0.000020,0.000020,0.000084,0.000011,0.000011,0.000605,0.000113,0.000113,0.000042,0.000000,0.000874,0.000020,0.000264,0.000126,0.000075,0.000070,0.000063,0.000000,0.000042,0.000028,0.000022,0.000021,0.000897,0.000917,0.000922,0.000922,0.026527,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.910497,0.418578,0.910497,,0.910497,,1.167375,,,,,,,,,,,,0.910497,0.418578,1.167375,,,,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,192,144,15,0.000000,0.000016,0.000021,0.000020,0.000020,0.000019,0.000080,0.000011,0.000011,0.001269,0.000105,0.000105,0.000041,0.000000,0.001523,0.000019,0.000705,0.000287,0.000117,0.000084,0.000071,0.000000,0.000039,0.000024,0.000021,0.000020,0.001549,0.001568,0.001573,0.001573,0.026527,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.394339,0.425205,1.394339,,,1.394339,1.085698,,,,,,,,,,,,1.394339,0.425205,1.085698,,,,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000068,0.000049,0.000030,0.000023,0.000020,0.000122,0.000017,0.000017,0.003203,0.000544,0.000543,0.000159,0.000000,0.004120,0.000030,0.002102,0.000658,0.000245,0.000113,0.000079,0.000000,0.000308,0.000136,0.000057,0.000031,0.004165,0.004197,0.004216,0.004216,0.232459,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.860597,0.524880,0.860597,,0.860597,,0.983831,,,,,,,,,,,,0.860597,0.524880,0.983831,,,,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000073,0.000051,0.000031,0.000023,0.000021,0.000126,0.000016,0.000016,0.006244,0.000569,0.000569,0.000164,0.000000,0.007196,0.000030,0.004253,0.001247,0.000458,0.000169,0.000114,0.000000,0.000334,0.000142,0.000056,0.000034,0.007241,0.007270,0.007290,0.007290,0.232459,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.811611,0.528163,0.811611,,,0.811611,0.999031,,,,,,,,,,,,0.811611,0.528163,0.999031,,,,
2,venus,DOUBLE,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000155,0.000117,0.000050,0.000026,0.000022,0.000215,0.000022,0.000022,0.010481,0.001470,0.001469,0.001042,0.000001,0.013413,0.000036,0.008250,0.001390,0.000511,0.000194,0.000128,0.000000,0.001106,0.000235,0.000080,0.000044,0.013464,0.013500,0.013531,0.013531,0.607303,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.444790,0.716368,0.444790,,0.444790,,1.000927,,,,,,,,,,,,0.444790,0.716368,1.000927,,,,
2,venus,DOUBLE,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000158,0.000112,0.000048,0.000026,0.000022,0.000208,0.000022,0.000021,0.011632,0.001474,0.001473,0.001045,0.000001,0.014556,0.000036,0.008980,0.001664,0.000608,0.000226,0.000147,0.000000,0.001118,0.000228,0.000081,0.000046,0.014606,0.014648,0.014679,0.014679,0.607303,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.642412,0.711935,0.642412,,,0.642412,1.001477,,,,,,,,,,,,0.642412,0.711935,1.001477,,,,
