Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,96,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.006869,0.012017,0.002104,0.000365,0.000152,0.014597,0.000272,0.000271,0.169725,0.037668,0.037666,0.016769,0.000001,0.246038,0.000130,0.136487,0.026845,0.004087,0.001567,0.000583,0.000000,0.028839,0.006517,0.001627,0.000700,0.246080,0.246207,0.246445,0.246445,12.029448,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958901,0.849307,,0.958901,0.958901,,1.032621,,,,,,,,,,,,,,,,,,,,,0.958901,0.849307,1.032621,,,,
5,conesHalfSize,FLOAT,96,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000000,0.004028,0.007699,0.001500,0.000305,0.000168,0.009686,0.000331,0.000330,0.161662,0.037675,0.037673,0.014467,0.000001,0.227957,0.000133,0.129028,0.026380,0.004118,0.001548,0.000575,0.000000,0.028697,0.006652,0.001574,0.000708,0.228003,0.228136,0.228375,0.228375,12.029448,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.979897,0.852666,,0.979897,,0.979897,0.966536,,,,,,,,,,,,,,,,,,,,,0.979897,0.852666,0.966536,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000000,0.009466,0.015470,0.003472,0.000750,0.000349,0.020104,0.000455,0.000454,0.346159,0.080904,0.080901,0.029042,0.000001,0.486306,0.000132,0.265466,0.066210,0.010101,0.002990,0.001015,0.000000,0.059468,0.015772,0.003742,0.001913,0.486354,0.486483,0.486713,0.486713,21.047596,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.959806,0.887470,,0.959806,0.959806,,0.993801,,,,,,,,,,,,,,,,,,,,,0.959806,0.887470,0.993801,,,,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000000,0.009442,0.015363,0.003565,0.000762,0.000351,0.020051,0.000516,0.000515,0.344891,0.077265,0.077262,0.028635,0.000001,0.480841,0.000150,0.263397,0.066486,0.010648,0.003232,0.001036,0.000000,0.056100,0.015756,0.003500,0.001994,0.480889,0.481038,0.481263,0.481263,21.047596,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961128,0.884205,,0.961128,,0.961128,0.975948,,,,,,,,,,,,,,,,,,,,,0.961128,0.884205,0.975948,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000052,0.000059,0.000049,0.000045,0.000041,0.000197,0.000031,0.000031,0.001024,0.000371,0.000370,0.000099,0.000000,0.001783,0.000042,0.000364,0.000210,0.000152,0.000135,0.000147,0.000000,0.000139,0.000091,0.000078,0.000063,0.001800,0.001841,0.001849,0.001849,0.011410,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.857542,0.973163,0.857542,,0.857542,,2.204859,,,,,,,,,,,,0.857542,0.973163,2.204859,,,,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,192,144,15,0.000000,0.000052,0.000052,0.000046,0.000042,0.000038,0.000180,0.000031,0.000030,0.001667,0.000328,0.000327,0.000092,0.000000,0.002361,0.000039,0.000840,0.000343,0.000188,0.000148,0.000139,0.000000,0.000122,0.000077,0.000067,0.000057,0.002378,0.002418,0.002431,0.002431,0.011410,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.170328,0.988571,1.170328,,,1.170328,1.408539,,,,,,,,,,,,1.170328,0.988571,1.408539,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000171,0.000129,0.000063,0.000050,0.000046,0.000290,0.000049,0.000048,0.002806,0.000842,0.000841,0.000269,0.000000,0.004389,0.000046,0.001535,0.000647,0.000292,0.000169,0.000141,0.000000,0.000466,0.000182,0.000105,0.000093,0.004406,0.004453,0.004483,0.004483,0.104755,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.754758,1.164749,0.754758,,0.754758,,0.917365,,,,,,,,,,,,0.754758,1.164749,0.917365,,,,
1,tsukubaSet,DOUBLE,96,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,384,288,15,0.000000,0.000138,0.000123,0.000061,0.000051,0.000047,0.000282,0.000050,0.000050,0.003820,0.000885,0.000884,0.000286,0.000000,0.005479,0.000044,0.002149,0.000882,0.000413,0.000210,0.000163,0.000000,0.000489,0.000195,0.000108,0.000100,0.005496,0.005540,0.005576,0.005576,0.104755,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.981892,1.172033,0.981892,,,0.981892,0.924506,,,,,,,,,,,,0.981892,1.172033,0.924506,,,,
2,venus,DOUBLE,96,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,DEFAULT,434,383,15,0.000000,0.000169,0.000173,0.000071,0.000074,0.000067,0.000407,0.000134,0.000134,0.009855,0.001300,0.001299,0.000508,0.000000,0.012367,0.000067,0.006221,0.001823,0.000775,0.000568,0.000463,0.000000,0.000619,0.000272,0.000187,0.000220,0.012405,0.012472,0.012520,0.012520,0.383095,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.485746,1.135623,0.485746,,0.485746,,1.011414,,,,,,,,,,,,0.485746,1.135623,1.011414,,,,
2,venus,DOUBLE,96,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,DEFAULT,434,383,15,0.000000,0.000152,0.000152,0.000065,0.000070,0.000069,0.000356,0.000105,0.000105,0.011342,0.001188,0.001187,0.000429,0.000000,0.013595,0.000069,0.007386,0.002163,0.000849,0.000577,0.000375,0.000000,0.000549,0.000262,0.000162,0.000205,0.013631,0.013699,0.013750,0.013750,0.383095,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.664539,1.128596,0.664539,,,0.664539,0.970420,,,,,,,,,,,,0.664539,1.128596,0.970420,,,,
