Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
5,conesHalfSize,FLOAT,64,16,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,900,750,0.000001,0.001980,0.002325,0.000513,0.000208,0.000160,YES,YES,YES,YES,YES,0.003208,0.000302,0.000299,0.084678,0.022552,0.022550,YES,0.005980,0.000001,0.119076,0.000128,0.067536,0.013503,0.002325,0.000813,0.000528,YES,YES,YES,YES,YES,0.000000,0.016910,0.003572,0.001354,0.000729,YES,YES,YES,YES,YES,0.119139,0.119267,0.119791,0.119791,8.046218,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.910421,1.269752,No Data,6.420937,1.050349,1.103126,1.578315,0.471229,1.800488,1.910421,1.269752,6.420937,1.050349,
5,conesHalfSize,FLOAT,64,16,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,900,750,0.000001,0.001959,0.002326,0.000497,0.000204,0.000150,YES,YES,YES,YES,YES,0.003211,0.000292,0.000286,0.091018,0.022541,0.022535,YES,0.005943,0.000002,0.125095,0.000129,0.072584,0.014514,0.002493,0.000858,0.000551,YES,YES,YES,YES,YES,0.000000,0.016946,0.003572,0.001315,0.000751,YES,YES,YES,YES,YES,0.125161,0.125324,0.125822,0.125822,8.119527,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.840152,1.263263,No Data,6.141691,No Data,1.079363,1.540945,0.486833,1.807535,1.840152,1.263263,6.141691,No Data,
6,conesFullSizeCropped,FLOAT,64,16,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,900,750,0.000001,0.005303,0.005905,0.001274,0.000377,0.000229,YES,YES,YES,YES,YES,0.007808,0.000495,0.000489,0.183242,0.047997,0.047993,YES,0.011837,0.000002,0.256725,0.000117,0.134768,0.037946,0.005230,0.001427,0.000769,YES,YES,YES,YES,YES,0.000000,0.034622,0.008384,0.003460,0.001472,YES,YES,YES,YES,YES,0.256790,0.256908,0.257422,0.257422,16.729380,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.826046,1.116545,No Data,3.430676,1.003197,1.045832,1.549476,0.490245,1.704199,1.826046,1.116545,3.430676,1.003197,
6,conesFullSizeCropped,FLOAT,64,16,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,900,750,0.000001,0.005303,0.005967,0.001271,0.000390,0.000231,YES,YES,YES,YES,YES,0.007877,0.000471,0.000462,0.184691,0.047379,0.047372,YES,0.011870,0.000002,0.257571,0.000119,0.136146,0.040757,0.005501,0.001495,0.000797,YES,YES,YES,YES,YES,0.000000,0.034424,0.008442,0.003086,0.001424,YES,YES,YES,YES,YES,0.257652,0.257770,0.258245,0.258245,16.686189,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.835294,1.115318,No Data,3.453435,No Data,1.047487,1.572362,0.492005,1.661364,1.835294,1.115318,3.453435,No Data,
0,tsukubaSetHalfSize,DOUBLE,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000018,0.000014,0.000012,0.000011,0.000011,YES,YES,YES,YES,YES,0.000048,0.000013,0.000013,0.000402,0.000108,0.000107,YES,0.000023,0.000000,0.000615,0.000010,0.000176,0.000075,0.000048,0.000050,0.000047,YES,YES,YES,YES,YES,0.000000,0.000040,0.000024,0.000024,0.000019,YES,YES,YES,YES,YES,0.000629,0.000639,0.000648,0.000648,0.007295,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.801980,No Data,1.109148,1.522056,929.354631,2.259767,
0,tsukubaSetHalfSize,DOUBLE,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,192,144,0.000000,0.000024,0.000031,0.000029,0.000029,0.000028,YES,YES,YES,YES,YES,0.000117,0.000019,0.000019,0.001007,0.000183,0.000181,YES,0.000053,0.000000,0.001408,0.000027,0.000444,0.000201,0.000129,0.000112,0.000104,YES,YES,YES,YES,YES,0.000000,0.000056,0.000045,0.000035,0.000043,YES,YES,YES,YES,YES,0.001427,0.001453,0.001465,0.001465,0.007159,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.633898,No Data,1.379164,1.575525,2.477579,No Data,
1,tsukubaSet,DOUBLE,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000051,0.000064,0.000054,0.000053,0.000054,YES,YES,YES,YES,YES,0.000226,0.000038,0.000036,0.001452,0.000551,0.000549,YES,0.000093,0.000000,0.002417,0.000050,0.000542,0.000313,0.000225,0.000171,0.000196,YES,YES,YES,YES,YES,0.000000,0.000277,0.000120,0.000080,0.000073,YES,YES,YES,YES,YES,0.002445,0.002495,0.002548,0.002548,0.079230,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.563815,No Data,1.447708,1.539991,250.475110,1.464946,
1,tsukubaSet,DOUBLE,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000051,0.000064,0.000057,0.000055,0.000056,YES,YES,YES,YES,YES,0.000234,0.000043,0.000043,0.002610,0.000555,0.000550,YES,0.000094,0.000000,0.003598,0.000051,0.001233,0.000609,0.000345,0.000209,0.000202,YES,YES,YES,YES,YES,0.000000,0.000270,0.000121,0.000082,0.000076,YES,YES,YES,YES,YES,0.003625,0.003674,0.003732,0.003732,0.079263,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.715663,No Data,1.586971,1.548961,161.630932,No Data,
2,venus,DOUBLE,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000077,0.000073,0.000055,0.000055,0.000059,YES,YES,YES,YES,YES,0.000244,0.000059,0.000059,0.002367,0.000648,0.000644,YES,0.000105,0.000001,0.003502,0.000052,0.001017,0.000481,0.000393,0.000235,0.000232,YES,YES,YES,YES,YES,0.000000,0.000327,0.000123,0.000105,0.000085,YES,YES,YES,YES,YES,0.003527,0.003580,0.003662,0.003662,0.223483,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.750871,No Data,1.642001,1.946686,165.866287,2.119555,
2,venus,DOUBLE,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,144,AVX512,434,383,0.000000,0.000121,0.000128,0.000098,0.000094,0.000093,YES,YES,YES,YES,YES,0.000420,0.000072,0.000071,0.005690,0.001032,0.001023,YES,0.000201,0.000000,0.007544,0.000087,0.003243,0.001064,0.000629,0.000409,0.000351,YES,YES,YES,YES,YES,0.000000,0.000527,0.000216,0.000150,0.000125,YES,YES,YES,YES,YES,0.007591,0.007678,0.007761,0.007761,0.224358,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.461683,No Data,1.213179,1.927098,78.208854,No Data,
