Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
5,conesHalfSize,FLOAT,64,64,16,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.005996,0.006241,0.001664,0.000722,0.000108,0.008733,0.000213,0.000212,0.169276,0.044021,0.044019,0.012303,0.000001,0.240467,0.000058,0.130605,0.031773,0.005397,0.00121,0.000307,0,0.030746,0.008915,0.003418,0.00097,0.240514,0.240572,0.240898,0.240898,9.639777,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,0.949992,1.059848,,0.949992,0.949992,,0.99146,1.004614,1.040989,1.695314,,,,,,,,,,,,,,,,,,,,,0.949992,1.059848,0.99146,1.004614,1.711235,0.516958
5,conesHalfSize,FLOAT,64,64,16,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.006077,0.006251,0.001604,0.000499,0.000096,0.008445,0.000216,0.000215,0.170322,0.044178,0.044176,0.012301,0.000001,0.241567,0.00006,0.131319,0.032111,0.005517,0.001033,0.000338,0,0.030789,0.008906,0.003593,0.00099,0.241617,0.241675,0.242009,0.242009,9.639777,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,0.956707,1.064039,,0.956707,,0.956707,0.996807,1.004614,1.055539,1.755286,,,,,,,,,,,,,,,,,,,,,0.956707,1.064039,0.996807,1.004614,1.646,0.506681
6,conesFullSizeCropped,FLOAT,64,64,16,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.012856,0.01298,0.003567,0.000859,0.000181,0.017584,0.000376,0.000375,0.345098,0.09506,0.095058,0.024512,0.000001,0.495684,0.000058,0.258902,0.066769,0.016364,0.002416,0.00064,0,0.064555,0.020139,0.008718,0.001538,0.495738,0.495796,0.496125,0.496125,19.931737,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,0.947471,0.937154,,0.947471,0.947471,,0.995828,1.034959,1.066409,1.758298,,,,,,,,,,,,,,,,,,,,,0.947471,0.937154,0.995828,1.034959,1.625366,0.498661
6,conesFullSizeCropped,FLOAT,64,64,16,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.012976,0.012981,0.003619,0.000954,0.000175,0.017719,0.00042,0.000419,0.361441,0.096015,0.096013,0.024586,0.000001,0.51303,0.000057,0.274118,0.06758,0.016589,0.002542,0.000648,0,0.065355,0.020576,0.008563,0.001597,0.513079,0.513136,0.513469,0.513469,19.931737,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,0.923045,0.933707,,0.923045,,0.923045,0.996732,1.034959,1.014874,1.728707,,,,,,,,,,,,,,,,,,,,,0.923045,0.933707,0.996732,1.034959,1.657618,0.493203
0,tsukubaSetHalfSize,DOUBLE,64,64,16,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0,0.000017,0.000012,0.000007,0.000007,0.000006,0.000033,0.000008,0.000008,0.000347,0.000087,0.000087,0.000017,0,0.000512,0.000006,0.00017,0.000064,0.000032,0.000043,0.000032,0,0.000035,0.000018,0.000013,0.00002,0.000526,0.000532,0.000542,0.000542,0.011811,,0.896918,0.896918,0.759404,0.1199,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003219,0.003219,0.002025,0.000398,0,0,,,,,,,,,,,1.32723,0.940121,1.32723,,1.32723,,1.406284,1.897582,1.181096,2.515169,,,,,,,,,,,1.32723,0.940121,1.406284,1.897582,,0.92753
0,tsukubaSetHalfSize,DOUBLE,64,64,16,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,48,AVX512,192,144,15,0,0.000019,0.000017,0.000014,0.000014,0.000013,0.000059,0.000013,0.000012,0.000746,0.000119,0.000118,0.000026,0,0.000982,0.000012,0.000384,0.000147,0.000068,0.000077,0.000054,0,0.000043,0.000027,0.000021,0.000027,0.001008,0.00102,0.001028,0.001028,0.011811,,0.896918,0.896918,0.759404,0.1199,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003219,0.003219,0.002025,0.000398,0,0,,,,,,,,,,,1.96533,0.955005,1.96533,,,1.96533,1.225463,1.897582,1.213394,1.840345,,,,,,,,,,,1.96533,0.955005,1.225463,1.897582,,0.701844
1,tsukubaSet,DOUBLE,64,64,16,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX512,384,288,15,0,0.000084,0.000058,0.000024,0.000013,0.000013,0.000107,0.000018,0.000018,0.002068,0.000912,0.000911,0.000178,0,0.003379,0.000017,0.001413,0.000358,0.000149,0.000064,0.000078,0,0.000599,0.000227,0.000054,0.00004,0.003429,0.003447,0.003511,0.003511,0.11956,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,,1.050387,1.02052,1.050387,,1.050387,,1.056475,1.961952,1.034583,1.991514,,,,,,,,,,,1.050387,1.02052,1.056475,1.769431,,0.464351
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX256,384,288,15,0,0.000079,0.000051,0.00002,0.000012,0.000012,0.000095,0.000019,0.000019,0.004905,0.000811,0.000811,0.000183,0,0.006106,0.000016,0.003501,0.000935,0.000316,0.000108,0.000057,0,0.000509,0.000212,0.000051,0.000033,0.006137,0.006153,0.006213,0.006213,0.11956,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,,0.953291,1.026902,0.953291,,,0.953291,1.158974,1.710285,1,1.654231,,,,,,,,,,,0.953291,1.026902,1.158974,1.769431,,0.472409
2,venus,DOUBLE,64,64,16,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0,0.000243,0.000126,0.000054,0.000035,0.000025,0.000242,0.000029,0.000029,0.009043,0.002219,0.002218,0.000816,0.000001,0.012617,0.000026,0.007753,0.000693,0.0003,0.000127,0.000148,0,0.001665,0.000351,0.000135,0.000065,0.012671,0.012707,0.012791,0.012791,0.34255,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,,0.470061,1.270038,0.470061,,0.470061,,0.997231,1.190159,1.111338,1.37954,,,,,,,,,,,0.470061,1.270038,0.997231,1.190159,,0.326979
2,venus,DOUBLE,64,64,16,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0,0.000248,0.000124,0.000055,0.000034,0.000025,0.00024,0.000029,0.000028,0.011485,0.002213,0.002212,0.000817,0.000001,0.015045,0.000026,0.009522,0.001157,0.000444,0.000184,0.00016,0,0.001667,0.000337,0.000136,0.000069,0.0151,0.015134,0.015224,0.015224,0.34255,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,,0.618508,1.262179,0.618508,,,0.618508,0.994145,1.190159,1.038288,1.425001,,,,,,,,,,,0.618508,1.262179,0.994145,1.190159,,0.361701
