Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
3,barn1,DOUBLE,64,64,16,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0,0.000381,0.000264,0.000071,0.000046,0.000029,0.000423,0.000047,0.000046,0.015963,0.003917,0.003916,0.001382,0.000001,0.022139,0.000025,0.013813,0.001377,0.000424,0.000162,0.000194,0,0.003107,0.000521,0.000192,0.00009,0.022197,0.022222,0.02231,0.02231,0.543807,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,,0.548487,1.178771,,,0.548487,,1.000292,1.077609,1.028081,1.239236,,,,,,,,,,,0.548487,1.178771,1.000292,1.077609,,0.374119
3,barn1,DOUBLE,64,64,16,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0.000001,0.000379,0.000273,0.000072,0.000046,0.000032,0.000433,0.000048,0.000048,0.017691,0.003926,0.003924,0.001378,0.000001,0.023873,0.000026,0.0149,0.001795,0.000564,0.000219,0.000205,0,0.003104,0.000528,0.000201,0.000088,0.023926,0.023953,0.024042,0.024042,0.543807,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,,0.660906,1.186035,,,,0.660906,1.004728,1.077609,1.015068,1.304142,,,,,,,,,,,0.660906,1.186035,1.004728,1.077609,,0.396114
4,conesQuarterSize,DOUBLE,64,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,450,375,15,0,0.001137,0.001139,0.000213,0.000081,0.000045,0.001498,0.000071,0.000071,0.038717,0.008957,0.008956,0.003067,0.000001,0.05344,0.000025,0.032428,0.004896,0.000923,0.000297,0.000156,0,0.006791,0.001575,0.000428,0.000163,0.053493,0.053518,0.053599,0.053599,1.154801,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.91013,1.136932,,0.91013,0.91013,,0.998246,1.066597,1,1.245396,,,,,,,,,,,0.91013,1.136932,0.998246,1.054255,,0.443281
4,conesQuarterSize,DOUBLE,64,64,16,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0.000001,0.001162,0.001189,0.000378,0.000067,0.000051,0.001675,0.000075,0.000073,0.040796,0.009558,0.009556,0.003042,0.000001,0.056343,0.000026,0.033533,0.005594,0.000939,0.000344,0.000358,0,0.007199,0.001764,0.000407,0.000181,0.056396,0.056422,0.056507,0.056507,1.154801,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.888629,1.130264,,0.888629,,0.888629,0.997756,1.046834,1.011707,1.235155,,,,,,,,,,,0.888629,1.130264,0.997756,1.054255,,0.443971
5,conesHalfSize,DOUBLE,64,16,8,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,900,750,7,0.000001,0.011035,0.011863,0.002953,0.000568,0.000107,0.015489,0.000214,0.000213,0.338424,0.075604,0.075602,0.024696,0.000001,0.465543,0.000058,0.256306,0.064768,0.014565,0.002191,0.000567,0,0.056446,0.014391,0.003958,0.00097,0.465593,0.465651,0.465991,0.465991,9.639777,,4.299231,1.890408,0.69179,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.00897,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,,0.974542,1.020238,,0.974542,0.974542,,0.997217,1.02499,1,1.244401,,,,,,,,,,,0.974542,1.020238,0.997217,1.02499,,0.516958
5,conesHalfSize,DOUBLE,64,16,8,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,900,750,7,0,0.011116,0.011842,0.002943,0.000584,0.000108,0.015478,0.000218,0.000217,0.350284,0.075534,0.075532,0.02463,0.000001,0.477187,0.000058,0.265557,0.066484,0.014917,0.002667,0.000638,0,0.056186,0.014451,0.003944,0.00097,0.477237,0.477293,0.477636,0.477636,9.639777,,4.299231,1.890408,0.69179,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.00897,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,,0.959034,1.015564,,0.959034,,0.959034,1.000865,1.02499,1,1.243539,,,,,,,,,,,0.959034,1.015564,1.000865,1.02499,,0.506681
6,conesFullSizeCropped,DOUBLE,64,16,8,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,900,750,7,0.000001,0.022598,0.024045,0.005989,0.001525,0.000273,0.031839,0.000394,0.000393,0.709647,0.17985,0.179847,0.050342,0.000001,0.994469,0.000056,0.53681,0.129747,0.032189,0.009715,0.001257,0,0.13951,0.028606,0.0093,0.002315,0.994521,0.994576,0.994915,0.994915,19.931737,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,,0.933796,0.928725,,0.933796,0.933796,,1.002795,1.060416,1,1.595588,,,,,,,,,,,0.933796,0.928725,1.002795,1.046412,,0.498661
6,conesFullSizeCropped,DOUBLE,64,64,16,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.023681,0.025867,0.006329,0.001901,0.000273,0.034309,0.000389,0.000388,0.746393,0.186713,0.18671,0.049042,0.000001,1.040643,0.000057,0.565442,0.136422,0.03587,0.00748,0.001242,0,0.137206,0.033566,0.013612,0.002473,1.040699,1.040766,1.041091,1.041091,19.931737,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,,0.900969,0.936757,,0.900969,,0.900969,1.000734,1.02053,1.013383,1.586624,,,,,,,,,,,0.900969,0.936757,1.000734,1.046412,,0.493203
0,tsukubaSetHalfSize,HALF,64,64,16,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,8,AVX512,192,144,15,0,0.000036,0.000023,0.000008,0.000005,0.000004,0.000041,0.000004,0.000004,0.000282,0.000081,0.000081,0.000014,0,0.000466,0.000004,0.000156,0.000049,0.000026,0.000033,0.000018,0,0.000034,0.000015,0.000017,0.000014,0.000476,0.00048,0.00049,0.00049,0.011811,,0.897545,0.897545,0.759585,0.120009,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003906,0.003906,0.002351,0.00047,0,0,,,,,,,,,,,,,,,,,,,,,1.452074,0.860567,1.452074,,1.452074,,1.460201,1.385572,1.308629,2.125647,1.452074,0.860567,1.460201,1.385572,1.024668,
0,tsukubaSetHalfSize,HALF,64,64,16,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX512,192,144,15,0,0.000016,0.000016,0.000013,0.000011,0.000011,0.000051,0.000009,0.000008,0.000405,0.00014,0.00014,0.000019,0,0.000646,0.00001,0.000177,0.000075,0.000048,0.000059,0.000038,0,0.000026,0.000031,0.000055,0.000026,0.000659,0.000669,0.000679,0.000679,0.011811,,0.897545,0.897545,0.759585,0.120009,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003906,0.003906,0.002351,0.00047,0,0,,,,,,,,,,,,,,,,,,,,,1.817493,0.873784,1.817493,,,1.817493,1.275109,1.385572,1.025768,2.887986,1.817493,0.873784,1.275109,1.385572,1.061859,
1,tsukubaSet,HALF,64,64,16,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX512,384,288,15,0,0.000081,0.000053,0.00002,0.000014,0.000012,0.000099,0.000025,0.000025,0.000844,0.000294,0.000293,0.000033,0,0.00138,0.00001,0.000512,0.00016,0.000066,0.000044,0.000061,0,0.000095,0.000041,0.000036,0.000117,0.001396,0.001406,0.00146,0.00146,0.11956,,1.489692,1.454545,0.398917,0.2229,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0,,,,,,,,,,,,,,,,,,,,,1.421432,1.047703,1.421432,,1.421432,,1.068451,1.564677,1.061015,3.93,1.421432,1.047703,1.068451,1.547495,1.116912,
1,tsukubaSet,HALF,64,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,AVX256,384,288,15,0,0.000073,0.000045,0.000018,0.000014,0.000011,0.000088,0.000021,0.00002,0.001704,0.000257,0.000257,0.000038,0,0.002188,0.00001,0.001145,0.000337,0.000119,0.000057,0.000042,0,0.000089,0.00004,0.000038,0.000087,0.002203,0.002213,0.002259,0.002259,0.11956,,1.489692,1.454545,0.398917,0.2229,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0,,,,,,,,,,,,,,,,,,,,,1.271755,1.037524,1.271755,,,1.271755,1.040815,1.458504,1,4.13933,1.271755,1.037524,1.040815,1.547495,1.299258,
2,venus,HALF,64,64,16,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,434,383,15,0,0.000169,0.000108,0.00004,0.000031,0.000021,0.000202,0.000037,0.000036,0.001599,0.000518,0.000518,0.00006,0,0.002605,0.000018,0.000926,0.000269,0.000184,0.000094,0.000129,0,0.000218,0.000104,0.000065,0.000124,0.002633,0.002651,0.00271,0.00271,0.34255,,0.447036,0.42431,0.88398,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0,,,,,,,,,,,,,,,,,,,,,1.3021,1.284953,1.3021,,1.3021,,1.002764,1.329717,1.091348,4.703054,1.3021,1.284953,1.002764,1.286611,1.54347,
2,venus,HALF,64,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,434,383,15,0,0.000145,0.000091,0.000036,0.000029,0.00002,0.000176,0.000031,0.000031,0.002509,0.000466,0.000466,0.000069,0,0.00339,0.000017,0.001619,0.000452,0.000239,0.000122,0.000065,0,0.000164,0.000088,0.000076,0.000136,0.003414,0.003432,0.003486,0.003486,0.34255,,0.447036,0.42431,0.88398,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0,,,,,,,,,,,,,,,,,,,,,1.168632,1.284885,1.168632,,,1.168632,1.00663,1.178919,1,4.732292,1.168632,1.284885,1.00663,1.286611,1.579379,
3,barn1,HALF,64,64,16,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,432,381,15,0,0.000243,0.000159,0.000054,0.000039,0.000022,0.000276,0.00004,0.00004,0.002374,0.000926,0.000925,0.000129,0,0.004015,0.000023,0.001496,0.000394,0.000173,0.000104,0.00019,0,0.000437,0.000195,0.000122,0.000185,0.004058,0.00408,0.004166,0.004166,0.543807,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0,,,,,,,,,,,,,,,,,,,,,0.990866,1.184157,,,0.990866,,1.00281,1.255506,1.098202,4.708072,0.990866,1.184157,1.00281,1.242139,2.003695,
3,barn1,HALF,64,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX256,432,381,15,0,0.000206,0.000135,0.000047,0.000037,0.000021,0.000241,0.00004,0.00004,0.003493,0.000913,0.000913,0.000129,0,0.005037,0.000022,0.002309,0.000632,0.000311,0.000154,0.000074,0,0.000429,0.000184,0.000124,0.000171,0.005073,0.005094,0.005174,0.005174,0.543807,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0,,,,,,,,,,,,,,,,,,,,,1.055023,1.18586,,,,1.055023,0.998375,1.131066,1,4.531573,1.055023,1.18586,0.998375,1.242139,1.840491,
4,conesQuarterSize,HALF,64,64,16,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0,0.000576,0.00051,0.000112,0.000067,0.000028,0.000722,0.000071,0.00007,0.007447,0.003107,0.003106,0.000657,0,0.012569,0.000028,0.005574,0.001015,0.000348,0.000177,0.000307,0,0.001778,0.00072,0.000265,0.000356,0.012631,0.01266,0.012767,0.012767,1.154801,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.02084,0.007052,0.003064,0.000421,0.000415,,,,,,,,,,,,,,,,,,,,,0.749976,1.141418,,0.749976,0.749976,,0.997167,1.094645,1.063559,3.423229,0.749976,1.141418,0.997167,1.094645,1.860987,
4,conesQuarterSize,HALF,64,64,16,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,450,375,15,0.000001,0.000582,0.000548,0.000131,0.000068,0.000028,0.000786,0.000074,0.000073,0.008523,0.00314,0.003138,0.000656,0.000001,0.013796,0.000028,0.006386,0.001192,0.000431,0.000215,0.000312,0,0.001768,0.000774,0.000257,0.000327,0.013851,0.013881,0.013975,0.013975,1.154801,,2.332252,1.489943,0.790667,0.159852,0.111081,0.073624,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.023905,0.02084,0.007052,0.003064,0.000421,0.000415,,,,,,,,,,,,,,,,,,,,,0.801422,1.146614,,0.801422,,0.801422,1.00135,1.094645,1.061021,3.45656,0.801422,1.146614,1.00135,1.094645,1.795113,
5,conesHalfSize,HALF,64,64,16,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0,0.003724,0.004002,0.001044,0.000365,0.000091,0.00551,0.000153,0.000152,0.094993,0.028721,0.028719,0.007265,0.000001,0.140317,0.000059,0.075312,0.01629,0.002235,0.000838,0.000286,0,0.020843,0.005301,0.00183,0.000737,0.140373,0.140432,0.140774,0.140774,9.639777,,4.30099,1.891431,0.691837,0.19715,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.00511,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,,,0.816066,1.058157,,0.816066,0.816066,,0.985056,1.044429,1.087691,2.660709,0.816066,1.058157,0.985056,1.044429,1.711235,
5,conesHalfSize,HALF,64,64,16,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.003785,0.003978,0.000942,0.000404,0.000093,0.005425,0.000159,0.000158,0.099624,0.030179,0.030177,0.007308,0.000001,0.146587,0.000059,0.078071,0.016939,0.003482,0.000871,0.000314,0,0.020327,0.006256,0.002834,0.000766,0.146642,0.1467,0.147029,0.147029,9.639777,,4.30099,1.891431,0.691837,0.19715,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.00511,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,,,0.800769,1.060273,,0.800769,,0.800769,0.972596,1.044429,1.097225,2.654337,0.800769,1.060273,0.972596,1.044429,1.646,
6,conesFullSizeCropped,HALF,64,64,16,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.007932,0.009733,0.002709,0.000997,0.00016,0.013593,0.000279,0.000278,0.204556,0.063728,0.063726,0.014684,0.000001,0.304808,0.00006,0.155057,0.039388,0.008296,0.001371,0.000451,0,0.044135,0.012493,0.005737,0.001413,0.304862,0.304922,0.305239,0.305239,19.931737,,17.00592,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.00803,0.005797,0.002902,,,,,,,,,,,,,,,,,,,,,0.839857,0.936752,,0.839857,0.839857,,0.987079,1.014822,1.087982,2.584092,0.839857,0.936752,0.987079,1.014822,1.625366,
6,conesFullSizeCropped,HALF,64,64,16,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,AVX512,900,750,7,0.000001,0.00799,0.009492,0.002406,0.001104,0.000162,0.013174,0.000308,0.000306,0.208261,0.06461,0.064607,0.014753,0.000001,0.309331,0.00006,0.157724,0.039846,0.008618,0.001533,0.000478,0,0.044414,0.013149,0.005757,0.00137,0.309386,0.309448,0.309763,0.309763,19.931737,,17.00592,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.00803,0.005797,0.002902,,,,,,,,,,,,,,,,,,,,,0.846327,0.936963,,0.846327,,0.846327,1.02219,1.014822,1.109076,2.603516,0.846327,0.936963,1.02219,1.014822,1.657618,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup Results,Average Speedup,Median Speedup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) - FLOAT,1.00047,0.948732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,1.07324,1.06194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,1.23518,1.16682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,0.867499,0.935258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,0.957463,0.947471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,1.04347,0.956707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,1.05179,1.00267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup w/ templated disparity count (known at compile-time) - FLOAT,1.25557,1.14096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup over AVX256 CPU vectorization - FLOAT,1.05446,1.05585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup using CPU vectorization - FLOAT,2.29078,2.17077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) - DOUBLE,0.926188,0.902346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,1.072,1.02371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,1.04854,0.955067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,0.910996,0.907212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
