Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
5,conesHalfSize,FLOAT,64,16,8,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002407,0.004231,0.00077,0.000152,0.000048,0.005225,0.000058,0.000056,0.119075,0.020227,0.020225,0.008447,0.000002,0.156283,0.000287,0.089609,0.022062,0.003892,0.001161,0.000342,0,0.014977,0.003973,0.001059,0.000225,0.156341,0.156487,0.156601,0.156601,7.381893,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,1.461361,1.384022,,1.461361,1.461361,,1.038374,1.089629,1.399224,,,,,,,,,,,,,,,,,,,1.461361,1.384022,1.038374,1.089629,1.500784,0.495311
5,conesHalfSize,FLOAT,64,16,8,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002559,0.004408,0.000779,0.000148,0.000048,0.005385,0.000058,0.000056,0.131312,0.020537,0.020536,0.009021,0.000002,0.170257,0.000225,0.101047,0.024233,0.004348,0.001318,0.000377,0,0.015382,0.00395,0.001075,0.000221,0.170313,0.170521,0.170637,0.170637,7.381893,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,1.356866,1.389495,,1.356866,,1.356866,1.019195,1.089629,1.273178,,,,,,,,,,,,,,,,,,,1.356866,1.389495,1.019195,1.089629,1.494005,0.509705
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.005956,0.008843,0.001939,0.000425,0.000081,0.011311,0.000107,0.000104,0.24844,0.042535,0.042533,0.018289,0.000002,0.328206,0.000335,0.187649,0.04548,0.010116,0.002682,0.000684,0,0.030837,0.008159,0.002462,0.000522,0.328261,0.328612,0.328726,0.328726,14.26946,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,1.429956,1.309026,,1.429956,1.429956,,0.996076,1.012978,1.336538,,,,,,,,,,,,,,,,,,,1.429956,1.309026,0.996076,1.012978,1.453282,0.491327
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0,0.005838,0.008552,0.001827,0.000343,0.000082,0.01079,0.000107,0.000105,0.256113,0.041818,0.041815,0.018048,0.000002,0.332553,0.000274,0.194534,0.046927,0.010727,0.002757,0.000722,0,0.030438,0.008092,0.002446,0.000485,0.33261,0.332885,0.332992,0.332992,14.26946,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,1.423321,1.304212,,1.423321,,1.423321,0.988774,1.012978,1.303327,,,,,,,,,,,,,,,,,,,1.423321,1.304212,0.988774,1.012978,1.374075,0.486806
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,NEON,192,144,15,0,0.000013,0.000013,0.000011,0.00001,0.000011,0.000045,0.000006,0.000006,0.000376,0.000072,0.000072,0.000025,0,0.000543,0.000011,0.00018,0.000073,0.000045,0.000036,0.000035,0,0.000031,0.000016,0.000013,0.000012,0.00056,0.000573,0.000577,0.000577,0.01065,,0.896918,0.896918,0.759404,0.1199,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003219,0.003219,0.002025,0.000398,0,0,,,,,,,,,,1.246667,1.042585,1.246667,,1.246667,,1.175675,1.62729,1.305128,,,,,,,,,,1.246667,1.042585,1.175675,1.62729,,0.784265
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0,0.000011,0.000016,0.000015,0.000014,0.000015,0.00006,0.000008,0.000007,0.000728,0.000075,0.000075,0.000027,0,0.000908,0.000014,0.00039,0.000162,0.000079,0.000055,0.000048,0,0.000025,0.000019,0.000015,0.000016,0.000922,0.000936,0.000938,0.000938,0.01065,,0.896918,0.896918,0.759404,0.1199,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003219,0.003219,0.002025,0.000398,0,0,,,,,,,,,,2.152661,1.059092,2.152661,,,2.152661,1.098817,1.62729,1.08279,,,,,,,,,,2.152661,1.059092,1.098817,1.62729,,0.754527
1,tsukubaSet,DOUBLE,64,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.000039,0.000031,0.000024,0.000021,0.00002,0.000095,0.000011,0.000011,0.001443,0.000205,0.000204,0.00007,0,0.001862,0.000019,0.000871,0.000301,0.000127,0.000075,0.000065,0,0.000117,0.000041,0.000024,0.000021,0.001881,0.0019,0.001915,0.001915,0.095051,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,1.925863,1.283658,1.925863,,1.925863,,1.042945,2.024765,1.921898,,,,,,,,,,1.925863,1.283658,1.042945,2.024765,,0.674888
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.00004,0.000031,0.000024,0.000021,0.00002,0.000097,0.000011,0.000011,0.003399,0.000211,0.000211,0.000069,0,0.003825,0.000019,0.00224,0.000708,0.000261,0.000108,0.000074,0,0.00012,0.000042,0.000024,0.000021,0.003844,0.003863,0.003877,0.003877,0.095051,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,1.527426,1.291685,1.527426,,,1.527426,1.002253,2.024765,1.317628,,,,,,,,,,1.527426,1.291685,1.002253,2.024765,,0.580465
2,venus,DOUBLE,64,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000058,0.000067,0.000035,0.000024,0.000021,0.000152,0.000014,0.000014,0.005114,0.000553,0.000552,0.000219,0,0.006116,0.000023,0.003661,0.000893,0.000336,0.000135,0.000086,0,0.00032,0.000145,0.000056,0.00003,0.006156,0.006189,0.006215,0.006215,0.27402,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,0.967442,1.587663,0.967442,,0.967442,,0.998965,1.121506,1.386371,,,,,,,,,,0.967442,1.587663,0.998965,1.121506,,0.481583
2,venus,DOUBLE,64,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000058,0.000066,0.000036,0.000024,0.000021,0.000147,0.000014,0.000014,0.00589,0.00055,0.000549,0.000227,0,0.00688,0.000023,0.004226,0.001016,0.000378,0.000155,0.000094,0,0.000318,0.000141,0.000059,0.00003,0.006918,0.006944,0.00697,0.00697,0.27402,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,1.350888,1.577839,1.350888,,,1.350888,1.000785,1.121506,1.407407,,,,,,,,,,1.350888,1.577839,1.000785,1.121506,,0.476014
