Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
3,barn1,DOUBLE,64,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000114,0.000137,0.000046,0.000028,0.000022,0.000236,0.000017,0.000017,0.00934,0.001147,0.001146,0.000695,0,0.011554,0.000024,0.00714,0.001419,0.000502,0.000182,0.000107,0,0.000819,0.000197,0.00008,0.00004,0.0116,0.011624,0.011649,0.011649,0.413098,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,1.050461,1.551747,,,1.050461,,0.998445,1.160828,1.244781,,,,,,,,,,1.050461,1.551747,0.998445,1.160828,,0.381767
3,barn1,DOUBLE,64,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000117,0.000136,0.000046,0.000028,0.000022,0.000233,0.000017,0.000017,0.011139,0.001148,0.001147,0.000745,0,0.013429,0.000025,0.008678,0.00156,0.000552,0.00019,0.000115,0,0.000823,0.000195,0.000078,0.00004,0.013473,0.013497,0.013522,0.013522,0.413098,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,1.175022,1.561309,,,,1.175022,0.994266,1.160828,1.195604,,,,,,,,,,1.175022,1.561309,0.994266,1.160828,,0.355308
4,conesQuarterSize,DOUBLE,64,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000344,0.000381,0.000111,0.000043,0.000025,0.000564,0.000027,0.000026,0.025463,0.004118,0.004116,0.001963,0.000001,0.032592,0.000049,0.020375,0.003331,0.001117,0.000334,0.000181,0,0.003178,0.000691,0.000164,0.000073,0.032648,0.032688,0.032714,0.032714,0.926258,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,1.491179,1.417457,,1.491179,1.491179,,0.984537,1.058703,1.075897,,,,,,,,,,1.491179,1.417457,0.984537,1.058703,,0.407476
4,conesQuarterSize,DOUBLE,64,16,8,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000346,0.000404,0.000108,0.000043,0.000025,0.00058,0.000027,0.000026,0.027127,0.004162,0.004161,0.00193,0.000001,0.034483,0.000051,0.021233,0.003572,0.001172,0.000345,0.000194,0,0.003199,0.00071,0.000163,0.000072,0.034532,0.034608,0.034634,0.034634,0.926258,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,1.449833,1.409144,,1.449833,,1.449833,0.98268,1.058703,1.047079,,,,,,,,,,1.449833,1.409144,0.98268,1.058703,,0.407839
5,conesHalfSize,DOUBLE,64,16,8,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.005025,0.007863,0.001781,0.000428,0.000067,0.009919,0.000069,0.000066,0.239513,0.043136,0.043134,0.016345,0.000002,0.315658,0.00034,0.184997,0.041722,0.009407,0.002696,0.000683,0,0.033726,0.007037,0.00196,0.000289,0.31572,0.31606,0.316168,0.316168,7.381893,,4.299231,1.890408,0.69179,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.00897,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,1.436352,1.332296,,1.436352,1.436352,,0.990951,1.070155,1.025631,,,,,,,,,,1.436352,1.332296,0.990951,1.058858,,0.495311
5,conesHalfSize,DOUBLE,64,16,8,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,DEFAULT,900,750,7,0.000001,0.005131,0.00755,0.001582,0.000245,0.000059,0.009588,0.000071,0.000069,0.259905,0.043419,0.043417,0.015539,0.000002,0.333832,0.000593,0.197353,0.046941,0.011542,0.00276,0.000832,0,0.033871,0.007098,0.001789,0.000288,0.333892,0.334599,0.334777,0.334777,7.381893,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,,,,,,,,,,1.368283,1.326192,,1.368283,,1.368283,1.004242,1.032397,1,,,,,,,,,,1.368283,1.326192,1.004242,1.058858,,0.509705
6,conesFullSizeCropped,DOUBLE,64,16,8,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.01074,0.014889,0.003598,0.000664,0.000128,0.01923,0.000137,0.000134,0.497588,0.102359,0.102356,0.033593,0.000002,0.668305,0.000477,0.378166,0.085519,0.022381,0.005065,0.001462,0,0.081704,0.014668,0.005215,0.000854,0.668362,0.668949,0.669058,0.669058,14.26946,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,1.388592,1.297253,,1.388592,1.388592,,1.004522,1.022387,1.037433,,,,,,,,,,1.388592,1.297253,1.004522,1.022387,,0.491327
6,conesFullSizeCropped,DOUBLE,64,16,8,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.010588,0.0151,0.003753,0.000785,0.000131,0.01969,0.000137,0.000134,0.513037,0.102004,0.102002,0.0334,0.000002,0.683437,0.000426,0.381912,0.086562,0.022531,0.00541,0.001577,0,0.081982,0.014271,0.004881,0.000879,0.683496,0.683926,0.684036,0.684036,14.26946,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,1.371259,1.308473,,1.371259,,1.371259,0.997129,1.022387,1.065547,,,,,,,,,,1.371259,1.308473,0.997129,1.022387,,0.486806
0,tsukubaSetHalfSize,HALF,64,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,32,NEON,192,144,15,0,0.000009,0.000012,0.000011,0.000012,0.000011,0.000046,0.000006,0.000006,0.000291,0.000068,0.000068,0.000019,0,0.000447,0.00001,0.00012,0.000054,0.00004,0.000038,0.000036,0,0.000027,0.000015,0.000014,0.000012,0.000462,0.000472,0.000475,0.000475,0.01065,,0.897545,0.897545,0.759585,0.120009,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003906,0.003906,0.002351,0.00047,0,0,,,,,,,,,,,,,,,,,,,1.49916,0.954361,1.49916,,1.49916,,1.328055,1.477494,1.538202,1.49916,0.954361,1.328055,1.477494,0.952298,
0,tsukubaSetHalfSize,HALF,64,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0,0.00001,0.000016,0.000015,0.000015,0.000016,0.000062,0.000008,0.000008,0.000485,0.000079,0.000079,0.000024,0,0.000669,0.000014,0.000219,0.000096,0.000058,0.000052,0.000051,0,0.000026,0.000019,0.000018,0.000016,0.000682,0.000699,0.000702,0.000702,0.01065,,0.897545,0.897545,0.759585,0.120009,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003906,0.003906,0.002351,0.00047,0,0,,,,,,,,,,,,,,,,,,,1.759686,0.969018,1.759686,,,1.759686,1.114415,1.477494,1.52629,1.759686,0.969018,1.114415,1.477494,1.009076,
1,tsukubaSet,HALF,64,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.000031,0.000027,0.000021,0.00002,0.00002,0.000088,0.000011,0.000011,0.000951,0.000217,0.000217,0.000043,0,0.001342,0.000018,0.000539,0.000182,0.000091,0.000066,0.000065,0,0.000114,0.00004,0.000038,0.000023,0.00136,0.001378,0.001393,0.001393,0.095051,,1.489692,1.454545,0.398917,0.2229,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0,,,,,,,,,,,,,,,,,,,1.489503,1.31785,1.489503,,1.489503,,1.00209,1.640058,2.499815,1.489503,1.31785,1.00209,1.640058,0.927777,
1,tsukubaSet,HALF,64,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0,0.000032,0.000027,0.000021,0.00002,0.00002,0.000088,0.000012,0.000012,0.001851,0.000208,0.000208,0.000043,0,0.002233,0.000019,0.001174,0.000375,0.00015,0.000081,0.000065,0,0.000102,0.000039,0.000036,0.000024,0.002251,0.00227,0.002285,0.002285,0.095051,,1.489692,1.454545,0.398917,0.2229,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0,,,,,,,,,,,,,,,,,,,1.257444,1.305046,1.257444,,,1.257444,1.019455,1.640058,2.185125,1.257444,1.305046,1.019455,1.640058,0.985153,
2,venus,HALF,64,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000045,0.000033,0.000023,0.000021,0.00002,0.000097,0.000013,0.000013,0.002603,0.000231,0.000231,0.000062,0,0.003054,0.000019,0.001754,0.000486,0.000195,0.000095,0.000068,0,0.0001,0.00005,0.000041,0.000039,0.003071,0.00309,0.003115,0.003115,0.27402,,0.447036,0.42431,0.88398,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0,,,,,,,,,,,,,,,,,,,1.132868,1.606308,1.132868,,1.132868,,1.005404,1.087053,2.380382,1.132868,1.606308,1.005404,1.087053,0.960978,
2,venus,HALF,64,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0,0.000045,0.000033,0.000023,0.00002,0.00002,0.000097,0.000013,0.000013,0.002869,0.000237,0.000237,0.000061,0,0.003324,0.000019,0.001953,0.00053,0.000212,0.0001,0.000071,0,0.000101,0.000057,0.000041,0.000038,0.003342,0.003361,0.003386,0.003386,0.27402,,0.447036,0.42431,0.88398,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0,,,,,,,,,,,,,,,,,,,1.203398,1.606224,1.203398,,,1.203398,0.998932,1.087053,2.606696,1.203398,1.606224,0.998932,1.087053,0.979972,
3,barn1,HALF,64,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000062,0.000042,0.000024,0.000022,0.000021,0.00011,0.000014,0.000014,0.003848,0.000352,0.000352,0.000081,0,0.004466,0.000019,0.002655,0.000713,0.000279,0.000116,0.000082,0,0.000166,0.000071,0.000056,0.000057,0.004484,0.004503,0.004528,0.004528,0.413098,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0,,,,,,,,,,,,,,,,,,,0.911649,1.558837,,,0.911649,,1.000452,1.068127,2.268407,0.911649,1.558837,1.000452,1.068127,0.982245,
3,barn1,HALF,64,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,432,381,15,0,0.000062,0.000043,0.000024,0.000021,0.000021,0.00011,0.000014,0.000014,0.004151,0.000357,0.000357,0.00008,0,0.004775,0.000019,0.00288,0.000765,0.000298,0.000121,0.000084,0,0.000166,0.000072,0.000057,0.000059,0.004792,0.004812,0.004836,0.004836,0.413098,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0,,,,,,,,,,,,,,,,,,,1.128812,1.561079,,,,1.128812,1.001072,1.068127,2.468175,1.128812,1.561079,1.001072,1.068127,0.993509,
4,conesQuarterSize,HALF,64,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000123,0.000078,0.000037,0.000028,0.000022,0.000167,0.000019,0.000019,0.008205,0.000866,0.000866,0.000177,0,0.009563,0.000022,0.005886,0.001463,0.000555,0.00018,0.000116,0,0.000401,0.000243,0.000113,0.000107,0.009603,0.009625,0.009651,0.009651,0.926258,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,0.992133,1.423049,,0.992133,0.992133,,1.00056,1.036417,2.304225,0.992133,1.423049,1.00056,1.036417,1.38122,
4,conesQuarterSize,HALF,64,16,8,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,450,375,15,0,0.000122,0.000083,0.000037,0.000027,0.000022,0.00017,0.000019,0.000019,0.008564,0.00087,0.00087,0.000172,0,0.009916,0.000022,0.006137,0.001527,0.00058,0.000186,0.000119,0,0.0004,0.000238,0.000122,0.000111,0.009956,0.009978,0.010002,0.010002,0.926258,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,1.119753,1.429527,,1.119753,,1.119753,0.999328,1.036417,2.258893,1.119753,1.429527,0.999328,1.036417,1.412177,
5,conesHalfSize,HALF,64,16,8,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.001186,0.001725,0.000363,0.000079,0.00005,0.002199,0.000113,0.000111,0.083059,0.011227,0.011225,0.004338,0.000002,0.103866,0.000233,0.064253,0.014197,0.003185,0.00112,0.000326,0,0.008574,0.001849,0.000667,0.000226,0.103926,0.104233,0.104346,0.104346,7.381893,,4.30099,1.891431,0.691837,0.19715,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.00511,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.100959,1.381814,,1.100959,1.100959,,0.992327,1.094573,1.885703,1.100959,1.381814,0.992327,1.094573,1.500784,
5,conesHalfSize,HALF,64,16,8,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0,0.001214,0.001774,0.000348,0.000079,0.000052,0.002253,0.000107,0.000105,0.093332,0.011263,0.011262,0.004533,0.000002,0.113285,0.000299,0.069545,0.015614,0.00344,0.001189,0.000367,0,0.008488,0.001852,0.00068,0.000222,0.113344,0.114102,0.114215,0.114215,7.381893,,4.30099,1.891431,0.691837,0.19715,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.00511,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.030831,1.384577,,1.030831,,1.030831,0.970853,1.094573,1.627674,1.030831,1.384577,0.970853,1.094573,1.494005,
6,conesFullSizeCropped,HALF,64,16,8,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002525,0.005178,0.000852,0.000177,0.000092,0.006257,0.000247,0.000245,0.177915,0.025167,0.025165,0.00996,0.000002,0.225823,0.000198,0.134902,0.032617,0.006816,0.002574,0.000655,0,0.018365,0.004789,0.001453,0.000481,0.225891,0.22609,0.226196,0.226196,14.26946,,17.00592,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.00803,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.133341,1.308466,,1.133341,1.133341,,0.995857,1.07137,1.72348,1.133341,1.308466,0.995857,1.07137,1.453282,
6,conesFullSizeCropped,HALF,64,16,8,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002534,0.005191,0.000939,0.000176,0.000091,0.006388,0.000253,0.000251,0.19519,0.02568,0.025678,0.010321,0.000002,0.241615,0.000323,0.150519,0.034373,0.007106,0.002679,0.000681,0,0.018307,0.004843,0.001431,0.00049,0.241674,0.242232,0.242339,0.242339,14.26946,,17.00592,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.00803,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.081793,1.30876,,1.081793,,1.081793,0.976299,1.07137,1.532581,1.081793,1.30876,0.976299,1.07137,1.374075,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup Results,Average Speedup,Median Speedup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) - FLOAT,1.44376,1.40862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,1.36311,1.38676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,1.55288,1.61669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,1.36863,1.39009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,1.3838,1.28975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,1.50373,1.42332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,1.04016,0.999527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,1.23689,1.08963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup using CPU vectorization - FLOAT,1.90326,1.8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) - DOUBLE,1.42053,1.37993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,1.36046,1.32924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,1.52849,1.43916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,1.41518,1.41247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,1.35808,1.38859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,1.48299,1.37126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,1.01778,0.998705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
