Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
0,tsukubaSetHalfSize,FLOAT,26,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,19,AVX256,192,144,15,0,0.000022,0.000018,0.000013,0.000011,0.000009,0.00005,0.00001,0.00001,0.000306,0.000146,0.000145,0.000022,0,0.000555,0.000009,0.00014,0.000055,0.000036,0.000032,0.000038,0,0.000055,0.000032,0.000029,0.000029,0.000573,0.000581,0.000589,0.000589,0.008896,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,0.984243,1.17724,0.984243,,0.984243,,0.995546,2.855819,1.828216,,,,,,,,,,,,,,,,,,,0.984243,1.17724,0.995546,2.855819,1.203184,0.809835
0,tsukubaSetHalfSize,FLOAT,26,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,13,AVX256,192,144,15,0,0.00002,0.000014,0.000009,0.00001,0.000008,0.000042,0.000009,0.000009,0.001423,0.000117,0.000117,0.000038,0,0.001651,0.000006,0.000944,0.000288,0.0001,0.00005,0.000037,0,0.000043,0.000025,0.000025,0.000023,0.001665,0.001671,0.001681,0.001681,0.008896,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,0.769094,1.229418,0.769094,,,0.769094,0.986659,2.855819,1.45136,,,,,,,,,,,,,,,,,,,0.769094,1.229418,0.986659,2.855819,1.352265,0.686729
1,tsukubaSet,FLOAT,26,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0,0.000102,0.000053,0.000024,0.000025,0.000015,0.000118,0.000028,0.000028,0.001335,0.000807,0.000805,0.000108,0,0.002502,0.000015,0.000908,0.00025,0.000086,0.000052,0.000036,0,0.0006,0.000103,0.000047,0.000054,0.002524,0.002538,0.002574,0.002574,0.082538,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,0.873761,1.445876,0.873761,,0.873761,,0.988407,2.39605,3.768172,,,,,,,,,,,,,,,,,,,0.873761,1.445876,0.988407,2.39605,1.204989,0.443244
1,tsukubaSet,FLOAT,26,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0,0.000103,0.000054,0.000022,0.000022,0.000013,0.000112,0.000026,0.000026,0.004858,0.000876,0.000875,0.000119,0,0.006094,0.000015,0.003475,0.000916,0.000272,0.000112,0.000061,0,0.000663,0.000108,0.000052,0.000052,0.006116,0.006131,0.006168,0.006168,0.082538,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0,0,0,0,0,0,0.561673,1.477862,0.561673,,,0.561673,0.986633,2.39605,2.354868,,,,,,,,,,,,,,,,,,,0.561673,1.477862,0.986633,2.39605,1.364936,0.427894
2,venus,FLOAT,26,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0,0.000188,0.000095,0.000034,0.000019,0.000018,0.000173,0.000032,0.000031,0.006483,0.001226,0.001225,0.000265,0,0.008393,0.000025,0.005452,0.000647,0.000215,0.000118,0.000058,0,0.000888,0.000189,0.000082,0.000066,0.008429,0.008454,0.008548,0.008548,0.232538,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,0.432931,1.885973,0.432931,,0.432931,,0.998148,1.563285,2.628988,,,,,,,,,,,,,,,,,,,0.432931,1.885973,0.998148,1.563285,1.868345,0.308404
2,venus,FLOAT,26,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0,0.000202,0.0001,0.000034,0.000018,0.000018,0.000173,0.000029,0.000028,0.011175,0.001298,0.001297,0.000275,0,0.013204,0.000027,0.008918,0.00159,0.000446,0.000183,0.000077,0,0.000911,0.000214,0.000094,0.000069,0.013239,0.013263,0.013362,0.013362,0.232538,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0,0,0,0,0,0,0.42066,1.88203,0.42066,,,0.42066,0.989554,1.563285,2.030108,,,,,,,,,,,,,,,,,,,0.42066,1.88203,0.989554,1.563285,1.774412,0.383372
3,barn1,FLOAT,26,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0,0.000294,0.000155,0.000051,0.000024,0.000022,0.000253,0.000033,0.000033,0.00899,0.00235,0.002349,0.000499,0.000001,0.012466,0.000028,0.007257,0.001163,0.000332,0.000158,0.000073,0,0.001629,0.000436,0.000183,0.000093,0.012511,0.012541,0.012663,0.012663,0.417429,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.452959,1.532202,,,0.452959,,0.998845,1.488216,2.944806,,,,,,,,,,,,,,,,,,,0.452959,1.532202,0.998845,1.488216,1.594174,0.319699
3,barn1,FLOAT,26,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0,0.000307,0.000154,0.000053,0.000024,0.000021,0.000257,0.000034,0.000034,0.015101,0.002435,0.002433,0.000524,0,0.018664,0.000029,0.011699,0.002425,0.000635,0.000246,0.000095,0,0.001723,0.000448,0.000184,0.000089,0.018711,0.018739,0.018845,0.018845,0.417429,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0,0,0,0,0,0,0.355383,1.518154,,,,0.355383,0.998878,1.488216,2.269611,,,,,,,,,,,,,,,,,,,0.355383,1.518154,0.998878,1.488216,1.608175,0.370907
4,conesQuarterSize,FLOAT,26,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,450,375,15,0,0.000773,0.000898,0.000147,0.000058,0.000033,0.001145,0.000064,0.000063,0.032609,0.009456,0.009454,0.002065,0.000001,0.046323,0.000029,0.027334,0.004232,0.000713,0.000259,0.000115,0,0.007298,0.001518,0.000495,0.000171,0.046368,0.046397,0.046499,0.046499,0.957053,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.357668,1.382035,,0.357668,0.357668,,1.001942,1.142539,1.952404,,,,,,,,,,,,,,,,,,,0.357668,1.382035,1.001942,1.142539,1.965557,0.478869
4,conesQuarterSize,FLOAT,26,16,8,NO,,,NO,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,450,375,15,0,0.000771,0.000915,0.000145,0.000056,0.000033,0.001151,0.000057,0.000057,0.039226,0.009387,0.009386,0.002104,0.000001,0.052947,0.000029,0.032421,0.005339,0.001036,0.000351,0.000143,0,0.007262,0.001458,0.000481,0.000166,0.052993,0.05302,0.053127,0.053127,0.957053,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0,0,0,0,0,0,0.343671,1.39334,,0.343671,,0.343671,1.010835,1.142539,1.766706,,,,,,,,,,,,,,,,,,,0.343671,1.39334,1.010835,1.142539,1.918429,0.485021
