Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000013,0.000006,0.000005,0.000005,0.000030,0.000007,0.000006,0.000386,0.000098,0.000098,0.000023,0.000000,0.000569,0.000005,0.000230,0.000073,0.000032,0.000024,0.000027,0.000000,0.000051,0.000020,0.000014,0.000012,0.000590,0.000595,0.000603,0.000603,0.009463,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.173175,1.173403,1.173175,,1.173175,,0.983333,,,,,,,,,,,,,,1.173175,1.173403,0.983333,,,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000033,0.000015,0.000007,0.000006,0.000005,0.000035,0.000008,0.000008,0.002321,0.000114,0.000114,0.000057,0.000000,0.002568,0.000006,0.001640,0.000456,0.000132,0.000059,0.000033,0.000000,0.000062,0.000021,0.000016,0.000014,0.002590,0.002666,0.002676,0.002676,0.009463,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.746324,1.191981,0.746324,,,0.746324,0.988450,,,,,,,,,,,,,,0.746324,1.191981,0.988450,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000001,0.000647,0.000592,0.000116,0.000017,0.000009,0.000782,0.000022,0.000021,0.019439,0.005974,0.005973,0.003630,0.000000,0.031155,0.000049,0.018394,0.000951,0.000173,0.000053,0.000043,0.000000,0.004990,0.000739,0.000187,0.000062,0.031193,0.031242,0.031281,0.031281,0.081961,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.126186,1.488667,0.126186,,0.126186,,1.070261,,,,,,,,,,,,,,0.126186,1.488667,1.070261,,,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000722,0.000480,0.000079,0.000014,0.000008,0.000580,0.000017,0.000016,0.020122,0.006943,0.006942,0.002385,0.000001,0.033486,0.000054,0.016759,0.002510,0.000653,0.000196,0.000082,0.000000,0.005957,0.000790,0.000165,0.000055,0.033524,0.033579,0.033619,0.033619,0.081961,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.184714,1.497977,0.184714,,,0.184714,1.048515,,,,,,,,,,,,,,0.184714,1.497977,1.048515,,,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.001697,0.002045,0.000255,0.000022,0.000009,0.002342,0.000024,0.000023,0.046346,0.013535,0.013533,0.005673,0.000001,0.069622,0.000078,0.041463,0.004287,0.000397,0.000136,0.000066,0.000000,0.011212,0.001881,0.000330,0.000115,0.069660,0.069723,0.069780,0.069780,0.269180,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.082318,1.616209,0.082318,,0.082318,,0.955326,,,,,,,,,,,,,,0.082318,1.616209,0.955326,,,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000001,0.001706,0.002114,0.000257,0.000022,0.000009,0.002401,0.000020,0.000019,0.048329,0.013457,0.013455,0.005646,0.000001,0.072239,0.000076,0.041834,0.005086,0.000976,0.000297,0.000131,0.000000,0.011219,0.001844,0.000303,0.000103,0.072282,0.072358,0.072415,0.072415,0.269180,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.130196,1.606209,0.130196,,,0.130196,1.001292,,,,,,,,,,,,,,0.130196,1.606209,1.001292,,,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.002755,0.004161,0.000557,0.000059,0.000016,0.004819,0.000040,0.000038,0.078117,0.022207,0.022205,0.008387,0.000001,0.116384,0.000075,0.066577,0.010568,0.000722,0.000218,0.000096,0.000000,0.017386,0.004055,0.000611,0.000171,0.116427,0.116502,0.116560,0.116560,0.440860,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.106755,1.454030,,,0.106755,,1.016878,,,,,,,,,,,,,,0.106755,1.454030,1.016878,,,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.002744,0.003997,0.000497,0.000059,0.000013,0.004576,0.000038,0.000037,0.082071,0.021717,0.021715,0.008405,0.000001,0.119530,0.000077,0.068892,0.010503,0.001217,0.000334,0.000148,0.000000,0.017373,0.003582,0.000593,0.000169,0.119573,0.119650,0.119709,0.119709,0.440860,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.133248,1.462990,,,,0.133248,1.003891,,,,,,,,,,,,,,0.133248,1.462990,1.003891,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.006769,0.009255,0.002017,0.000211,0.000029,0.011502,0.000078,0.000077,0.194505,0.052000,0.051998,0.020188,0.000001,0.297071,0.000077,0.156362,0.031919,0.002489,0.000415,0.000175,0.000000,0.039410,0.010140,0.002116,0.000370,0.297114,0.301071,0.301127,0.301127,0.905728,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.184747,1.449585,,0.184747,0.184747,,1.140429,,,,,,,,,,,,,,0.184747,1.449585,1.140429,,,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.006983,0.009293,0.001923,0.000217,0.000030,0.011548,0.000081,0.000080,0.184441,0.053182,0.053179,0.018245,0.000001,0.286098,0.000091,0.147425,0.030567,0.002739,0.000568,0.000234,0.000000,0.039609,0.009938,0.002285,0.000340,0.286140,0.286465,0.286522,0.286522,0.905728,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.188875,1.441084,,0.188875,,0.188875,1.077733,,,,,,,,,,,,,,0.188875,1.441084,1.077733,,,,
