Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,96,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.001592,0.002339,0.000334,0.000097,0.000049,0.002822,0.000071,0.000070,0.072386,0.014267,0.014265,0.004673,0.000001,0.095784,0.000296,0.055542,0.012983,0.002664,0.000755,0.000401,0.000000,0.010659,0.002655,0.000760,0.000197,0.095822,0.096070,0.096152,0.096152,8.872890,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.377835,1.151451,,2.377835,2.377835,,0.999053,,,,,,,,,,,,,,,,,,,,,2.377835,1.151451,0.999053,,,,
5,conesHalfSize,FLOAT,96,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.001564,0.002392,0.000336,0.000093,0.000050,0.002876,0.000070,0.000069,0.075117,0.014257,0.014255,0.004612,0.000001,0.098555,0.000296,0.057215,0.013871,0.002850,0.000811,0.000422,0.000000,0.010641,0.002654,0.000748,0.000207,0.098594,0.098891,0.098987,0.098987,8.872890,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342283,1.156004,,2.342283,,2.342283,1.001398,,,,,,,,,,,,,,,,,,,,,2.342283,1.156004,1.001398,,,,
6,conesFullSizeCropped,FLOAT,96,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.003775,0.004743,0.001050,0.000201,0.000098,0.006083,0.000130,0.000128,0.151461,0.029460,0.029458,0.009218,0.000001,0.200032,0.000271,0.113801,0.029367,0.006021,0.001496,0.000789,0.000000,0.021728,0.005893,0.001362,0.000486,0.200071,0.200327,0.200405,0.200405,17.570176,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.346152,1.063114,,2.346152,2.346152,,1.000248,,,,,,,,,,,,,,,,,,,,,2.346152,1.063114,1.000248,,,,
6,conesFullSizeCropped,FLOAT,96,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.003623,0.004887,0.001004,0.000196,0.000093,0.006188,0.000137,0.000136,0.152962,0.029333,0.029330,0.009101,0.000001,0.201404,0.000247,0.115885,0.028628,0.006182,0.001532,0.000819,0.000000,0.021584,0.005922,0.001359,0.000484,0.201443,0.201690,0.201768,0.201768,17.570176,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.349692,1.059204,,2.349692,,2.349692,1.000291,,,,,,,,,,,,,,,,,,,,,2.349692,1.059204,1.000291,,,,
0,tsukubaSetHalfSize,DOUBLE,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000022,0.000020,0.000018,0.000019,0.000079,0.000009,0.000009,0.000409,0.000106,0.000106,0.000034,0.000000,0.000653,0.000018,0.000142,0.000080,0.000064,0.000062,0.000059,0.000000,0.000035,0.000026,0.000024,0.000020,0.000669,0.000688,0.000692,0.000692,0.012478,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.349636,0.889845,1.349636,,1.349636,,1.298531,,,,,,,,,,,,1.349636,0.889845,1.298531,,,,
0,tsukubaSetHalfSize,DOUBLE,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000011,0.000021,0.000020,0.000020,0.000020,0.000080,0.000009,0.000009,0.000689,0.000108,0.000108,0.000033,0.000000,0.000928,0.000017,0.000348,0.000129,0.000088,0.000066,0.000061,0.000000,0.000037,0.000026,0.000024,0.000021,0.000945,0.000963,0.000966,0.000966,0.012478,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,2.398949,0.903933,2.398949,,,2.398949,1.147692,,,,,,,,,,,,2.398949,0.903933,1.147692,,,,
1,tsukubaSet,DOUBLE,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000028,0.000031,0.000023,0.000022,0.000022,0.000099,0.000011,0.000011,0.001171,0.000222,0.000222,0.000064,0.000000,0.001599,0.000019,0.000667,0.000244,0.000109,0.000079,0.000069,0.000000,0.000121,0.000042,0.000031,0.000027,0.001618,0.001637,0.001651,0.001651,0.119259,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,2.227990,1.023089,2.227990,,2.227990,,0.997118,,,,,,,,,,,,2.227990,1.023089,0.997118,,,,
1,tsukubaSet,DOUBLE,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000028,0.000032,0.000024,0.000022,0.000022,0.000100,0.000012,0.000012,0.002606,0.000226,0.000225,0.000063,0.000000,0.003036,0.000019,0.001644,0.000571,0.000188,0.000119,0.000083,0.000000,0.000123,0.000043,0.000031,0.000028,0.003057,0.003075,0.003088,0.003088,0.119259,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.915758,1.029487,1.915758,,,1.915758,0.998984,,,,,,,,,,,,1.915758,1.029487,0.998984,,,,
2,venus,DOUBLE,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000051,0.000037,0.000023,0.000023,0.000023,0.000105,0.000016,0.000015,0.003796,0.000330,0.000330,0.000094,0.000000,0.004395,0.000020,0.002613,0.000714,0.000231,0.000138,0.000097,0.000000,0.000177,0.000083,0.000039,0.000033,0.004423,0.004444,0.004465,0.004465,0.324963,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.346050,1.338776,1.346050,,1.346050,,0.999654,,,,,,,,,,,,1.346050,1.338776,0.999654,,,,
2,venus,DOUBLE,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000051,0.000037,0.000021,0.000023,0.000023,0.000106,0.000016,0.000016,0.004319,0.000338,0.000338,0.000094,0.000000,0.004928,0.000020,0.003002,0.000801,0.000256,0.000154,0.000106,0.000000,0.000184,0.000086,0.000039,0.000031,0.004955,0.004975,0.004995,0.004995,0.324963,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.891679,1.330492,1.891679,,,1.891679,1.003458,,,,,,,,,,,,1.891679,1.330492,1.003458,,,,
3,barn1,DOUBLE,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000001,0.000092,0.000098,0.000035,0.000027,0.000021,0.000182,0.000019,0.000019,0.006124,0.000800,0.000800,0.000224,0.000000,0.007450,0.000023,0.004378,0.001097,0.000331,0.000190,0.000122,0.000000,0.000521,0.000167,0.000071,0.000040,0.007481,0.007504,0.007526,0.007526,0.497441,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,1.633677,1.288642,,,1.633677,,1.004785,,,,,,,,,,,,1.633677,1.288642,1.004785,,,,
3,barn1,DOUBLE,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000090,0.000100,0.000034,0.000027,0.000022,0.000185,0.000019,0.000019,0.006568,0.000785,0.000785,0.000235,0.000000,0.007875,0.000023,0.004703,0.001171,0.000353,0.000202,0.000129,0.000000,0.000504,0.000165,0.000072,0.000041,0.007906,0.007930,0.007951,0.007951,0.497441,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,1.993030,1.296583,,,,1.993030,0.997380,,,,,,,,,,,,1.993030,1.296583,0.997380,,,,
4,conesQuarterSize,DOUBLE,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000253,0.000254,0.000074,0.000039,0.000029,0.000397,0.000028,0.000028,0.015916,0.002342,0.002341,0.001243,0.000001,0.020250,0.000023,0.012179,0.002465,0.000665,0.000389,0.000214,0.000000,0.001824,0.000325,0.000125,0.000060,0.020287,0.020309,0.020330,0.020330,1.220203,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,2.405899,1.075993,,2.405899,2.405899,,1.002663,,,,,,,,,,,,2.405899,1.075993,1.002663,,,,
