Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,16,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,4,AVX512,900,750,7,0.000001,0.034640,0.036186,0.007554,0.002036,0.000389,0.046242,0.000488,0.000486,0.780107,0.200642,0.200640,0.073189,0.000001,1.135864,0.000357,0.608521,0.135437,0.029740,0.005340,0.001135,0.000000,0.148890,0.037277,0.011693,0.002832,1.135899,1.136256,1.136463,1.136463,7.858519,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201371,1.300080,,0.201371,0.201371,,1.039154,0.993969,1.101205,1.435281,,,,,,,,,,,,,,,,,,,,,0.201371,1.300080,1.039154,0.993969,1.891548,0.518664,
5,conesHalfSize,FLOAT,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.029101,0.037139,0.008315,0.001955,0.000259,0.047677,0.000280,0.000278,0.781904,0.195013,0.195011,0.075265,0.000001,1.129040,0.000316,0.614241,0.134281,0.028308,0.003574,0.000779,0.000000,0.142980,0.037389,0.012235,0.002081,1.129073,1.129389,1.129608,1.129608,7.858519,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204967,1.305221,,0.204967,,0.204967,1.050738,0.993969,1.097857,1.482039,,,,,,,,,,,,,,,,,,,,,0.204967,1.305221,1.050738,0.993969,1.969356,0.497982,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.054017,0.077661,0.015337,0.003546,0.000600,0.097142,0.000592,0.000590,1.661272,0.421007,0.421004,0.160265,0.000001,2.395126,0.000318,1.288620,0.292769,0.065777,0.012783,0.001600,0.000000,0.295168,0.082010,0.038136,0.005490,2.395159,2.395477,2.395696,2.395696,15.332546,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196212,1.218265,,0.196212,0.196212,,1.049280,1.004034,1.079765,1.365303,,,,,,,,,,,,,,,,,,,,,0.196212,1.218265,1.049280,1.004034,1.973214,0.524376,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.054198,0.077755,0.015264,0.003539,0.000604,0.097217,0.000590,0.000588,1.663960,0.426225,0.426222,0.161828,0.000001,2.404784,0.000318,1.292187,0.291860,0.065614,0.013135,0.001747,0.000000,0.299568,0.081790,0.038843,0.005586,2.404820,2.405134,2.405360,2.405360,15.332546,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197041,1.213784,,0.197041,,0.197041,1.054318,1.004034,1.054952,1.402142,,,,,,,,,,,,,,,,,,,,,0.197041,1.213784,1.054318,1.004034,1.922959,0.508480,
0,tsukubaSetHalfSize,DOUBLE,16,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,192,144,15,0.000000,0.000024,0.000013,0.000006,0.000005,0.000005,0.000029,0.000006,0.000006,0.000439,0.000095,0.000095,0.000028,0.000000,0.000622,0.000005,0.000274,0.000085,0.000033,0.000021,0.000026,0.000000,0.000050,0.000020,0.000014,0.000011,0.000638,0.000646,0.000654,0.000654,0.010793,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.099169,1.028810,1.099169,,1.099169,,0.972382,6.487703,1.000000,3.542543,,,,,,,,,,,1.099169,1.028810,0.972382,4.343003,,0.657591,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000033,0.000015,0.000007,0.000006,0.000005,0.000033,0.000007,0.000006,0.002235,0.000116,0.000115,0.000346,0.000000,0.002788,0.000006,0.001521,0.000428,0.000173,0.000072,0.000034,0.000000,0.000065,0.000024,0.000014,0.000013,0.002817,0.002831,0.002841,0.002841,0.010793,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,0.711155,1.045099,0.711155,,,0.711155,0.921123,4.240950,1.493829,1.737753,,,,,,,,,,,0.711155,1.045099,0.921123,4.343003,,0.473366,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000001,0.000651,0.000527,0.000082,0.000015,0.000008,0.000642,0.000017,0.000016,0.018294,0.005820,0.005819,0.002390,0.000001,0.027921,0.000048,0.017017,0.000929,0.000179,0.000077,0.000081,0.000000,0.004833,0.000754,0.000166,0.000063,0.027966,0.028014,0.028054,0.028054,0.085796,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.131464,1.422131,0.131464,,0.131464,,0.968119,1.058106,1.057337,1.198916,,,,,,,,,,,0.131464,1.422131,0.968119,1.058106,,0.257353,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000000,0.000621,0.000479,0.000076,0.000014,0.000008,0.000580,0.000017,0.000017,0.020072,0.005845,0.005844,0.002359,0.000001,0.029519,0.000047,0.016452,0.002619,0.000663,0.000217,0.000113,0.000000,0.004884,0.000746,0.000158,0.000062,0.029565,0.029644,0.029684,0.029684,0.085796,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.199521,1.431024,0.199521,,,0.199521,1.000207,1.058106,1.404298,1.447985,,,,,,,,,,,0.199521,1.431024,1.000207,1.058106,,0.363478,
2,venus,DOUBLE,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.001744,0.002172,0.000288,0.000031,0.000009,0.002507,0.000022,0.000021,0.047626,0.013592,0.013591,0.005744,0.000001,0.071372,0.000076,0.042085,0.004818,0.000438,0.000156,0.000134,0.000000,0.011172,0.001938,0.000358,0.000101,0.071416,0.071493,0.071548,0.071548,0.286021,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.084038,1.521048,0.084038,,0.084038,,0.988012,1.017456,1.097223,1.185891,,,,,,,,,,,0.084038,1.521048,0.988012,1.017456,,0.396920,
2,venus,DOUBLE,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.001754,0.002155,0.000274,0.000027,0.000009,0.002466,0.000021,0.000020,0.048882,0.013693,0.013692,0.005680,0.000001,0.072617,0.000076,0.042186,0.005209,0.001004,0.000315,0.000182,0.000000,0.011298,0.001924,0.000364,0.000103,0.072661,0.072737,0.072797,0.072797,0.286021,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.129347,1.511636,0.129347,,,0.129347,1.005532,1.017456,1.128169,1.266796,,,,,,,,,,,0.129347,1.511636,1.005532,1.017456,,0.427753,
