Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
3,barn1,DOUBLE,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,432,381,15,0.000000,0.002752,0.004104,0.000528,0.000062,0.000009,0.004704,0.000029,0.000028,0.076457,0.021314,0.021312,0.008520,0.000001,0.113762,0.000064,0.064228,0.010495,0.001288,0.000295,0.000199,0.000000,0.016714,0.003599,0.000799,0.000171,0.113800,0.113864,0.113923,0.113923,0.463497,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.107413,1.383015,,,0.107413,,0.999196,1.005564,1.115648,1.177502,,,,,,,,,,,0.107413,1.383015,0.999196,1.005564,,0.438393,
3,barn1,DOUBLE,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000000,0.002730,0.004023,0.000530,0.000072,0.000014,0.004644,0.000035,0.000034,0.076998,0.021488,0.021487,0.008427,0.000001,0.114379,0.000074,0.064294,0.010730,0.001298,0.000407,0.000228,0.000000,0.017032,0.003601,0.000642,0.000155,0.114424,0.114498,0.114557,0.114557,0.463497,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,,0.138701,1.391537,,,,0.138701,1.007503,1.005564,1.131413,1.255600,,,,,,,,,,,0.138701,1.391537,1.007503,1.005564,,0.450659,
4,conesQuarterSize,DOUBLE,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,450,375,15,0.000000,0.006564,0.008808,0.002000,0.000260,0.000022,0.011093,0.000061,0.000059,0.163876,0.049705,0.049703,0.016430,0.000001,0.247639,0.000065,0.129950,0.029900,0.002701,0.000575,0.000533,0.000000,0.036294,0.011249,0.001804,0.000317,0.247675,0.247740,0.247794,0.247794,0.978810,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.196865,1.341354,,0.196865,0.196865,,1.010330,1.033787,1.182193,1.277683,,,,,,,,,,,0.196865,1.341354,1.010330,1.033787,,0.490906,
4,conesQuarterSize,DOUBLE,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX512,450,375,15,0.000001,0.006229,0.008582,0.002002,0.000258,0.000034,0.010883,0.000074,0.000073,0.169899,0.051894,0.051892,0.016920,0.000000,0.255994,0.000071,0.134018,0.031109,0.003180,0.000791,0.000529,0.000000,0.037811,0.011677,0.002007,0.000376,0.256038,0.256109,0.256166,0.256166,0.978810,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,,0.196020,1.333487,,0.196020,,0.196020,1.003020,1.033787,1.144979,1.249115,,,,,,,,,,,0.196020,1.333487,1.003020,1.033787,,0.478610,
5,conesHalfSize,DOUBLE,16,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.058163,0.074419,0.016147,0.003964,0.000611,0.095175,0.000493,0.000490,1.502727,0.383482,0.383479,0.150743,0.000001,2.190702,0.000184,1.160111,0.267661,0.061794,0.011094,0.001366,0.000000,0.277248,0.071394,0.030480,0.004526,2.190741,2.190921,2.191135,2.191135,7.858519,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,,0.207257,1.251492,,0.207257,0.207257,,1.015625,1.035249,1.150187,1.221106,,,,,,,,,,,0.207257,1.251492,1.015625,1.035249,,0.518664,
5,conesHalfSize,DOUBLE,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,900,750,7,0.000001,0.060047,0.073459,0.015439,0.004134,0.000616,0.093733,0.000529,0.000527,1.554508,0.395166,0.395163,0.154227,0.000001,2.267711,0.000350,1.194631,0.274024,0.069782,0.012277,0.001265,0.000000,0.281906,0.078162,0.031324,0.004989,2.267763,2.268119,2.268371,2.268371,7.858519,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,,0.201937,1.245758,,0.201937,,0.201937,0.996512,1.035249,1.122040,1.189885,,,,,,,,,,,0.201937,1.245758,0.996512,1.035249,,0.497982,
6,conesFullSizeCropped,DOUBLE,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.114823,0.148661,0.032417,0.007670,0.001586,0.190468,0.001259,0.001256,3.141793,0.815937,0.815934,0.305408,0.000001,4.568101,0.000312,2.410814,0.551095,0.136571,0.032932,0.003518,0.000000,0.568462,0.160643,0.070811,0.015849,4.568138,4.568450,4.568663,4.568663,15.332546,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,,0.203352,1.207308,,0.203352,0.203352,,1.024652,1.035422,1.120995,1.323532,,,,,,,,,,,0.203352,1.207308,1.024652,1.035422,,0.524376,
6,conesFullSizeCropped,DOUBLE,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.113250,0.147517,0.032484,0.007735,0.001617,0.189347,0.001245,0.001242,3.305298,0.811826,0.811823,0.304389,0.000001,4.729908,0.000315,2.568588,0.560013,0.139172,0.033309,0.003794,0.000000,0.561104,0.166268,0.068645,0.015589,4.729945,4.730272,4.730492,4.730492,15.332546,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,,0.198286,1.217750,,0.198286,,0.198286,1.012719,1.035422,1.106951,1.297620,,,,,,,,,,,0.198286,1.217750,1.012719,1.035422,,0.508480,
0,tsukubaSetHalfSize,HALF,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,192,144,15,0.000000,0.000032,0.000020,0.000007,0.000004,0.000003,0.000033,0.000003,0.000003,0.000248,0.000073,0.000073,0.000012,0.000000,0.000405,0.000003,0.000143,0.000043,0.000021,0.000026,0.000014,0.000000,0.000037,0.000014,0.000013,0.000010,0.000415,0.000418,0.000427,0.000427,0.010793,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,1.667825,0.941752,1.667825,,1.667825,,1.087092,3.400769,1.135347,3.920928,1.667825,0.941752,1.087092,3.400769,1.007521,,
0,tsukubaSetHalfSize,HALF,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,192,144,15,0.000000,0.000033,0.000020,0.000008,0.000005,0.000004,0.000038,0.000006,0.000006,0.001212,0.000094,0.000093,0.000038,0.000000,0.001419,0.000004,0.000781,0.000228,0.000097,0.000065,0.000027,0.000000,0.000036,0.000016,0.000023,0.000018,0.001438,0.001442,0.001452,0.001452,0.010793,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,0.850524,0.956215,0.850524,,,0.850524,0.946995,3.400769,1.068520,3.524690,0.850524,0.956215,0.946995,3.400769,0.926209,,
1,tsukubaSet,HALF,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000000,0.000236,0.000134,0.000036,0.000012,0.000007,0.000189,0.000012,0.000011,0.001749,0.000502,0.000502,0.000085,0.000000,0.002772,0.000020,0.001212,0.000295,0.000091,0.000065,0.000069,0.000000,0.000339,0.000090,0.000032,0.000029,0.002804,0.002879,0.002916,0.002916,0.085796,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,,,0.711482,1.460012,0.711482,,0.711482,,1.009557,2.498416,1.205321,7.078747,0.711482,1.460012,1.009557,2.498416,2.475600,,
1,tsukubaSet,HALF,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,384,288,15,0.000000,0.000249,0.000141,0.000038,0.000023,0.000010,0.000205,0.000012,0.000012,0.006076,0.000524,0.000524,0.000091,0.000000,0.007182,0.000022,0.004421,0.001065,0.000298,0.000135,0.000122,0.000000,0.000357,0.000093,0.000033,0.000034,0.007222,0.007247,0.007286,0.007286,0.085796,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,,,0.394281,1.445827,0.394281,,,0.394281,1.064830,2.498416,1.129523,4.659506,0.394281,1.445827,1.064830,2.498416,1.480790,,
2,venus,HALF,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000001,0.000448,0.000302,0.000078,0.000023,0.000009,0.000417,0.000018,0.000018,0.005216,0.002335,0.002335,0.000623,0.000001,0.009178,0.000091,0.004112,0.000698,0.000204,0.000094,0.000136,0.000000,0.001664,0.000476,0.000142,0.000064,0.009245,0.009334,0.009403,0.009403,0.286021,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,,,0.375261,1.538910,0.375261,,0.375261,,1.002931,1.581037,1.146954,5.111737,0.375261,1.538910,1.002931,1.581037,3.020296,,
2,venus,HALF,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,434,383,15,0.000000,0.000488,0.000324,0.000085,0.000025,0.000009,0.000451,0.000018,0.000017,0.010627,0.002372,0.002371,0.000605,0.000001,0.014656,0.000091,0.007803,0.001848,0.000526,0.000172,0.000218,0.000000,0.001678,0.000486,0.000145,0.000056,0.014707,0.014801,0.014866,0.014866,0.286021,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,,,0.274077,1.538829,0.274077,,,0.274077,1.053116,1.581037,1.133323,4.373966,0.274077,1.538829,1.053116,1.581037,2.094659,,
3,barn1,HALF,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,432,381,15,0.000001,0.000711,0.000461,0.000120,0.000028,0.000010,0.000621,0.000009,0.000009,0.013178,0.005278,0.005277,0.001541,0.000001,0.021316,0.000065,0.010696,0.001695,0.000441,0.000145,0.000199,0.000000,0.004173,0.000819,0.000236,0.000046,0.021353,0.021418,0.021474,0.021474,0.463497,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,,,0.192211,1.389335,,,0.192211,,1.025881,1.123154,1.017012,3.645806,0.192211,1.389335,1.025881,1.123154,2.325736,,
3,barn1,HALF,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX512,432,381,15,0.000001,0.000734,0.000487,0.000127,0.000031,0.000011,0.000663,0.000018,0.000018,0.015438,0.005534,0.005533,0.001497,0.000001,0.023936,0.000076,0.011974,0.002368,0.000656,0.000205,0.000255,0.000000,0.004337,0.000800,0.000269,0.000086,0.023981,0.024057,0.024119,0.024119,0.463497,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,,,0.226338,1.391332,,,,0.226338,1.040612,1.123154,1.072371,4.024582,0.226338,1.391332,1.040612,1.123154,2.140502,,
4,conesQuarterSize,HALF,16,16,8,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,450,375,15,0.000001,0.001408,0.001462,0.000290,0.000066,0.000019,0.001834,0.000027,0.000026,0.037797,0.013161,0.013160,0.003700,0.000001,0.058087,0.000077,0.032449,0.004184,0.000944,0.000276,0.000114,0.000000,0.010334,0.002130,0.000547,0.000137,0.058132,0.058210,0.058273,0.058273,0.978810,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,,,0.164314,1.346646,,0.164314,0.164314,,1.009091,1.034065,1.000000,3.027195,0.164314,1.346646,1.009091,1.034065,2.087493,,
4,conesQuarterSize,HALF,16,16,8,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,16,AVX256,450,375,15,0.000001,0.001437,0.001515,0.000282,0.000065,0.000020,0.001873,0.000027,0.000026,0.039812,0.013071,0.013070,0.003673,0.000001,0.060071,0.000076,0.032492,0.005241,0.001264,0.000371,0.000145,0.000000,0.010267,0.002125,0.000539,0.000136,0.060120,0.060196,0.060258,0.060258,0.978810,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,,,0.185872,1.352776,,0.185872,,0.185872,1.006272,1.034065,1.000000,3.214469,0.185872,1.352776,1.006272,1.034065,2.034661,,
5,conesHalfSize,HALF,16,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX256,900,750,7,0.000001,0.013719,0.020193,0.004146,0.000740,0.000133,0.025179,0.000212,0.000210,0.421077,0.095595,0.095593,0.039255,0.000001,0.600179,0.000321,0.329694,0.071773,0.015681,0.003153,0.000871,0.000000,0.068971,0.020190,0.005419,0.001167,0.600234,0.600551,0.600811,0.600811,7.858519,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,,,0.191210,1.298005,,0.191210,0.191210,,1.232007,1.042284,1.000000,2.353511,0.191210,1.298005,1.232007,0.954697,1.891548,,
5,conesHalfSize,HALF,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.014136,0.017839,0.003944,0.000789,0.000145,0.022736,0.000227,0.000225,0.399163,0.102398,0.102396,0.033949,0.000001,0.573026,0.000314,0.311909,0.068872,0.014820,0.002693,0.000738,0.000000,0.072896,0.021794,0.006353,0.001331,0.573061,0.573373,0.573593,0.573593,7.858519,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,,,0.205261,1.300601,,0.205261,,0.205261,1.102326,0.952500,1.091742,2.581856,0.205261,1.300601,1.102326,0.954697,1.969356,,
6,conesFullSizeCropped,HALF,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.029629,0.035071,0.007328,0.001632,0.000310,0.044331,0.000384,0.000383,0.868534,0.201172,0.201170,0.069572,0.000001,1.213534,0.000317,0.677904,0.148675,0.035963,0.004781,0.001060,0.000000,0.143541,0.040498,0.014518,0.002732,1.213574,1.213888,1.214109,1.214109,15.332546,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,,,0.211148,1.217743,,0.211148,0.211148,,1.153910,1.030273,1.003268,2.237151,0.211148,1.217743,1.153910,1.030273,1.973214,,
6,conesFullSizeCropped,HALF,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,8,AVX512,900,750,7,0.000001,0.029890,0.035822,0.007428,0.001723,0.000347,0.045211,0.000447,0.000445,0.850887,0.203322,0.203319,0.070509,0.000001,1.250307,0.000315,0.662547,0.143765,0.037379,0.005869,0.001264,0.000000,0.139393,0.041770,0.013925,0.003134,1.250349,1.250642,1.250864,1.250864,15.332546,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,,,0.209584,1.218017,,0.209584,,0.209584,1.102615,1.030273,1.005028,2.281885,0.209584,1.218017,1.102615,1.030273,1.922959,,
