Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,15,AVX256,192,144,15,0.000000,0.000029,0.000019,0.000014,0.000013,0.000011,0.000059,0.000016,0.000016,0.000401,0.000190,0.000190,0.000028,0.000000,0.000730,0.000011,0.000162,0.000095,0.000056,0.000041,0.000046,0.000000,0.000061,0.000050,0.000039,0.000036,0.000745,0.000757,0.000762,0.000762,0.012045,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759975,0.869473,0.759975,,0.759975,,819.732333,1.608210,1.666236,,,,,,,,,,,,,,,,,,,0.759975,0.869473,819.732333,1.608210,1.217724,0.882721,
0,tsukubaSetHalfSize,FLOAT,120,16,8,YES,sockets,true,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,192,144,15,0.000000,0.000023,0.000024,0.000022,0.000021,0.000018,0.000085,0.000020,0.000020,0.000793,0.000219,0.000218,0.000043,0.000000,0.001180,0.000018,0.000369,0.000171,0.000099,0.000077,0.000072,0.000000,0.000082,0.000050,0.000048,0.000039,0.001197,0.001215,0.001226,0.001226,0.012045,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054543,0.908011,1.054543,,,1.054543,1.964880,1.608210,2.239893,,,,,,,,,,,,,,,,,,,1.054543,0.908011,1.964880,1.608210,1.294065,0.758639,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,30,AVX256,384,288,15,0.000000,0.000114,0.000052,0.000028,0.000028,0.000029,0.000137,0.000046,0.000046,0.001305,0.000574,0.000573,0.000147,0.000000,0.002314,0.000022,0.000763,0.000250,0.000120,0.000091,0.000074,0.000000,0.000357,0.000084,0.000057,0.000072,0.002330,0.002351,0.002380,0.002380,0.109184,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.945121,1.093011,0.945121,,0.945121,,260.925950,1.281090,2.495309,,,,,,,,,,,,,,,,,,,0.945121,1.093011,260.925950,1.281090,1.118208,0.597003,
1,tsukubaSet,FLOAT,120,16,8,YES,sockets,true,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,384,288,15,0.000000,0.000069,0.000064,0.000042,0.000047,0.000047,0.000201,0.000083,0.000082,0.001876,0.000604,0.000604,0.000128,0.000000,0.002971,0.000034,0.000969,0.000405,0.000220,0.000152,0.000125,0.000000,0.000295,0.000110,0.000085,0.000106,0.002986,0.003020,0.003049,0.003049,0.109184,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.136304,1.117190,1.136304,,,1.136304,202.688307,1.281090,2.458344,,,,,,,,,,,,,,,,,,,1.136304,1.117190,202.688307,1.281090,1.228735,0.590153,
2,venus,FLOAT,120,16,8,YES,sockets,true,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000115,0.000092,0.000058,0.000048,0.000053,0.000251,0.000081,0.000081,0.002255,0.000602,0.000601,0.000196,0.000000,0.003498,0.000036,0.001237,0.000468,0.000269,0.000175,0.000126,0.000000,0.000277,0.000108,0.000104,0.000107,0.003512,0.003549,0.003592,0.003592,0.414774,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.030237,1.057351,1.030237,,1.030237,,187.918302,1.141962,2.294940,,,,,,,,,,,,,,,,,,,1.030237,1.057351,187.918302,1.141962,0.940787,0.631530,
2,venus,FLOAT,120,16,8,YES,sockets,true,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,434,383,15,0.000000,0.000118,0.000108,0.000058,0.000052,0.000053,0.000271,0.000088,0.000087,0.002676,0.000593,0.000592,0.000210,0.000000,0.004008,0.000037,0.001514,0.000547,0.000295,0.000184,0.000143,0.000000,0.000278,0.000107,0.000102,0.000106,0.004023,0.004059,0.004102,0.004102,0.414774,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.370364,1.055140,1.370364,,,1.370364,165.292092,1.141962,2.374716,,,,,,,,,,,,,,,,,,,1.370364,1.055140,165.292092,1.141962,1.176808,0.604145,
3,barn1,FLOAT,120,16,8,YES,sockets,true,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,432,381,15,0.000000,0.000175,0.000107,0.000074,0.000059,0.000067,0.000308,0.000088,0.000087,0.003245,0.000863,0.000863,0.000254,0.000000,0.004930,0.000036,0.001857,0.000667,0.000370,0.000201,0.000142,0.000000,0.000400,0.000157,0.000153,0.000150,0.004944,0.004980,0.005020,0.005020,0.775534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.142502,0.824703,,,1.142502,,133.851204,1.139344,103.774140,,,,,,,,,,,,,,,,,,,1.142502,0.824703,133.851204,1.139344,1.065192,0.607147,
3,barn1,FLOAT,120,16,8,YES,sockets,true,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,432,381,15,0.000000,0.000162,0.000113,0.000076,0.000059,0.000064,0.000316,0.000117,0.000116,0.003855,0.000883,0.000883,0.000291,0.000000,0.005614,0.000036,0.002296,0.000798,0.000397,0.000207,0.000156,0.000000,0.000451,0.000162,0.000137,0.000137,0.005629,0.005666,0.005720,0.005720,0.775534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.170861,0.817141,,,,1.170861,116.782862,1.139344,2.489436,,,,,,,,,,,,,,,,,,,1.170861,0.817141,116.782862,1.139344,1.186555,0.588457,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,450,375,15,0.000000,0.000308,0.000196,0.000131,0.000086,0.000099,0.000517,0.000195,0.000195,0.006271,0.002132,0.002132,0.000442,0.000000,0.009865,0.000034,0.003751,0.001424,0.000581,0.000321,0.000198,0.000000,0.001004,0.000408,0.000285,0.000425,0.009882,0.009916,0.009970,0.009970,1.741203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.668161,0.759636,,1.668161,1.668161,,67.101613,1.165385,2.567630,,,,,,,,,,,,,,,,,,,1.668161,0.759636,67.101613,1.165385,1.155231,0.565205,
4,conesQuarterSize,FLOAT,120,16,8,YES,sockets,true,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,60,AVX256,450,375,15,0.000000,0.000300,0.000202,0.000133,0.000090,0.000104,0.000543,0.000216,0.000215,0.007649,0.002324,0.002324,0.000467,0.000000,0.011520,0.000034,0.004656,0.001713,0.000719,0.000350,0.000209,0.000000,0.001089,0.000479,0.000375,0.000399,0.011536,0.011569,0.011619,0.011619,1.741203,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.571458,0.765850,,1.571458,,1.571458,56.975702,1.165385,2.395935,,,,,,,,,,,,,,,,,,,1.571458,0.765850,56.975702,1.165385,1.251670,0.609863,
