Input Index,Stereo Set,DataType,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,LOOP_ITERS_TEMPLATED,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,CURRENT RUN,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),AVERAGE CPU RUN TIME,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,16,AVX256,192,144,0.000000,0.000020,0.000011,0.000006,0.000006,0.000004,No timings,No timings,No timings,No timings,No timings,0.000027,0.000006,0.000006,0.000248,0.000087,0.000087,No timings,0.000016,0.000000,0.000406,0.000004,0.000139,0.000048,0.000024,0.000018,0.000019,No timings,No timings,No timings,No timings,No timings,0.000000,0.000035,0.000017,0.000018,0.000018,No timings,No timings,No timings,No timings,No timings,0.000426,0.000430,0.000439,0.000439,0.009334,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.319886,1.122038,1.319886,0.993166,5.082005,1.000000,2.943052,0.692429,1.013857,1.319886,1.122038,0.993166,3.186788,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,16,AVX512,192,144,0.000000,0.000027,0.000012,0.000006,0.000006,0.000005,No timings,No timings,No timings,No timings,No timings,0.000030,0.000007,0.000007,0.001078,0.000092,0.000092,No timings,0.000122,0.000000,0.001360,0.000004,0.000685,0.000197,0.000084,0.000065,0.000030,No timings,No timings,No timings,No timings,No timings,0.000000,0.000039,0.000017,0.000015,0.000019,No timings,No timings,No timings,No timings,No timings,0.001385,0.001389,0.001399,0.001399,0.010990,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.924253,0.995205,0.924253,0.962116,No Data,1.594711,3.308077,0.536015,0.957563,0.924253,0.995205,0.962116,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,8,AVX512,384,288,0.000001,0.000180,0.000091,0.000027,0.000010,0.000006,No timings,No timings,No timings,No timings,No timings,0.000134,0.000010,0.000010,0.004299,0.001738,0.001737,No timings,0.000550,0.000000,0.006912,0.000051,0.003667,0.000413,0.000096,0.000057,0.000055,No timings,No timings,No timings,No timings,No timings,0.000000,0.001208,0.000381,0.000109,0.000038,No timings,No timings,No timings,No timings,No timings,0.006953,0.007003,0.007042,0.007042,0.087708,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319418,1.360640,0.319418,1.002982,1.539903,1.009088,2.649247,0.256212,2.473481,0.319418,1.360640,1.002982,1.539903,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,16,AVX512,384,288,0.000001,0.000198,0.000085,0.000030,0.000013,0.000009,No timings,No timings,No timings,No timings,No timings,0.000138,0.000020,0.000020,0.007660,0.001828,0.001827,No timings,0.000579,0.000000,0.010693,0.000055,0.005645,0.001193,0.000327,0.000151,0.000107,No timings,No timings,No timings,No timings,No timings,0.000000,0.001264,0.000381,0.000117,0.000044,No timings,No timings,No timings,No timings,No timings,0.010743,0.010799,0.010844,0.010844,0.089216,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319486,1.367232,0.319486,0.984784,No Data,1.373017,2.870989,0.369145,1.410510,0.319486,1.367232,0.984784,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,8,AVX512,434,383,0.000000,0.000674,0.000457,0.000078,0.000013,0.000005,No timings,No timings,No timings,No timings,No timings,0.000552,0.000010,0.000010,0.018838,0.006355,0.006354,No timings,0.002262,0.000001,0.028776,0.000066,0.016983,0.001229,0.000287,0.000100,0.000135,No timings,No timings,No timings,No timings,No timings,0.000000,0.005118,0.000981,0.000202,0.000054,No timings,No timings,No timings,No timings,No timings,0.028818,0.028887,0.028942,0.028942,0.292082,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127859,1.501500,0.127859,1.007256,1.049651,1.043293,1.632506,0.411009,2.955376,0.127859,1.501500,1.007256,1.049651,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,16,AVX512,434,383,0.000001,0.000633,0.000487,0.000079,0.000014,0.000010,No timings,No timings,No timings,No timings,No timings,0.000595,0.000025,0.000025,0.020087,0.006515,0.006514,No timings,0.002323,0.000001,0.030191,0.000075,0.017055,0.002102,0.000554,0.000167,0.000180,No timings,No timings,No timings,No timings,No timings,0.000000,0.005275,0.000959,0.000219,0.000069,No timings,No timings,No timings,No timings,No timings,0.030241,0.030316,0.030379,0.030379,0.295786,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185027,1.479597,0.185027,1.002633,No Data,1.104480,2.148984,0.419605,2.020686,0.185027,1.479597,1.002633,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,12,AVX512,432,381,0.000001,0.001151,0.001150,0.000159,0.000041,0.000008,No timings,No timings,No timings,No timings,No timings,0.001357,0.000018,0.000017,0.032238,0.011024,0.011023,No timings,0.003802,0.000000,0.049590,0.000073,0.029247,0.002165,0.000465,0.000148,0.000199,No timings,No timings,No timings,No timings,No timings,0.000000,0.008804,0.001649,0.000455,0.000107,No timings,No timings,No timings,No timings,No timings,0.049635,0.049708,0.049766,0.049766,0.470961,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115255,1.358042,No Data,1.001487,1.027649,1.074006,1.576056,0.441118,2.319444,0.115255,1.358042,1.001487,1.027649,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,16,AVX512,432,381,0.000001,0.001147,0.001181,0.000152,0.000035,0.000012,No timings,No timings,No timings,No timings,No timings,0.001378,0.000033,0.000033,0.033577,0.010967,0.010966,No timings,0.003842,0.000000,0.050962,0.000076,0.029726,0.002713,0.000654,0.000197,0.000239,No timings,No timings,No timings,No timings,No timings,0.000000,0.008828,0.001614,0.000397,0.000111,No timings,No timings,No timings,No timings,No timings,0.051009,0.051084,0.051142,0.051142,0.470978,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130954,1.345543,No Data,0.999296,No Data,1.079152,2.031755,0.444643,2.117593,0.130954,1.345543,0.999296,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,8,AVX512,450,375,0.000000,0.003022,0.004335,0.000667,0.000083,0.000011,No timings,No timings,No timings,No timings,No timings,0.005087,0.000031,0.000030,0.079879,0.026036,0.026034,No timings,0.008373,0.000000,0.122460,0.000065,0.066720,0.011100,0.001270,0.000316,0.000469,No timings,No timings,No timings,No timings,No timings,0.000000,0.019660,0.005161,0.001021,0.000203,No timings,No timings,No timings,No timings,No timings,0.122501,0.122567,0.122621,0.122621,0.975852,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135632,1.355410,No Data,1.028535,0.998654,1.093434,1.528017,0.498058,2.135696,0.135632,1.355410,1.028535,0.998654,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,Yes,OPTIMIZED CPU,8,AVX512,450,375,0.000001,0.003002,0.004375,0.000669,0.000081,0.000011,No timings,No timings,No timings,No timings,No timings,0.005134,0.000031,0.000030,0.079865,0.025952,0.025951,No timings,0.008328,0.000000,0.122289,0.000066,0.065702,0.011401,0.001693,0.000427,0.000574,No timings,No timings,No timings,No timings,No timings,0.000000,0.019639,0.005116,0.000998,0.000206,No timings,No timings,No timings,No timings,No timings,0.122331,0.122401,0.122456,0.122456,0.984651,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149101,1.354287,No Data,1.036642,No Data,1.096026,1.676570,0.489908,2.068548,0.149101,1.354287,1.036642,No Data,
