Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Parallel Params Per Kernel Setting,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_1,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT_3,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT_1,Speedup relative to AMD Rome (48 Cores) - FLOAT on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on runs w/ disparity count not templated,Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - FLOAT on largest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE_1,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE_3,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE_1,Speedup relative to AMD Rome (48 Cores) - DOUBLE on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on runs w/ disparity count not templated,Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - DOUBLE on largest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - HALF on runs w/ disparity count templated,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF_1,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF_2,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF_3,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF_1,Speedup relative to AMD Rome (48 Cores) - HALF on smallest 3 stereo sets (disparity count not templated only),Speedup relative to AMD Rome (48 Cores) - HALF on runs w/ disparity count not templated,Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets,Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets (disparity count templated only),Speedup relative to AMD Rome (48 Cores) - HALF on largest 3 stereo sets (disparity count not templated only),
0,tsukubaSetHalfSize,FLOAT,30,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 14,64 x 2,256 x 2,128 x 1,32 x 3,32 x 16,32 x 16,32 x 4,256 x 1,32 x 2,32 x 3,32 x 3,16 x 1,128 x 1,64 x 2,32 x 3,128 x 1,32 x 6,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,192,144,15,0.000000,0.000013,0.000027,0.000027,0.000026,0.000026,0.000106,0.000011,0.000011,0.000471,0.000129,0.000128,0.000018,0.000000,0.000754,0.000066,0.000099,0.000094,0.000093,0.000092,0.000092,0.000000,0.000032,0.000033,0.000032,0.000031,0.000770,0.000836,0.000858,0.000858,0.012636,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.674947,0.828805,0.674947,0.674947,0.674947,1.007408,1.007408,1.007408,1.007408,1.411579,1.411579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,tsukubaSetHalfSize,FLOAT,30,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 8,256 x 1,256 x 1,256 x 1,64 x 2,64 x 2,32 x 16,256 x 1,128 x 1,64 x 2,64 x 3,32 x 16,16 x 1,256 x 1,64 x 3,64 x 3,256 x 1,128 x 3,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,192,144,15,0.000000,0.000012,0.000025,0.000025,0.000024,0.000024,0.000099,0.000011,0.000010,0.000857,0.000114,0.000114,0.000019,0.000000,0.001112,0.000064,0.000173,0.000176,0.000171,0.000171,0.000165,0.000000,0.000029,0.000029,0.000028,0.000028,0.001126,0.001190,0.001212,0.001212,0.012636,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.067019,0.865540,1.067019,,,1.142808,1.142808,1.142808,1.142808,1.411579,1.411579,1.067019,1.067019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,30,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,128 x 3,64 x 2,64 x 2,64 x 5,16 x 1,64 x 5,64 x 2,64 x 2,32 x 4,64 x 1,64 x 2,64 x 1,16 x 1,32 x 2,64 x 1,32 x 1,64 x 2,32 x 4,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,384,288,15,0.000000,0.000015,0.000030,0.000029,0.000028,0.000027,0.000114,0.000011,0.000011,0.000591,0.000181,0.000181,0.000041,0.000000,0.000958,0.000131,0.000194,0.000104,0.000096,0.000095,0.000097,0.000000,0.000066,0.000037,0.000036,0.000042,0.000973,0.001105,0.001157,0.001157,0.131273,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.943519,0.909092,1.943519,1.943519,1.943519,1.009281,1.009281,1.009281,1.009281,1.878840,1.878840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tsukubaSet,FLOAT,30,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 16,64 x 2,64 x 2,32 x 5,64 x 1,64 x 1,32 x 2,64 x 2,32 x 4,32 x 1,32 x 5,64 x 3,16 x 1,16 x 1,64 x 1,32 x 1,32 x 3,64 x 3,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,384,288,15,0.000000,0.000017,0.000034,0.000032,0.000032,0.000031,0.000131,0.000012,0.000012,0.001547,0.000195,0.000194,0.000051,0.000000,0.001959,0.000137,0.000514,0.000256,0.000253,0.000250,0.000267,0.000000,0.000070,0.000040,0.000039,0.000044,0.001979,0.002114,0.002174,0.002174,0.131273,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593257,0.929203,1.593257,,,0.968772,0.968772,0.968772,0.968772,1.878840,1.878840,1.593257,1.593257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,30,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 3,256 x 1,64 x 2,128 x 2,64 x 1,256 x 1,64 x 3,32 x 1,64 x 2,256 x 1,64 x 1,64 x 2,16 x 1,256 x 1,256 x 1,64 x 1,64 x 2,128 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,434,383,15,0.000000,0.000019,0.000046,0.000037,0.000035,0.000036,0.000154,0.000011,0.000011,0.000871,0.000279,0.000279,0.000083,0.000000,0.001419,0.000169,0.000423,0.000127,0.000106,0.000105,0.000104,0.000000,0.000133,0.000048,0.000049,0.000047,0.001437,0.001606,0.001681,0.001681,0.472298,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.201749,0.928568,2.201749,2.201749,2.201749,1.072061,1.072061,1.072061,1.072061,2.021723,2.021723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,venus,FLOAT,30,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 3,128 x 1,64 x 2,256 x 2,256 x 1,16 x 1,64 x 3,256 x 2,256 x 2,32 x 2,32 x 3,32 x 3,16 x 1,128 x 2,16 x 1,16 x 1,256 x 1,256 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,434,383,15,0.000000,0.000019,0.000050,0.000039,0.000039,0.000038,0.000166,0.000011,0.000011,0.002566,0.000281,0.000281,0.000085,0.000000,0.003131,0.000176,0.001301,0.000350,0.000310,0.000300,0.000302,0.000000,0.000134,0.000049,0.000049,0.000049,0.003149,0.003326,0.003398,0.003398,0.472298,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.654233,0.926626,1.654233,,,1.039607,1.039607,1.039607,1.039607,2.021723,2.021723,1.654233,1.654233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,30,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 4,64 x 2,64 x 2,256 x 1,128 x 1,16 x 1,32 x 1,64 x 1,256 x 1,128 x 1,16 x 1,64 x 2,16 x 1,128 x 1,256 x 1,64 x 1,32 x 2,256 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,432,381,15,0.000000,0.000023,0.000056,0.000048,0.000045,0.000045,0.000195,0.000013,0.000013,0.001550,0.000399,0.000398,0.000119,0.000000,0.002303,0.000175,0.000874,0.000261,0.000140,0.000135,0.000133,0.000000,0.000206,0.000070,0.000058,0.000065,0.002323,0.002501,0.002578,0.002578,0.721934,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.225190,0.885932,,,2.225190,1.009268,1.009268,,,2.147457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,barn1,FLOAT,30,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,128 x 3,256 x 1,64 x 2,256 x 1,256 x 1,256 x 1,64 x 3,256 x 2,256 x 2,64 x 1,64 x 1,64 x 3,16 x 1,256 x 1,128 x 1,256 x 1,64 x 1,256 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,432,381,15,0.000000,0.000022,0.000059,0.000050,0.000048,0.000048,0.000206,0.000012,0.000012,0.004522,0.000393,0.000392,0.000115,0.000000,0.005276,0.000171,0.002674,0.000589,0.000436,0.000414,0.000411,0.000000,0.000203,0.000063,0.000062,0.000064,0.005294,0.005464,0.005535,0.005535,0.721934,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.209891,0.877810,,,,1.095827,1.095827,,,2.147457,,,1.209891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,30,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,128 x 2,32 x 2,32 x 1,128 x 2,128 x 1,32 x 1,32 x 3,32 x 5,256 x 1,32 x 1,32 x 1,32 x 1,16 x 1,256 x 1,64 x 1,64 x 3,32 x 1,256 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,450,375,15,0.000000,0.000053,0.000138,0.000080,0.000086,0.000065,0.000369,0.000013,0.000013,0.006407,0.000773,0.000772,0.000221,0.000000,0.007838,0.000171,0.004358,0.001115,0.000397,0.000263,0.000269,0.000000,0.000407,0.000150,0.000122,0.000095,0.007856,0.008030,0.008105,0.008105,1.518299,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.052087,0.871159,,,2.052087,1.084181,1.084181,1.084181,1.084181,1.624131,1.624131,,,2.052087,2.052087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,conesQuarterSize,FLOAT,30,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,64 x 6,64 x 1,32 x 1,256 x 1,128 x 1,16 x 1,64 x 3,128 x 1,256 x 2,128 x 1,64 x 1,32 x 3,16 x 1,256 x 1,128 x 1,64 x 1,64 x 1,256 x 1,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12040,12040,450,375,15,0.000000,0.000054,0.000149,0.000089,0.000098,0.000074,0.000411,0.000013,0.000013,0.011469,0.000732,0.000731,0.000221,0.000000,0.012891,0.000171,0.007412,0.001933,0.000690,0.000723,0.000707,0.000000,0.000396,0.000144,0.000086,0.000104,0.012910,0.013089,0.013163,0.013163,1.518299,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.387103,0.878286,,,,1.113377,1.113377,1.113377,1.113377,1.624131,1.624131,,1.387103,1.387103,,1.387103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
