Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000009,0.000007,0.000007,0.000038,0.000008,0.000008,0.000526,0.000149,0.000148,0.000024,0.000000,0.000772,0.000006,0.000303,0.000086,0.000038,0.000059,0.000034,0.000000,0.000083,0.000029,0.000021,0.000018,0.000787,0.000794,0.000804,0.000804,0.007338,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.716674,,0.894375,1.513151,0.894375,,0.894375,,1.122592,1.478698,,,,,,,,,0.894375,1.513151,1.122592,1.478698,0.716674,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000029,0.000018,0.000011,0.000010,0.000008,0.000048,0.000020,0.000020,0.000889,0.000144,0.000143,0.000028,0.000000,0.001155,0.000008,0.000534,0.000175,0.000070,0.000070,0.000039,0.000000,0.000069,0.000030,0.000023,0.000020,0.001174,0.001182,0.001189,0.001189,0.007338,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.712232,,1.699535,1.537108,1.699535,,,1.699535,0.997932,1.478698,,,,,,,,,1.699535,1.537108,0.997932,1.478698,0.712232,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000193,0.000169,0.000038,0.000016,0.000011,0.000235,0.000025,0.000024,0.004974,0.001760,0.001759,0.000456,0.000001,0.007586,0.000021,0.003993,0.000578,0.000179,0.000085,0.000090,0.000000,0.001344,0.000313,0.000079,0.000042,0.007617,0.007638,0.007679,0.007679,0.086688,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.476085,,0.480275,1.407501,0.480275,,0.480275,,0.998024,1.540874,,,,,,,,,0.480275,1.407501,0.998024,1.540874,0.476085,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000174,0.000223,0.000036,0.000015,0.000012,0.000287,0.000021,0.000021,0.009115,0.001708,0.001707,0.000443,0.000000,0.011736,0.000021,0.007710,0.000919,0.000270,0.000106,0.000110,0.000000,0.001324,0.000297,0.000083,0.000039,0.011768,0.011790,0.011832,0.011832,0.086688,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.380823,,0.500533,1.416303,0.500533,,,0.500533,0.995255,1.540874,,,,,,,,,0.500533,1.416303,0.995255,1.540874,0.380823,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000424,0.000721,0.000080,0.000034,0.000013,0.000833,0.000021,0.000020,0.022565,0.005206,0.005205,0.001752,0.000001,0.030751,0.000032,0.018563,0.003360,0.000371,0.000153,0.000138,0.000000,0.004063,0.000938,0.000135,0.000077,0.030794,0.030826,0.030909,0.030909,0.225325,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.284134,,0.194533,1.930772,0.194533,,0.194533,,1.007488,1.280111,,,,,,,,,0.194533,1.930772,1.007488,1.280111,0.284134,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.001314,0.001018,0.000079,0.000019,0.000013,0.001159,0.000020,0.000020,0.029098,0.005410,0.005409,0.001840,0.000001,0.039391,0.000055,0.023595,0.004493,0.000623,0.000243,0.000169,0.000000,0.003986,0.000923,0.000340,0.000093,0.039430,0.039485,0.039566,0.039566,0.225325,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.324097,,0.237981,1.918825,0.237981,,,0.237981,0.930950,1.280111,,,,,,,,,0.237981,1.918825,0.930950,1.280111,0.324097,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000602,0.001234,0.000166,0.000029,0.000018,0.001434,0.000034,0.000033,0.032386,0.006818,0.006817,0.002972,0.000001,0.044452,0.000033,0.025302,0.005999,0.000619,0.000220,0.000239,0.000000,0.004929,0.001496,0.000275,0.000117,0.044495,0.044526,0.044607,0.044607,0.419528,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.412185,,0.274322,1.527966,,,0.274322,,0.995806,1.130256,,,,,,,,,0.274322,1.527966,0.995806,1.130256,0.412185,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000624,0.001229,0.000168,0.000030,0.000017,0.001444,0.000029,0.000028,0.038226,0.006428,0.006427,0.002985,0.000002,0.050261,0.000033,0.029718,0.007159,0.000911,0.000303,0.000236,0.000000,0.004670,0.001408,0.000230,0.000123,0.050305,0.050337,0.050418,0.050418,0.419528,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.485335,,0.315151,1.537381,,,,0.315151,0.991835,1.130256,,,,,,,,,0.315151,1.537381,0.991835,1.130256,0.485335,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.002016,0.003315,0.000675,0.000128,0.000037,0.004143,0.000060,0.000059,0.074747,0.017697,0.017695,0.007701,0.000002,0.107417,0.000033,0.061457,0.010100,0.002272,0.000503,0.000430,0.000000,0.012610,0.003302,0.001462,0.000321,0.107461,0.107494,0.107577,0.107577,0.911886,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.467763,,0.453461,1.439796,,0.453461,0.453461,,0.986696,1.040882,,,,,,,,,0.453461,1.439796,0.986696,1.040882,0.467763,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001995,0.003241,0.000694,0.000118,0.000038,0.004093,0.000059,0.000057,0.080633,0.017308,0.017306,0.007644,0.000001,0.111816,0.000033,0.065736,0.011315,0.002554,0.000517,0.000445,0.000000,0.012592,0.003326,0.001097,0.000291,0.111860,0.111893,0.111975,0.111975,0.911886,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.481252,,0.448437,1.431352,,0.448437,,0.448437,1.003006,1.040882,,,,,,,,,0.448437,1.431352,1.003006,1.040882,0.481252,,
