Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,12,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,900,750,7,0.000000,0.032797,0.041832,0.009482,0.001372,0.000197,0.052876,0.000262,0.000261,0.971113,0.207825,0.207822,0.075171,0.000001,1.340399,0.000345,0.740102,0.184593,0.042241,0.003551,0.000736,0.000000,0.152626,0.041062,0.012284,0.001964,1.340432,1.340777,1.341008,1.341008,11.800835,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170656,0.865761,,0.170656,0.170656,,1.010393,1.009630,1.307153,,,,,,,,,,,,,,,,,,,0.170656,0.865761,1.010393,1.009630,1.900520,0.509883,
5,conesHalfSize,FLOAT,12,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,900,750,7,0.000001,0.032526,0.041636,0.009445,0.001305,0.000179,0.052556,0.000263,0.000261,0.990367,0.202250,0.202248,0.074839,0.000002,1.353312,0.000344,0.754327,0.187849,0.043104,0.003962,0.000840,0.000000,0.148223,0.039489,0.012413,0.002060,1.353348,1.353694,1.353922,1.353922,11.800835,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171008,0.869184,,0.171008,,0.171008,1.006529,1.009630,1.361622,,,,,,,,,,,,,,,,,,,0.171008,0.869184,1.006529,1.009630,1.898023,0.510442,
6,conesFullSizeCropped,FLOAT,12,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,900,750,7,0.000000,0.062828,0.076353,0.017768,0.004188,0.000630,0.098949,0.000478,0.000477,1.961886,0.405337,0.405335,0.147881,0.000001,2.678359,0.000350,1.494747,0.360356,0.083526,0.021827,0.001447,0.000000,0.300576,0.076286,0.022425,0.006102,2.678392,2.678742,2.678947,2.678947,19.690938,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175466,0.948614,,0.175466,0.175466,,1.021407,1.011803,1.343595,,,,,,,,,,,,,,,,,,,0.175466,0.948614,1.021407,1.011803,1.867636,0.508074,
6,conesFullSizeCropped,FLOAT,12,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,900,750,7,0.000001,0.063209,0.076602,0.017792,0.004165,0.000645,0.099222,0.000489,0.000488,1.997023,0.402417,0.402415,0.147508,0.000001,2.709959,0.000347,1.519875,0.368396,0.084839,0.022416,0.001636,0.000000,0.296780,0.076458,0.022524,0.006715,2.709992,2.710340,2.710566,2.710566,19.690938,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174855,0.945125,,0.174855,,0.174855,1.013581,1.011803,1.366455,,,,,,,,,,,,,,,,,,,0.174855,0.945125,1.013581,1.011803,1.864015,0.511621,
0,tsukubaSetHalfSize,DOUBLE,12,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000030,0.000020,0.000010,0.000012,0.000011,0.000054,0.000015,0.000015,0.000807,0.000191,0.000190,0.000050,0.000000,0.001159,0.000009,0.000496,0.000135,0.000065,0.000047,0.000052,0.000000,0.000080,0.000032,0.000044,0.000032,0.001175,0.001184,0.001190,0.001190,0.009904,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.604112,1.121189,0.604112,,0.604112,,0.843730,2.319388,2.768959,,,,,,,,,,0.604112,1.121189,0.843730,2.319388,,0.590440,
0,tsukubaSetHalfSize,DOUBLE,12,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,192,144,15,0.000000,0.000037,0.000021,0.000010,0.000011,0.000010,0.000053,0.000017,0.000016,0.002378,0.000189,0.000188,0.000056,0.000000,0.002729,0.000009,0.001659,0.000429,0.000146,0.000079,0.000057,0.000000,0.000085,0.000036,0.000037,0.000029,0.002745,0.002755,0.002760,0.002760,0.009904,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.731870,1.138941,0.731870,,,0.731870,1.072897,2.319388,2.102517,,,,,,,,,,0.731870,1.138941,1.072897,2.319388,,0.572939,
1,tsukubaSet,DOUBLE,12,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,6,AVX256,384,288,15,0.000000,0.000436,0.000232,0.000058,0.000014,0.000007,0.000313,0.000014,0.000013,0.027118,0.006144,0.006143,0.003088,0.000001,0.037086,0.000070,0.025129,0.001505,0.000324,0.000094,0.000046,0.000000,0.005153,0.000784,0.000150,0.000050,0.037119,0.037195,0.037232,0.037232,0.096334,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.099057,1.266562,0.099057,,0.099057,,1.010313,1.051517,1.155279,,,,,,,,,,0.099057,1.266562,1.010313,1.051517,,0.243822,
1,tsukubaSet,DOUBLE,12,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,384,288,15,0.000000,0.000436,0.000247,0.000046,0.000015,0.000018,0.000331,0.000028,0.000028,0.028469,0.006459,0.006458,0.003210,0.000001,0.038980,0.000080,0.025333,0.002177,0.000545,0.000179,0.000121,0.000000,0.005366,0.000789,0.000196,0.000095,0.039019,0.039099,0.039150,0.039150,0.096334,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.151279,1.274483,0.151279,,,0.151279,0.996389,1.051517,1.332124,,,,,,,,,,0.151279,1.274483,0.996389,1.051517,,0.288750,
2,venus,DOUBLE,12,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.001395,0.001704,0.000298,0.000034,0.000012,0.002050,0.000029,0.000029,0.069316,0.015853,0.015851,0.007645,0.000001,0.096294,0.000096,0.062387,0.005823,0.000664,0.000215,0.000115,0.000000,0.013529,0.001757,0.000446,0.000134,0.096334,0.096428,0.096481,0.096481,0.402974,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.062320,1.079603,0.062320,,0.062320,,1.010094,1.015974,1.098115,,,,,,,,,,0.062320,1.079603,1.010094,1.015974,,0.428107,
2,venus,DOUBLE,12,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,12,AVX256,434,383,15,0.000000,0.001406,0.001623,0.000303,0.000033,0.000013,0.001969,0.000029,0.000029,0.070818,0.015851,0.015849,0.007635,0.000001,0.097824,0.000098,0.062901,0.006491,0.001054,0.000262,0.000125,0.000000,0.013497,0.001761,0.000449,0.000134,0.097868,0.097969,0.098022,0.098022,0.402974,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.096060,1.072923,0.096060,,,0.096060,1.001585,1.015974,1.154586,,,,,,,,,,0.096060,1.072923,1.001585,1.015974,,0.434652,
