Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000028,0.000018,0.000012,0.000009,0.000009,0.000050,0.000010,0.000010,0.000451,0.000133,0.000133,0.000025,0.000000,0.000728,0.000008,0.000223,0.000090,0.000046,0.000056,0.000039,0.000000,0.000064,0.000028,0.000022,0.000018,0.000746,0.000754,0.000761,0.000761,0.007516,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.944433,1.477380,0.944433,,0.944433,,0.999982,1.510996,,,,,,,,,0.944433,1.477380,0.999982,1.510996,0.789412,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000028,0.000019,0.000011,0.000008,0.000008,0.000047,0.000020,0.000020,0.000855,0.000137,0.000137,0.000027,0.000000,0.001108,0.000009,0.000502,0.000174,0.000074,0.000071,0.000039,0.000000,0.000064,0.000029,0.000022,0.000020,0.001134,0.001142,0.001150,0.001150,0.007516,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.756297,1.500771,1.756297,,,1.756297,1.028965,1.510996,,,,,,,,,1.756297,1.500771,1.028965,1.510996,0.758044,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000197,0.000149,0.000038,0.000016,0.000012,0.000214,0.000024,0.000024,0.004730,0.001785,0.001784,0.000448,0.000001,0.007381,0.000022,0.003762,0.000587,0.000192,0.000084,0.000091,0.000000,0.001347,0.000319,0.000084,0.000064,0.007413,0.007435,0.007480,0.007480,0.085324,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.493035,1.430003,0.493035,,0.493035,,0.998415,3.206960,,,,,,,,,0.493035,1.430003,0.998415,3.206960,0.477583,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,384,288,3,0.000000,0.000350,0.000360,0.000075,0.000018,0.000013,0.000467,0.000016,0.000015,0.017919,0.003196,0.003195,0.000830,0.000001,0.023878,0.000032,0.015192,0.001955,0.000401,0.000139,0.000159,0.000000,0.002469,0.000561,0.000120,0.000045,0.023910,0.023938,0.023989,0.023989,0.085324,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.246885,1.438945,0.246885,,,0.246885,0.506780,3.206960,,,,,,,,,0.246885,1.438945,0.506780,3.206960,0.192813,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000444,0.000756,0.000081,0.000018,0.000013,0.000868,0.000020,0.000020,0.022942,0.005482,0.005480,0.001731,0.000001,0.031653,0.000038,0.018981,0.003362,0.000348,0.000150,0.000135,0.000000,0.004329,0.000923,0.000152,0.000081,0.031700,0.031733,0.031815,0.031815,0.225225,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.188991,1.931633,0.188991,,0.188991,,0.970969,1.204644,,,,,,,,,0.188991,1.931633,0.970969,1.204644,0.626865,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000474,0.001082,0.000086,0.000019,0.000014,0.001403,0.000020,0.000019,0.028993,0.005339,0.005337,0.001873,0.000001,0.038171,0.000034,0.023366,0.004515,0.000609,0.000228,0.000177,0.000000,0.004213,0.000923,0.000127,0.000082,0.038210,0.038244,0.038326,0.038326,0.225225,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.245685,1.919680,0.245685,,,0.245685,0.965842,1.204644,,,,,,,,,0.245685,1.919680,0.965842,1.204644,0.350557,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000605,0.001224,0.000177,0.000030,0.000018,0.001429,0.000031,0.000031,0.032614,0.007005,0.007004,0.003024,0.000001,0.044861,0.000033,0.025699,0.005837,0.000651,0.000216,0.000220,0.000000,0.005146,0.001483,0.000270,0.000135,0.044900,0.044933,0.045013,0.045013,0.425342,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.271849,1.507078,,,0.271849,,1.010093,1.132478,,,,,,,,,0.271849,1.507078,1.010093,1.132478,0.413798,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000583,0.001221,0.000175,0.000031,0.000017,0.001443,0.000028,0.000027,0.038832,0.006890,0.006889,0.003045,0.000001,0.050822,0.000049,0.030197,0.007177,0.000897,0.000325,0.000246,0.000000,0.004999,0.001502,0.000273,0.000115,0.050862,0.050911,0.050976,0.050976,0.425342,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.311697,1.516364,,,,0.311697,1.006963,1.132478,,,,,,,,,0.311697,1.516364,1.006963,1.132478,0.498772,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001998,0.003266,0.000697,0.000142,0.000038,0.004128,0.000080,0.000079,0.075736,0.017343,0.017341,0.007669,0.000002,0.107060,0.000034,0.062310,0.010259,0.002271,0.000458,0.000434,0.000000,0.012704,0.003333,0.001042,0.000277,0.107102,0.107134,0.107217,0.107217,0.898948,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.454986,1.460518,,0.454986,0.454986,,1.010088,1.076483,,,,,,,,,0.454986,1.460518,1.010088,1.076483,0.474068,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.002051,0.003356,0.000701,0.000117,0.000037,0.004196,0.000060,0.000058,0.082476,0.017700,0.017698,0.007803,0.000002,0.115240,0.000034,0.067182,0.011652,0.002622,0.000589,0.000464,0.000000,0.012937,0.003329,0.001151,0.000311,0.115284,0.115317,0.115417,0.115417,0.898948,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.435064,1.451952,,0.435064,,0.435064,0.996237,1.076483,,,,,,,,,0.435064,1.451952,0.996237,1.076483,0.466723,,
