Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002974,0.003865,0.000822,0.000153,0.000059,0.004897,0.000064,0.000062,0.127126,0.022538,0.022537,0.008296,0.000001,0.165903,0.000164,0.096113,0.023509,0.005256,0.001778,0.000435,0.000000,0.016637,0.004512,0.001114,0.000259,0.165948,0.166112,0.166200,0.166200,11.334405,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.376963,0.901388,,1.376963,1.376963,,0.995789,1.071792,1.591191,,,,,,,,,,,,,,,,,,,1.376963,0.901388,0.995789,1.071792,1.333236,0.494574,
5,conesHalfSize,FLOAT,64,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.002975,0.003874,0.000798,0.000139,0.000058,0.004867,0.000063,0.000063,0.139243,0.022560,0.022559,0.008077,0.000001,0.177837,0.000175,0.105422,0.025394,0.005935,0.001992,0.000482,0.000000,0.016659,0.004511,0.001140,0.000256,0.177881,0.178050,0.178132,0.178132,11.334405,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.299780,0.904953,,1.299780,,1.299780,0.991090,1.071792,1.523780,,,,,,,,,,,,,,,,,,,1.299780,0.904953,0.991090,1.071792,1.344496,0.507034,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.006411,0.007523,0.001904,0.000391,0.000105,0.009924,0.000117,0.000115,0.269377,0.046342,0.046341,0.016251,0.000002,0.348391,0.000165,0.201778,0.050588,0.012115,0.003976,0.000903,0.000000,0.033803,0.008950,0.002833,0.000749,0.348437,0.348603,0.348685,0.348685,21.286973,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.348105,0.877490,,1.348105,1.348105,,0.999803,1.031170,1.512568,,,,,,,,,,,,,,,,,,,1.348105,0.877490,0.999803,1.031170,1.331863,0.487755,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.006394,0.007562,0.001914,0.000379,0.000122,0.009947,0.000117,0.000116,0.280239,0.046584,0.046583,0.016010,0.000001,0.359273,0.000160,0.210487,0.052055,0.012524,0.004105,0.000956,0.000000,0.033863,0.009000,0.002826,0.000916,0.359316,0.359472,0.359554,0.359554,21.286973,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.318176,0.874262,,1.318176,,1.318176,0.998253,1.031170,1.461641,,,,,,,,,,,,,,,,,,,1.318176,0.874262,0.998253,1.031170,1.322121,0.491150,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000012,0.000011,0.000010,0.000010,0.000043,0.000005,0.000005,0.000353,0.000070,0.000070,0.000023,0.000000,0.000509,0.000010,0.000165,0.000075,0.000043,0.000035,0.000033,0.000000,0.000027,0.000017,0.000013,0.000012,0.000524,0.000534,0.000537,0.000537,0.016112,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.338649,0.689177,1.338649,,1.338649,,1.166537,1.997267,1.527334,,,,,,,,,,1.338649,0.689177,1.166537,1.997267,,0.786736,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000012,0.000011,0.000011,0.000011,0.000045,0.000005,0.000005,0.000888,0.000071,0.000071,0.000023,0.000000,0.001044,0.000010,0.000527,0.000194,0.000073,0.000051,0.000040,0.000000,0.000028,0.000017,0.000014,0.000013,0.001060,0.001069,0.001073,0.001073,0.016112,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.883305,0.700089,1.883305,,,1.883305,1.080380,1.997267,1.214686,,,,,,,,,,1.883305,0.700089,1.080380,1.997267,,0.668070,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000063,0.000040,0.000022,0.000017,0.000015,0.000096,0.000011,0.000010,0.002211,0.000415,0.000414,0.000102,0.000000,0.002898,0.000016,0.001451,0.000468,0.000165,0.000071,0.000054,0.000000,0.000252,0.000102,0.000038,0.000023,0.002935,0.002952,0.002966,0.002966,0.154581,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.243567,0.789314,1.243567,,1.243567,,1.003846,1.993004,1.716806,,,,,,,,,,1.243567,0.789314,1.003846,1.993004,,0.514676,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000001,0.000050,0.000040,0.000022,0.000017,0.000015,0.000095,0.000011,0.000010,0.005142,0.000429,0.000428,0.000107,0.000000,0.005842,0.000017,0.003498,0.001055,0.000373,0.000123,0.000081,0.000000,0.000260,0.000105,0.000040,0.000023,0.005880,0.005897,0.005911,0.005911,0.154581,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.002006,0.794250,1.002006,,,1.002006,0.996250,1.993004,1.317227,,,,,,,,,,1.002006,0.794250,0.996250,1.993004,,0.503053,
2,venus,DOUBLE,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000133,0.000148,0.000041,0.000018,0.000016,0.000223,0.000014,0.000014,0.007809,0.001079,0.001078,0.000514,0.000001,0.009775,0.000021,0.005837,0.001256,0.000457,0.000159,0.000094,0.000000,0.000791,0.000182,0.000065,0.000036,0.009818,0.009839,0.009860,0.009860,0.428370,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.609829,1.015600,0.609829,,0.609829,,1.000317,1.081644,1.328859,,,,,,,,,,0.609829,1.015600,1.000317,1.081644,,0.430728,
2,venus,DOUBLE,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000001,0.000133,0.000147,0.000040,0.000019,0.000017,0.000223,0.000014,0.000013,0.008634,0.001067,0.001066,0.000498,0.000000,0.010575,0.000020,0.006427,0.001414,0.000509,0.000177,0.000102,0.000000,0.000788,0.000178,0.000063,0.000034,0.010625,0.010645,0.010665,0.010665,0.428370,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.882917,1.009315,0.882917,,,0.882917,1.002420,1.081644,1.454031,,,,,,,,,,0.882917,1.009315,1.002420,1.081644,,0.442145,
