Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,192,144,3,0.000000,0.000027,0.000016,0.000009,0.000007,0.000006,0.000038,0.000008,0.000008,0.000472,0.000137,0.000137,0.000022,0.000000,0.000696,0.000007,0.000258,0.000084,0.000037,0.000067,0.000028,0.000000,0.000075,0.000028,0.000018,0.000017,0.000713,0.000721,0.000730,0.000730,0.007481,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.852036,,0.984803,1.484286,0.984803,,0.984803,,1.116172,1.580581,,,,,,,,,0.852036,,0.984803,1.484286,1.116172,1.580581,0.852036,,
0,tsukubaSetHalfSize,DOUBLE,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000028,0.000018,0.000010,0.000009,0.000008,0.000046,0.000020,0.000020,0.000831,0.000149,0.000149,0.000026,0.000000,0.001121,0.000008,0.000489,0.000184,0.000070,0.000065,0.000037,0.000000,0.000071,0.000030,0.000021,0.000020,0.001139,0.001147,0.001154,0.001154,0.007481,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.713763,,1.750743,1.507786,1.750743,,,1.750743,1.026348,1.580581,,,,,,,,,0.713763,,1.750743,1.507786,1.026348,1.580581,0.713763,,
1,tsukubaSet,DOUBLE,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000189,0.000132,0.000037,0.000015,0.000010,0.000194,0.000022,0.000022,0.004660,0.001774,0.001773,0.000464,0.000000,0.007246,0.000021,0.003747,0.000553,0.000181,0.000077,0.000103,0.000000,0.001346,0.000324,0.000069,0.000039,0.007274,0.007295,0.007336,0.007336,0.084675,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.489116,,0.502713,1.440959,0.502713,,0.502713,,1.008805,1.596935,,,,,,,,,0.489116,,0.502713,1.440959,1.008805,1.596935,0.489116,,
1,tsukubaSet,DOUBLE,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000171,0.000139,0.000033,0.000016,0.000011,0.000197,0.000033,0.000033,0.009053,0.001753,0.001752,0.000458,0.000000,0.011619,0.000022,0.007693,0.000918,0.000250,0.000095,0.000116,0.000000,0.001346,0.000295,0.000074,0.000037,0.011651,0.011673,0.011716,0.011716,0.084675,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.384713,,0.505525,1.449970,0.505525,,,0.505525,1.010029,1.596935,,,,,,,,,0.384713,,0.505525,1.449970,1.010029,1.596935,0.384713,,
2,venus,DOUBLE,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000429,0.000708,0.000121,0.000019,0.000014,0.000858,0.000018,0.000018,0.022635,0.005226,0.005225,0.001719,0.000001,0.030879,0.000032,0.018607,0.003418,0.000366,0.000148,0.000131,0.000000,0.004079,0.000949,0.000122,0.000075,0.030919,0.030951,0.031032,0.031032,0.221653,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.335208,,0.193762,1.962761,0.193762,,0.193762,,1.010995,1.226602,,,,,,,,,0.335208,,0.193762,1.962761,1.010995,1.226602,0.335208,,
2,venus,DOUBLE,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000450,0.000740,0.000083,0.000020,0.000013,0.000857,0.000022,0.000021,0.028719,0.005497,0.005496,0.001813,0.000001,0.037911,0.000073,0.023318,0.004521,0.000607,0.000232,0.000173,0.000000,0.004291,0.000995,0.000129,0.000080,0.037950,0.037983,0.038063,0.038063,0.221653,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.356539,,0.247378,1.950616,0.247378,,,0.247378,0.968084,1.226602,,,,,,,,,0.356539,,0.247378,1.950616,0.968084,1.226602,0.356539,,
3,barn1,DOUBLE,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000001,0.000581,0.001211,0.000177,0.000043,0.000017,0.001428,0.000033,0.000032,0.032303,0.006507,0.006505,0.002985,0.000001,0.044214,0.000048,0.025467,0.005838,0.000627,0.000228,0.000224,0.000000,0.004755,0.001390,0.000260,0.000127,0.044256,0.044305,0.044386,0.044386,0.422902,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.420979,,0.275691,1.515774,,,0.275691,,0.995158,1.147033,,,,,,,,,0.420979,,0.275691,1.515774,0.995158,1.147033,0.420979,,
3,barn1,DOUBLE,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,432,381,3,0.000000,0.000598,0.001243,0.000151,0.000027,0.000017,0.001439,0.000032,0.000031,0.038769,0.006828,0.006827,0.003007,0.000001,0.050760,0.000032,0.029938,0.007283,0.000888,0.000320,0.000265,0.000000,0.004937,0.001533,0.000263,0.000123,0.050799,0.050831,0.050912,0.050912,0.422902,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,0.489169,,0.312091,1.525114,,,,0.312091,0.999851,1.147033,,,,,,,,,0.489169,,0.312091,1.525114,0.999851,1.147033,0.489169,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.001999,0.003262,0.000700,0.000108,0.000036,0.004108,0.000059,0.000058,0.074260,0.017407,0.017405,0.007613,0.000001,0.105885,0.000034,0.061237,0.009806,0.002269,0.000516,0.000428,0.000000,0.012682,0.003378,0.001047,0.000301,0.105928,0.105962,0.106044,0.106044,0.904637,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.629934,,0.460018,1.451333,,0.460018,0.460018,,0.999976,1.065319,,,,,,,,,0.629934,,0.460018,1.451333,0.999976,1.065319,0.629934,,
4,conesQuarterSize,DOUBLE,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.001978,0.003353,0.000755,0.000123,0.000038,0.004300,0.000058,0.000056,0.080476,0.017267,0.017265,0.007788,0.000002,0.112795,0.000033,0.065513,0.011333,0.002580,0.000569,0.000506,0.000000,0.012633,0.003323,0.000993,0.000316,0.112855,0.112888,0.112970,0.112970,0.904637,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,0.473553,,0.444486,1.442822,,0.444486,,0.444486,0.990018,1.065319,,,,,,,,,0.473553,,0.444486,1.442822,0.990018,1.065319,0.473553,,
