Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.004616,0.006446,0.001330,0.000296,0.000082,0.008150,0.000116,0.000114,0.170086,0.035187,0.035186,0.013323,0.000002,0.231487,0.000063,0.129392,0.032134,0.006247,0.001799,0.000505,0.000000,0.025969,0.007179,0.001511,0.000548,0.231533,0.231597,0.231720,0.231720,14.736381,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987617,0.693298,,0.987617,0.987617,,0.987616,1.039135,1.487548,,,,,,,,,,,,,,,,,,,0.987617,0.693298,0.987616,1.039135,1.345857,0.490249,
5,conesHalfSize,FLOAT,64,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.004607,0.006489,0.001354,0.000324,0.000080,0.008243,0.000127,0.000125,0.179270,0.035083,0.035082,0.013254,0.000001,0.240555,0.000062,0.136541,0.033777,0.006556,0.001879,0.000543,0.000000,0.026009,0.007032,0.001469,0.000542,0.240602,0.240665,0.240789,0.240789,14.736381,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961556,0.696039,,0.961556,,0.961556,0.989118,1.039135,1.484074,,,,,,,,,,,,,,,,,,,0.961556,0.696039,0.989118,1.039135,1.355491,0.505716,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.010130,0.012579,0.003085,0.000771,0.000120,0.016558,0.000169,0.000167,0.343957,0.071298,0.071296,0.026327,0.000002,0.468380,0.000066,0.257964,0.065758,0.015099,0.004160,0.000908,0.000000,0.052454,0.013853,0.004191,0.000797,0.468427,0.468491,0.468615,0.468615,28.215313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.003093,0.662020,,1.003093,1.003093,,1.002581,1.020126,1.478873,,,,,,,,,,,,,,,,,,,1.003093,0.662020,1.002581,1.020126,1.237294,0.471042,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000000,0.010487,0.012705,0.003113,0.000763,0.000123,0.016705,0.000174,0.000172,0.350667,0.073856,0.073854,0.025918,0.000001,0.477811,0.000064,0.263118,0.067108,0.015087,0.004477,0.000940,0.000000,0.052344,0.015919,0.004650,0.000924,0.477859,0.477923,0.478046,0.478046,28.215313,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991443,0.659585,,0.991443,,0.991443,0.998239,1.020126,1.485096,,,,,,,,,,,,,,,,,,,0.991443,0.659585,0.998239,1.020126,1.248617,0.481196,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000015,0.000017,0.000016,0.000015,0.000015,0.000064,0.000008,0.000008,0.000526,0.000090,0.000090,0.000036,0.000000,0.000747,0.000015,0.000246,0.000114,0.000065,0.000052,0.000047,0.000000,0.000033,0.000021,0.000017,0.000018,0.000770,0.000785,0.000790,0.000790,0.026527,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,0.910497,0.418578,0.910497,,0.910497,,1.167375,1.834848,1.428691,,,,,,,,,,0.910497,0.418578,1.167375,1.834848,,0.791675,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000016,0.000018,0.000015,0.000015,0.000015,0.000064,0.000009,0.000008,0.001184,0.000092,0.000092,0.000036,0.000000,0.001404,0.000016,0.000682,0.000266,0.000105,0.000075,0.000056,0.000000,0.000034,0.000022,0.000018,0.000018,0.001427,0.001444,0.001449,0.001449,0.026527,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.394339,0.425205,1.394339,,,1.394339,1.085698,1.834848,1.252179,,,,,,,,,,1.394339,0.425205,1.085698,1.834848,,0.678697,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000068,0.000058,0.000031,0.000022,0.000020,0.000132,0.000016,0.000016,0.003250,0.000542,0.000542,0.000172,0.000000,0.004190,0.000030,0.002163,0.000652,0.000243,0.000110,0.000080,0.000000,0.000315,0.000135,0.000055,0.000032,0.004236,0.004266,0.004285,0.004285,0.232459,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.860597,0.524880,0.860597,,0.860597,,0.983831,1.702791,1.549855,,,,,,,,,,0.860597,0.524880,0.983831,1.702791,,0.491806,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000072,0.000051,0.000030,0.000022,0.000021,0.000124,0.000017,0.000016,0.006274,0.000552,0.000552,0.000168,0.000000,0.007203,0.000030,0.004253,0.001258,0.000458,0.000175,0.000122,0.000000,0.000317,0.000139,0.000056,0.000034,0.007246,0.007277,0.007297,0.007297,0.232459,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.811611,0.528163,0.811611,,,0.811611,0.999031,1.702791,1.413277,,,,,,,,,,0.811611,0.528163,0.999031,1.702791,,0.498937,
2,venus,DOUBLE,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000156,0.000115,0.000050,0.000027,0.000022,0.000215,0.000022,0.000021,0.010490,0.001471,0.001470,0.001045,0.000001,0.013403,0.000036,0.008254,0.001387,0.000513,0.000197,0.000129,0.000000,0.001113,0.000227,0.000081,0.000045,0.013452,0.013488,0.013518,0.013518,0.607303,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.444790,0.716368,0.444790,,0.444790,,1.000927,1.084270,1.235729,,,,,,,,,,0.444790,0.716368,1.000927,1.084270,,0.366930,
2,venus,DOUBLE,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000156,0.000114,0.000048,0.000027,0.000022,0.000212,0.000022,0.000022,0.011626,0.001489,0.001489,0.001036,0.000001,0.014541,0.000036,0.009005,0.001643,0.000602,0.000226,0.000148,0.000000,0.001126,0.000229,0.000082,0.000046,0.014590,0.014627,0.014657,0.014657,0.607303,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.642412,0.711935,0.642412,,,0.642412,1.001477,1.084270,1.370343,,,,,,,,,,0.642412,0.711935,1.001477,1.084270,,0.392804,
