Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
3,barn1,DOUBLE,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000126,0.000126,0.000045,0.000029,0.000022,0.000221,0.000019,0.000018,0.010447,0.001110,0.001110,0.000748,0.000000,0.012667,0.000050,0.008352,0.001303,0.000499,0.000169,0.000108,0.000000,0.000798,0.000189,0.000079,0.000043,0.012705,0.012755,0.012788,0.012788,0.408941,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,0.956899,1.567522,,,0.956899,,0.928512,1.048148,,,,,,,,,,,0.956899,1.567522,0.928512,1.048148,,0.359177,
3,barn1,DOUBLE,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000131,0.000132,0.000045,0.000028,0.000022,0.000227,0.000019,0.000018,0.010802,0.001155,0.001154,0.000692,0.000001,0.013287,0.000049,0.008546,0.001417,0.000545,0.000181,0.000117,0.000000,0.000818,0.000210,0.000075,0.000051,0.013328,0.013377,0.013404,0.013404,0.408941,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,,,,,,,,,,1.185434,1.577181,,,,1.185434,0.980683,1.048148,,,,,,,,,,,1.185434,1.577181,0.980683,1.048148,,0.408487,
4,conesQuarterSize,DOUBLE,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000001,0.000319,0.000310,0.000095,0.000042,0.000026,0.000471,0.000031,0.000031,0.025047,0.004704,0.004703,0.002151,0.000001,0.032787,0.000062,0.020348,0.003148,0.001040,0.000337,0.000190,0.000000,0.003970,0.000541,0.000148,0.000072,0.032839,0.032901,0.032927,0.032927,0.946700,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,1.481538,1.386849,,1.481538,1.481538,,0.966320,1.238830,,,,,,,,,,,1.481538,1.386849,0.966320,1.128755,,0.418643,
4,conesQuarterSize,DOUBLE,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,DEFAULT,450,375,3,0.000001,0.000296,0.000309,0.000102,0.000043,0.000025,0.000478,0.000029,0.000028,0.029689,0.004061,0.004060,0.002371,0.000003,0.036936,0.000158,0.023135,0.004601,0.001341,0.000417,0.000186,0.000000,0.003337,0.000511,0.000144,0.000073,0.036994,0.037128,0.037166,0.037166,0.946700,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,1.351064,1.378716,,1.351064,,1.351064,0.991409,1.032656,0.911146,,,,,,,,,,1.351064,1.378716,0.991409,1.128755,,0.388564,
5,conesHalfSize,DOUBLE,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005111,0.007694,0.001834,0.000331,0.000059,0.010383,0.000068,0.000066,0.251112,0.038043,0.038040,0.018740,0.000002,0.328883,0.000256,0.188124,0.044538,0.009852,0.002766,0.000670,0.000000,0.028638,0.007255,0.001787,0.000362,0.328937,0.329188,0.329298,0.329298,7.411015,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,1.379079,1.327061,,1.379079,1.379079,,1.001743,1.050874,,,,,,,,,,,1.379079,1.327061,1.001743,1.050874,,0.515381,
5,conesHalfSize,DOUBLE,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000000,0.005332,0.007583,0.001708,0.000289,0.000059,0.009641,0.000075,0.000073,0.265447,0.037660,0.037658,0.018492,0.000002,0.345457,0.000293,0.201560,0.049239,0.011133,0.002988,0.000873,0.000000,0.028448,0.007027,0.001811,0.000372,0.345508,0.345939,0.346051,0.346051,7.411015,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,1.323705,1.320981,,1.323705,,1.323705,1.014527,1.050874,,,,,,,,,,,1.323705,1.320981,1.014527,1.050874,,0.484577,
6,conesFullSizeCropped,DOUBLE,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.010555,0.015539,0.004043,0.000842,0.000184,0.020711,0.000246,0.000242,0.526371,0.078151,0.078148,0.039057,0.000002,0.675514,0.000330,0.397032,0.089886,0.022654,0.005384,0.001480,0.000000,0.057328,0.015464,0.004571,0.000922,0.675569,0.675917,0.676033,0.676033,14.494743,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,1.374263,1.277091,,1.374263,1.374263,,1.007486,1.040528,,,,,,,,,,,1.374263,1.277091,1.007486,1.040528,,0.497426,
6,conesFullSizeCropped,DOUBLE,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.010925,0.015177,0.003794,0.000670,0.000126,0.019755,0.000153,0.000150,0.528911,0.078432,0.078430,0.045764,0.000002,0.702938,0.000312,0.405150,0.094443,0.023394,0.005715,0.001524,0.000000,0.058744,0.014540,0.004474,0.001014,0.703001,0.703313,0.703432,0.703432,14.494743,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,1.333448,1.288136,,1.333448,,1.333448,0.944209,1.040528,,,,,,,,,,,1.333448,1.288136,0.944209,1.040528,,0.491651,
0,tsukubaSetHalfSize,HALF,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000011,0.000011,0.000012,0.000046,0.000006,0.000006,0.000299,0.000071,0.000071,0.000020,0.000000,0.000453,0.000011,0.000121,0.000054,0.000041,0.000040,0.000037,0.000000,0.000027,0.000016,0.000017,0.000012,0.000479,0.000489,0.000492,0.000492,0.010706,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,1.445785,0.949391,1.445785,,1.445785,,1.345162,1.573818,,1.445785,0.949391,1.345162,1.573818,1.010008,,
0,tsukubaSetHalfSize,HALF,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000009,0.000012,0.000011,0.000011,0.000012,0.000047,0.000006,0.000006,0.000583,0.000072,0.000071,0.000021,0.000000,0.000742,0.000010,0.000320,0.000110,0.000052,0.000039,0.000037,0.000000,0.000026,0.000016,0.000017,0.000012,0.000762,0.000772,0.000775,0.000775,0.010706,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,1.593171,0.963971,1.593171,,,1.593171,1.052929,1.573818,,1.593171,0.963971,1.052929,1.573818,0.980761,,
1,tsukubaSet,HALF,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000028,0.000021,0.000020,0.000019,0.000090,0.000011,0.000011,0.000948,0.000188,0.000188,0.000044,0.000000,0.001325,0.000018,0.000517,0.000183,0.000091,0.000067,0.000064,0.000000,0.000087,0.000035,0.000036,0.000025,0.001345,0.001369,0.001383,0.001383,0.093483,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,1.499980,1.339959,1.499980,,1.499980,,0.998843,1.628388,,1.499980,1.339959,0.998843,1.628388,0.982488,,
1,tsukubaSet,HALF,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000031,0.000029,0.000021,0.000021,0.000020,0.000090,0.000011,0.000011,0.001821,0.000195,0.000195,0.000044,0.000000,0.002189,0.000018,0.001151,0.000367,0.000148,0.000080,0.000065,0.000000,0.000087,0.000035,0.000037,0.000026,0.002212,0.002233,0.002253,0.002253,0.093483,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,1.275364,1.326940,1.275364,,,1.275364,1.003409,1.628388,,1.275364,1.326940,1.003409,1.628388,1.332751,,
2,venus,HALF,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000045,0.000038,0.000023,0.000020,0.000020,0.000101,0.000013,0.000013,0.002662,0.000241,0.000240,0.000062,0.000000,0.003146,0.000020,0.001790,0.000497,0.000200,0.000096,0.000074,0.000000,0.000113,0.000060,0.000031,0.000037,0.003164,0.003184,0.003207,0.003207,0.278424,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,1.100356,1.580903,1.100356,,1.100356,,0.983973,1.078527,,1.100356,1.580903,0.983973,1.078527,0.977417,,
2,venus,HALF,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000058,0.000036,0.000024,0.000020,0.000020,0.000100,0.000013,0.000013,0.002911,0.000246,0.000246,0.000061,0.000000,0.003394,0.000020,0.001987,0.000539,0.000222,0.000099,0.000071,0.000000,0.000112,0.000065,0.000030,0.000040,0.003415,0.003434,0.003458,0.003458,0.278424,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,1.178102,1.580821,1.178102,,,1.178102,0.999871,1.078527,,1.178102,1.580821,0.999871,1.078527,0.990350,,
3,barn1,HALF,64,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000073,0.000043,0.000024,0.000022,0.000021,0.000110,0.000014,0.000014,0.003916,0.000346,0.000345,0.000088,0.000000,0.004542,0.000021,0.002708,0.000718,0.000291,0.000124,0.000081,0.000000,0.000177,0.000070,0.000045,0.000056,0.004564,0.004584,0.004607,0.004607,0.408941,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,0.895903,1.574685,,,0.895903,,1.012864,1.182694,,0.895903,1.574685,1.012864,1.182694,0.996958,,
3,barn1,HALF,64,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,432,381,3,0.000000,0.000067,0.000047,0.000032,0.000022,0.000021,0.000122,0.000014,0.000014,0.004275,0.000353,0.000352,0.000080,0.000000,0.005386,0.000020,0.002956,0.000784,0.000305,0.000122,0.000085,0.000000,0.000176,0.000076,0.000045,0.000057,0.005408,0.005427,0.005449,0.005449,0.408941,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,1.001856,1.576949,,,,1.001856,1.032036,1.182694,,1.001856,1.576949,1.032036,1.182694,1.004839,,
4,conesQuarterSize,HALF,64,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000000,0.000130,0.000090,0.000041,0.000028,0.000022,0.000179,0.000019,0.000019,0.008591,0.000878,0.000877,0.000185,0.000000,0.010082,0.000023,0.006099,0.001594,0.000559,0.000180,0.000121,0.000000,0.000450,0.000223,0.000107,0.000113,0.010123,0.010146,0.010172,0.010172,0.946700,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,0.941333,1.392321,,0.941333,0.941333,,1.013518,1.035896,,0.941333,1.392321,1.013518,1.035896,1.355176,,
4,conesQuarterSize,HALF,64,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,450,375,3,0.000000,0.000125,0.000091,0.000040,0.000034,0.000022,0.000184,0.000019,0.000019,0.008990,0.000898,0.000897,0.000199,0.000000,0.010415,0.000044,0.006405,0.001684,0.000595,0.000235,0.000120,0.000000,0.000448,0.000224,0.000107,0.000118,0.010455,0.010499,0.010537,0.010537,0.946700,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,1.062954,1.398659,,1.062954,,1.062954,1.001160,1.035896,,1.062954,1.398659,1.001160,1.035896,1.370560,,
5,conesHalfSize,HALF,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.001189,0.001683,0.000344,0.000098,0.000053,0.002178,0.000124,0.000122,0.082583,0.011450,0.011448,0.004342,0.000002,0.101925,0.000197,0.062894,0.014870,0.003384,0.001123,0.000329,0.000000,0.008709,0.001949,0.000715,0.000201,0.101984,0.102140,0.102252,0.102252,7.411015,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.123513,1.376384,,1.123513,1.123513,,1.026323,1.064974,,1.123513,1.376384,1.026323,1.064974,1.659768,,
5,conesHalfSize,HALF,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.001172,0.001732,0.000337,0.000099,0.000060,0.002228,0.000112,0.000111,0.089343,0.011539,0.011537,0.004507,0.000002,0.108547,0.000190,0.066791,0.015982,0.003628,0.001192,0.000360,0.000000,0.008701,0.001929,0.000740,0.000208,0.108601,0.108779,0.108895,0.108895,7.411015,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.081185,1.379136,,1.081185,,1.081185,0.993917,1.064974,,1.081185,1.379136,0.993917,1.064974,1.539905,,
6,conesFullSizeCropped,HALF,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002945,0.004603,0.001026,0.000197,0.000101,0.005817,0.000262,0.000260,0.173795,0.024740,0.024738,0.010190,0.000002,0.217956,0.000335,0.130683,0.032906,0.006853,0.002546,0.000666,0.000000,0.017961,0.004912,0.001493,0.000408,0.218021,0.218356,0.218463,0.218463,14.494743,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.173460,1.288129,,1.173460,1.173460,,1.060510,1.074952,,1.173460,1.288129,1.060510,1.074952,1.539287,,
6,conesFullSizeCropped,HALF,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002785,0.005022,0.001135,0.000336,0.000200,0.006696,0.000268,0.000265,0.188747,0.024923,0.024922,0.010206,0.000002,0.234380,0.000291,0.144443,0.033952,0.007138,0.002681,0.000731,0.000000,0.017837,0.004891,0.001664,0.000400,0.234437,0.234728,0.234837,0.234837,14.494743,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.116354,1.288419,,1.116354,,1.116354,0.944499,1.074952,,1.116354,1.288419,0.944499,1.074952,1.472695,,
