Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002530,0.004369,0.000878,0.000142,0.000050,0.005486,0.000084,0.000082,0.124098,0.020810,0.020809,0.010212,0.000002,0.169301,0.000413,0.095412,0.022447,0.004008,0.001170,0.000353,0.000000,0.015481,0.003981,0.001126,0.000231,0.169351,0.169597,0.169714,0.169714,7.411015,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.348451,1.378583,,1.348451,1.348451,,0.942924,0.988065,,,,,,,,,,,,,,,,,,,,1.348451,1.378583,0.942924,0.988065,1.659768,0.515381,
5,conesHalfSize,FLOAT,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002392,0.004176,0.000757,0.000144,0.000049,0.005095,0.000059,0.000057,0.127450,0.020543,0.020541,0.008870,0.000002,0.166919,0.000375,0.096597,0.024553,0.004347,0.001316,0.000391,0.000000,0.015015,0.003859,0.001352,0.000231,0.166974,0.167579,0.167688,0.167688,7.411015,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.380728,1.384034,,1.380728,,1.380728,1.015110,0.988065,,,,,,,,,,,,,,,,,,,,1.380728,1.384034,1.015110,0.988065,1.539905,0.484577,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005573,0.008316,0.001933,0.000357,0.000089,0.010976,0.000106,0.000104,0.243076,0.042797,0.042796,0.019971,0.000002,0.335846,0.000258,0.183008,0.046377,0.010300,0.002663,0.000682,0.000000,0.030874,0.009122,0.002403,0.000494,0.335909,0.336166,0.336277,0.336277,14.494743,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.397849,1.288681,,1.397849,1.397849,,0.991350,1.028448,,,,,,,,,,,,,,,,,,,,1.397849,1.288681,0.991350,1.028448,1.539287,0.497426,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005548,0.008440,0.001824,0.000354,0.000108,0.010728,0.000108,0.000105,0.266375,0.041594,0.041592,0.017762,0.000002,0.345478,0.000292,0.203644,0.047158,0.010688,0.002730,0.000734,0.000000,0.030630,0.008086,0.002417,0.000485,0.345533,0.345731,0.345843,0.345843,14.494743,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.370434,1.283941,,1.370434,,1.370434,0.958362,1.028448,,,,,,,,,,,,,,,,,,,,1.370434,1.283941,0.958362,1.028448,1.472695,0.491651,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000012,0.000012,0.000011,0.000011,0.000011,0.000045,0.000006,0.000006,0.000403,0.000078,0.000077,0.000024,0.000000,0.000568,0.000010,0.000209,0.000078,0.000046,0.000036,0.000035,0.000000,0.000035,0.000017,0.000013,0.000012,0.000587,0.000598,0.000601,0.000601,0.010706,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.196668,1.037155,1.196668,,1.196668,,1.234248,1.734699,,,,,,,,,,,1.196668,1.037155,1.234248,1.734699,,0.827909,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000013,0.000021,0.000020,0.000019,0.000019,0.000080,0.000010,0.000010,0.000768,0.000095,0.000094,0.000033,0.000000,0.001000,0.000018,0.000395,0.000157,0.000082,0.000066,0.000065,0.000000,0.000030,0.000023,0.000021,0.000020,0.001020,0.001039,0.001042,0.001042,0.010706,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.938383,1.053576,1.938383,,,1.938383,1.005711,1.734699,,,,,,,,,,,1.938383,1.053576,1.005711,1.734699,,0.729375,
1,tsukubaSet,DOUBLE,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000045,0.000033,0.000024,0.000021,0.000019,0.000097,0.000012,0.000012,0.001492,0.000244,0.000244,0.000079,0.000000,0.001970,0.000024,0.000902,0.000304,0.000124,0.000085,0.000072,0.000000,0.000147,0.000048,0.000026,0.000022,0.001995,0.002015,0.002031,0.002031,0.093483,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.816214,1.305193,1.816214,,1.816214,,1.019793,1.922877,,,,,,,,,,,1.816214,1.305193,1.019793,1.922877,,0.669288,
1,tsukubaSet,DOUBLE,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000040,0.000036,0.000025,0.000021,0.000019,0.000100,0.000012,0.000012,0.003375,0.000244,0.000244,0.000079,0.000000,0.003845,0.000020,0.002251,0.000688,0.000255,0.000108,0.000076,0.000000,0.000140,0.000054,0.000026,0.000023,0.003868,0.003889,0.003905,0.003905,0.093483,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.516789,1.313355,1.516789,,,1.516789,1.157753,1.922877,,,,,,,,,,,1.516789,1.313355,1.157753,1.922877,,0.768849,
2,venus,DOUBLE,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000057,0.000079,0.000041,0.000024,0.000021,0.000163,0.000015,0.000015,0.004880,0.000555,0.000554,0.000202,0.000000,0.005877,0.000024,0.003412,0.000899,0.000339,0.000132,0.000085,0.000000,0.000315,0.000154,0.000054,0.000032,0.005914,0.005939,0.005965,0.005965,0.278424,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.008053,1.562553,1.008053,,1.008053,,1.003643,1.143275,,,,,,,,,,,1.008053,1.562553,1.003643,1.143275,,0.525462,
2,venus,DOUBLE,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000066,0.000075,0.000036,0.000025,0.000022,0.000157,0.000016,0.000016,0.005530,0.000570,0.000570,0.000185,0.000000,0.006737,0.000025,0.003892,0.000993,0.000373,0.000141,0.000091,0.000000,0.000311,0.000162,0.000056,0.000040,0.006769,0.006793,0.006819,0.006819,0.278424,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.380792,1.552885,1.380792,,,1.380792,0.975716,1.143275,,,,,,,,,,,1.380792,1.552885,0.975716,1.143275,,0.502262,
