Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000025,0.000014,0.000010,0.000010,0.000008,0.000045,0.000012,0.000012,0.000304,0.000130,0.000129,0.000018,0.000000,0.000523,0.000009,0.000126,0.000054,0.000039,0.000048,0.000036,0.000000,0.000051,0.000027,0.000023,0.000026,0.000541,0.000550,0.000556,0.000556,0.007435,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.042842,1.408568,1.042842,,1.042842,,1.008223,1.500295,,,,,,,,,,,,,,,,,,,,,1.042842,1.408568,1.008223,1.500295,,,
0,tsukubaSetHalfSize,FLOAT,16,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,192,144,3,0.000000,0.000024,0.000015,0.000010,0.000009,0.000008,0.000044,0.000020,0.000019,0.000568,0.000119,0.000118,0.000019,0.000000,0.000796,0.000007,0.000290,0.000102,0.000062,0.000076,0.000039,0.000000,0.000044,0.000025,0.000023,0.000023,0.000819,0.000828,0.000834,0.000834,0.007435,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.551134,1.471000,1.551134,,,1.551134,1.083420,1.500295,,,,,,,,,,,,,,,,,,,,,1.551134,1.471000,1.083420,1.500295,,,
1,tsukubaSet,FLOAT,16,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000168,0.000075,0.000024,0.000028,0.000012,0.000140,0.000030,0.000030,0.001881,0.001166,0.001165,0.000178,0.000000,0.003562,0.000018,0.001358,0.000271,0.000107,0.000064,0.000078,0.000000,0.000958,0.000120,0.000048,0.000046,0.003584,0.003602,0.003636,0.003636,0.084848,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.618563,1.406504,0.618563,,0.618563,,0.978864,1.240749,,,,,,,,,,,,,,,,,,,,,0.618563,1.406504,0.978864,1.240749,,,
1,tsukubaSet,FLOAT,16,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,384,288,3,0.000000,0.000162,0.000085,0.000023,0.000013,0.000014,0.000136,0.000026,0.000026,0.002851,0.001110,0.001109,0.000178,0.000000,0.004441,0.000015,0.002107,0.000440,0.000154,0.000084,0.000092,0.000000,0.000909,0.000117,0.000047,0.000041,0.004462,0.004477,0.004512,0.004512,0.084848,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767868,1.437619,0.767868,,,0.767868,0.994266,1.240749,,,,,,,,,,,,,,,,,,,,,0.767868,1.437619,0.994266,1.240749,,,
2,venus,FLOAT,16,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000310,0.000137,0.000057,0.000015,0.000018,0.000227,0.000026,0.000026,0.008193,0.001822,0.001821,0.000409,0.000001,0.011531,0.000029,0.006878,0.000805,0.000240,0.000113,0.000138,0.000000,0.001416,0.000232,0.000117,0.000062,0.011576,0.011602,0.011684,0.011684,0.221208,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316723,1.982577,0.316723,,0.316723,,0.901853,1.173804,,,,,,,,,,,,,,,,,,,,,0.316723,1.982577,0.901853,1.173804,,,
2,venus,FLOAT,16,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,434,383,3,0.000000,0.000304,0.000160,0.000046,0.000016,0.000016,0.000238,0.000026,0.000026,0.010770,0.001870,0.001869,0.000391,0.000000,0.013583,0.000028,0.008677,0.001308,0.000384,0.000146,0.000183,0.000000,0.001426,0.000287,0.000134,0.000072,0.013617,0.013645,0.013714,0.013714,0.221208,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409858,1.978432,0.409858,,,0.409858,0.975209,1.173804,,,,,,,,,,,,,,,,,,,,,0.409858,1.978432,0.975209,1.173804,,,
3,barn1,FLOAT,16,64,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000000,0.000550,0.000396,0.000082,0.000020,0.000008,0.000505,0.000010,0.000010,0.012844,0.003595,0.003594,0.000729,0.000001,0.018110,0.000035,0.010087,0.001927,0.000500,0.000157,0.000173,0.000000,0.002592,0.000592,0.000329,0.000080,0.018140,0.018175,0.018251,0.018251,0.421534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314270,1.517280,,,0.314270,,1.151741,1.599160,,,,,,,,,,,,,,,,,,,,,0.314270,1.517280,1.151741,1.599160,,,
3,barn1,FLOAT,16,64,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,8,AVX512,432,381,3,0.000001,0.000843,0.000666,0.000135,0.000044,0.000017,0.000864,0.000016,0.000015,0.019725,0.006851,0.006850,0.000738,0.000001,0.029022,0.000050,0.014498,0.003867,0.001094,0.000290,0.000280,0.000000,0.005185,0.001078,0.000495,0.000092,0.029058,0.029108,0.029186,0.029186,0.421534,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229464,1.503369,,,,0.229464,0.843577,1.599160,,,,,,,,,,,,,,,,,,,,,0.229464,1.503369,0.843577,1.599160,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000000,0.000883,0.001432,0.000370,0.000077,0.000043,0.001923,0.000040,0.000039,0.033901,0.010543,0.010542,0.003306,0.000001,0.051120,0.000033,0.027584,0.004785,0.000786,0.000232,0.000466,0.000000,0.007367,0.002392,0.000628,0.000169,0.051163,0.051196,0.051278,0.051278,0.901390,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324335,1.467379,,0.324335,0.324335,,0.980642,1.053336,,,,,,,,,,,,,,,,,,,,,0.324335,1.467379,0.980642,1.053336,,,
4,conesQuarterSize,FLOAT,16,64,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,16,AVX512,450,375,3,0.000001,0.000960,0.001444,0.000366,0.000084,0.000027,0.001920,0.000038,0.000037,0.036921,0.010291,0.010290,0.003257,0.000002,0.053838,0.000035,0.029853,0.005378,0.001015,0.000272,0.000486,0.000000,0.007099,0.002388,0.000725,0.000171,0.053879,0.053913,0.054013,0.054013,0.901390,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338034,1.479382,,0.338034,,0.338034,0.995796,1.053336,,,,,,,,,,,,,,,,,,,,,0.338034,1.479382,0.995796,1.053336,,,
