Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006707,0.007129,0.001665,0.000606,0.000133,0.009530,0.000217,0.000216,0.166385,0.057601,0.057599,0.010662,0.000001,0.251804,0.000070,0.130246,0.028046,0.006116,0.001571,0.000386,0.000000,0.040149,0.009985,0.005969,0.001685,0.251843,0.251913,0.252216,0.252216,7.729328,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907360,1.321810,,0.907360,0.907360,,1.013935,1.022235,,,,,,,,,,,,,,,,,,,,,,,0.907360,1.321810,1.013935,1.022235,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000000,0.006825,0.006975,0.001615,0.000640,0.000161,0.009355,0.000227,0.000225,0.169380,0.059835,0.059833,0.010473,0.000001,0.257409,0.000084,0.132412,0.028625,0.006356,0.001677,0.000434,0.000000,0.041520,0.010479,0.005783,0.002073,0.257447,0.257531,0.257825,0.257825,7.729328,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.898022,1.327036,,0.898022,,0.898022,0.998759,1.022235,,,,,,,,,,,,,,,,,,,,,,,0.898022,1.327036,0.998759,1.022235,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.021090,0.015802,0.004159,0.001774,0.000375,0.022162,0.000690,0.000688,0.347599,0.133594,0.133591,0.022222,0.000002,0.546773,0.000083,0.268194,0.061101,0.012735,0.003264,0.000748,0.000000,0.089820,0.023489,0.014756,0.004886,0.546812,0.546893,0.547190,0.547190,16.619607,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.859051,1.123919,,0.859051,0.859051,,1.007764,0.999293,,,,,,,,,,,,,,,,,,,,,,,0.859051,1.123919,1.007764,0.999293,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020442,0.014981,0.004252,0.001668,0.000299,0.021188,0.000527,0.000526,0.350718,0.131636,0.131634,0.021855,0.000001,0.546403,0.000068,0.271019,0.061876,0.013753,0.003548,0.000789,0.000000,0.089749,0.023523,0.014318,0.004399,0.546441,0.546509,0.546803,0.546803,16.619607,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866775,1.119786,,0.866775,,0.866775,1.018034,0.999293,,,,,,,,,,,,,,,,,,,,,,,0.866775,1.119786,1.018034,0.999293,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,12,AVX512,192,144,3,0.000000,0.000019,0.000013,0.000006,0.000007,0.000007,0.000035,0.000009,0.000009,0.000349,0.000086,0.000085,0.000018,0.000000,0.000516,0.000007,0.000173,0.000066,0.000044,0.000043,0.000031,0.000000,0.000036,0.000017,0.000016,0.000015,0.000529,0.000536,0.000545,0.000545,0.007047,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.319435,1.575632,1.319435,,1.319435,,1.187474,1.699964,,,,,,,,,,,,,1.319435,1.575632,1.187474,1.699964,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000013,0.000013,0.000010,0.000009,0.000046,0.000017,0.000016,0.000665,0.000128,0.000127,0.000021,0.000000,0.000894,0.000008,0.000364,0.000135,0.000070,0.000054,0.000040,0.000000,0.000057,0.000025,0.000023,0.000020,0.000911,0.000920,0.000926,0.000926,0.007047,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.180913,1.600578,2.180913,,,2.180913,0.992758,1.699964,,,,,,,,,,,,,2.180913,1.600578,0.992758,1.699964,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000125,0.000076,0.000023,0.000016,0.000012,0.000127,0.000029,0.000029,0.002637,0.001072,0.001071,0.000252,0.000000,0.004222,0.000013,0.002023,0.000357,0.000119,0.000064,0.000068,0.000000,0.000800,0.000190,0.000048,0.000038,0.004244,0.004257,0.004289,0.004289,0.079964,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.859853,1.525854,0.859853,,0.859853,,1.024254,1.425157,,,,,,,,,,,,,0.859853,1.525854,1.024254,1.425157,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000136,0.000079,0.000024,0.000017,0.000012,0.000131,0.000027,0.000027,0.004422,0.001063,0.001062,0.000259,0.000000,0.006047,0.000014,0.003462,0.000577,0.000188,0.000104,0.000082,0.000000,0.000787,0.000190,0.000047,0.000039,0.006067,0.006081,0.006113,0.006113,0.079964,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.968882,1.535396,0.968882,,,0.968882,0.996888,1.425157,,,,,,,,,,,,,0.968882,1.535396,0.996888,1.425157,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000230,0.000216,0.000039,0.000014,0.000009,0.000278,0.000012,0.000012,0.007276,0.001787,0.001786,0.000539,0.000000,0.010118,0.000033,0.005755,0.001086,0.000251,0.000121,0.000078,0.000000,0.001387,0.000292,0.000079,0.000041,0.010142,0.010175,0.010226,0.010226,0.207343,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.587972,2.098227,0.587972,,0.587972,,1.006182,1.677930,,,,,,,,,,,,,0.587972,2.098227,1.006182,1.568615,,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000250,0.000191,0.000039,0.000014,0.000009,0.000253,0.000015,0.000015,0.013350,0.001584,0.001583,0.000503,0.000000,0.015940,0.000018,0.010623,0.002029,0.000447,0.000173,0.000097,0.000000,0.001162,0.000321,0.000073,0.000028,0.015970,0.015988,0.016041,0.016041,0.207343,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.586998,2.085244,0.586998,,,0.586998,1.009694,1.367388,,0.934851,,,,,,,,,,,0.586998,2.085244,1.009694,1.568615,,,
