Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.003085,0.003748,0.000821,0.000157,0.000065,0.004789,0.000064,0.000063,0.126274,0.022521,0.022520,0.008205,0.000001,0.164941,0.000173,0.095512,0.023365,0.005165,0.001814,0.000434,0.000000,0.016585,0.004516,0.001154,0.000296,0.164985,0.165152,0.165235,0.165235,11.309509,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.385005,0.903373,,1.385005,1.385005,,0.995464,1.075525,1.583639,,,,,,,,,,,,,,,,,,,1.385005,0.903373,0.995464,1.075525,1.327988,0.496639,
5,conesHalfSize,FLOAT,64,16,8,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.003068,0.003877,0.000822,0.000148,0.000057,0.004903,0.000063,0.000062,0.138760,0.022556,0.022555,0.008106,0.000001,0.177407,0.000169,0.105240,0.025317,0.005711,0.002032,0.000468,0.000000,0.016621,0.004539,0.001121,0.000262,0.177454,0.177632,0.177714,0.177714,11.309509,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.302834,0.906945,,1.302834,,1.302834,0.997522,1.075525,1.512080,,,,,,,,,,,,,,,,,,,1.302834,0.906945,0.997522,1.075525,1.338449,0.508693,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.006437,0.007459,0.001907,0.000376,0.000105,0.009854,0.000118,0.000117,0.267368,0.046565,0.046564,0.016178,0.000002,0.346532,0.000167,0.200303,0.050282,0.011981,0.003986,0.000888,0.000000,0.033939,0.008994,0.002781,0.000864,0.346579,0.346747,0.346844,0.346844,21.153792,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.355260,0.883014,,1.355260,1.355260,,1.000168,1.037578,1.502106,,,,,,,,,,,,,,,,,,,1.355260,0.883014,1.000168,1.037578,1.331365,0.489206,
6,conesFullSizeCropped,FLOAT,64,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,900,750,7,0.000001,0.006469,0.007392,0.001917,0.000400,0.000106,0.009812,0.000118,0.000116,0.280209,0.046559,0.046558,0.016001,0.000001,0.359559,0.000170,0.210109,0.052473,0.012506,0.004158,0.000961,0.000000,0.033905,0.009018,0.002773,0.000885,0.359602,0.359795,0.359878,0.359878,21.153792,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.316989,0.879767,,1.316989,,1.316989,0.995334,1.037578,1.439812,,,,,,,,,,,,,,,,,,,1.316989,0.879767,0.995334,1.037578,1.328206,0.496369,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000009,0.000012,0.000011,0.000010,0.000010,0.000044,0.000006,0.000005,0.000354,0.000074,0.000074,0.000024,0.000000,0.000515,0.000010,0.000166,0.000077,0.000042,0.000035,0.000033,0.000000,0.000029,0.000018,0.000014,0.000013,0.000531,0.000541,0.000544,0.000544,0.016257,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.321077,0.683020,1.321077,,1.321077,,1.191548,2.021625,1.479206,,,,,,,,,,1.321077,0.683020,1.191548,2.021625,,0.780335,
0,tsukubaSetHalfSize,DOUBLE,64,16,8,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,NEON,192,144,15,0.000000,0.000010,0.000014,0.000013,0.000011,0.000011,0.000049,0.000006,0.000006,0.000898,0.000081,0.000081,0.000024,0.000000,0.001070,0.000011,0.000530,0.000198,0.000074,0.000052,0.000039,0.000000,0.000029,0.000021,0.000017,0.000014,0.001086,0.001097,0.001100,0.001100,0.016257,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.836189,0.693834,1.836189,,,1.836189,1.101291,2.021625,1.176094,,,,,,,,,,1.836189,0.693834,1.101291,2.021625,,0.664400,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000056,0.000041,0.000022,0.000017,0.000015,0.000096,0.000011,0.000010,0.002240,0.000415,0.000414,0.000114,0.000000,0.002945,0.000019,0.001461,0.000472,0.000167,0.000073,0.000054,0.000000,0.000256,0.000098,0.000038,0.000023,0.002984,0.003003,0.003017,0.003017,0.155735,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.222586,0.783463,1.222586,,1.222586,,0.994656,1.966406,1.686850,,,,,,,,,,1.222586,0.783463,0.994656,1.966406,,0.516378,
1,tsukubaSet,DOUBLE,64,16,8,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,384,288,15,0.000000,0.000054,0.000039,0.000023,0.000018,0.000015,0.000093,0.000011,0.000010,0.005156,0.000420,0.000419,0.000117,0.000000,0.005865,0.000017,0.003507,0.001059,0.000376,0.000127,0.000085,0.000000,0.000255,0.000100,0.000039,0.000022,0.005902,0.005918,0.005932,0.005932,0.155735,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.998426,0.788362,0.998426,,,0.998426,0.995906,1.966406,1.322459,,,,,,,,,,0.998426,0.788362,0.995906,1.966406,,0.508862,
2,venus,DOUBLE,64,16,8,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000001,0.000131,0.000149,0.000041,0.000019,0.000016,0.000228,0.000014,0.000014,0.007819,0.001084,0.001083,0.000508,0.000001,0.009795,0.000022,0.005850,0.001254,0.000458,0.000158,0.000095,0.000000,0.000799,0.000188,0.000065,0.000034,0.009837,0.009859,0.009879,0.009879,0.429320,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.608620,1.013352,0.608620,,0.608620,,1.000221,1.087113,1.329080,,,,,,,,,,0.608620,1.013352,1.000221,1.087113,,0.432151,
2,venus,DOUBLE,64,16,8,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,64,NEON,434,383,15,0.000000,0.000134,0.000145,0.000041,0.000019,0.000016,0.000222,0.000014,0.000014,0.008699,0.001073,0.001072,0.000509,0.000000,0.010654,0.000021,0.006481,0.001418,0.000513,0.000179,0.000105,0.000000,0.000798,0.000177,0.000062,0.000033,0.010698,0.010720,0.010740,0.010740,0.429320,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.876733,1.007082,0.876733,,,0.876733,0.999686,1.087113,1.444304,,,,,,,,,,0.876733,1.007082,0.999686,1.087113,,0.438183,
