Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over AVX512 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over AVX512 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over AVX512 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006576,0.007143,0.001647,0.000674,0.000134,0.009569,0.000260,0.000259,0.166668,0.058334,0.058332,0.010608,0.000001,0.251908,0.000070,0.131194,0.027606,0.005667,0.001504,0.000402,0.000000,0.040512,0.009866,0.006865,0.001158,0.251949,0.252018,0.252310,0.252310,7.725639,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907023,1.322441,,0.907023,0.907023,,1.019481,1.007782,0.999890,,,,,,,,,,,,,,,,,,,0.907023,1.322441,1.019481,1.007782,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006821,0.007004,0.001596,0.000572,0.000135,0.009291,0.000209,0.000209,0.170321,0.056974,0.056972,0.010500,0.000001,0.253875,0.000069,0.133647,0.028312,0.006257,0.001586,0.000412,0.000000,0.040139,0.009621,0.005673,0.001538,0.253915,0.253984,0.254273,0.254273,7.725639,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910563,1.327670,,0.910563,,0.910563,1.007696,1.007782,0.996551,,,,,,,,,,,,,,,,,,,0.910563,1.327670,1.007696,1.007782,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020468,0.014967,0.003971,0.001716,0.000277,0.020901,0.000714,0.000712,0.345940,0.129617,0.129615,0.021872,0.000002,0.539762,0.000068,0.267119,0.061515,0.013149,0.003392,0.000748,0.000000,0.089555,0.023582,0.011678,0.004817,0.539815,0.539883,0.540173,0.540173,16.581431,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870209,1.126507,,0.870209,0.870209,,1.018903,1.020041,,,,,,,,,,,,,,,,,,,,0.870209,1.126507,1.018903,1.020041,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,900,750,3,0.000001,0.020420,0.014949,0.004346,0.002396,0.000364,0.022036,0.000585,0.000584,0.352272,0.132410,0.132407,0.022017,0.000001,0.550597,0.000069,0.271385,0.061913,0.013821,0.003546,0.000834,0.000000,0.091152,0.023161,0.013409,0.004913,0.550639,0.550708,0.550999,0.550999,16.581431,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860174,1.122364,,0.860174,,0.860174,1.010856,1.020041,,,,,,,,,,,,,,,,,,,,0.860174,1.122364,1.010856,1.020041,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000013,0.000014,0.000011,0.000009,0.000047,0.000013,0.000013,0.000347,0.000110,0.000110,0.000019,0.000000,0.000569,0.000008,0.000156,0.000064,0.000040,0.000047,0.000039,0.000000,0.000041,0.000024,0.000022,0.000018,0.000589,0.000598,0.000603,0.000603,0.006992,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.191686,1.587982,1.191686,,1.191686,,1.054620,1.503660,0.927696,,,,,,,,,,1.191686,1.587982,1.054620,1.503660,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000020,0.000014,0.000012,0.000009,0.000009,0.000044,0.000014,0.000014,0.000667,0.000110,0.000110,0.000023,0.000000,0.000878,0.000007,0.000372,0.000134,0.000068,0.000054,0.000042,0.000000,0.000043,0.000024,0.000022,0.000020,0.000895,0.000902,0.000907,0.000907,0.006992,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,2.226907,1.613124,2.226907,,,2.226907,1.002510,1.503660,0.999368,,,,,,,,,,2.226907,1.613124,1.002510,1.503660,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,384,288,3,0.000000,0.000106,0.000085,0.000023,0.000015,0.000011,0.000131,0.000025,0.000024,0.002579,0.001081,0.001080,0.000241,0.000000,0.004171,0.000014,0.001970,0.000357,0.000120,0.000064,0.000065,0.000000,0.000804,0.000197,0.000059,0.000034,0.004193,0.004206,0.004238,0.004238,0.080901,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.870284,1.508173,0.870284,,0.870284,,1.033069,1.460382,,,,,,,,,,,0.870284,1.508173,1.033069,1.456713,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000127,0.000096,0.000024,0.000017,0.000011,0.000147,0.000027,0.000027,0.004443,0.001119,0.001119,0.000261,0.000000,0.006109,0.000013,0.003443,0.000605,0.000199,0.000101,0.000085,0.000000,0.000820,0.000202,0.000057,0.000040,0.006129,0.006142,0.006173,0.006173,0.080901,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,0.959393,1.517604,0.959393,,,0.959393,0.998502,1.434217,0.997488,,,,,,,,,,0.959393,1.517604,0.998502,1.456713,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000229,0.000230,0.000042,0.000013,0.000009,0.000294,0.000012,0.000012,0.007501,0.001798,0.001797,0.000539,0.000000,0.010364,0.000017,0.005943,0.001116,0.000254,0.000119,0.000078,0.000000,0.001397,0.000301,0.000069,0.000042,0.010394,0.010412,0.010479,0.010479,0.206996,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.573796,2.101745,0.573796,,0.573796,,1.002919,1.659664,,,,,,,,,,,0.573796,2.101745,1.002919,1.659664,,,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512 w/ float16,434,383,3,0.000000,0.000264,0.000226,0.000084,0.000013,0.000009,0.000333,0.000026,0.000026,0.014328,0.001832,0.001831,0.000541,0.000000,0.017291,0.000018,0.011672,0.001957,0.000445,0.000193,0.000100,0.000000,0.001413,0.000314,0.000071,0.000041,0.017320,0.017338,0.017391,0.017391,0.206996,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,0.541419,2.088740,0.541419,,,0.541419,1.002794,1.659664,,,,,,,,,,,0.541419,2.088740,1.002794,1.659664,,,
