Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,96,16,8,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.003375,0.004886,0.000948,0.000223,0.000102,0.006176,0.000244,0.000243,0.112216,0.031919,0.031916,0.009256,0.000002,0.163198,0.000062,0.088361,0.019645,0.003019,0.000786,0.000395,0.000000,0.024162,0.005463,0.001416,0.000886,0.163249,0.163309,0.163672,0.163672,8.033966,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.398232,1.271688,,1.398232,1.398232,,0.976210,0.996060,1.000000,1.553076,,,,,,,,,,,,,,,,,,,,,1.398232,1.271688,0.976210,0.991650,1.972417,0.513778,
5,conesHalfSize,FLOAT,96,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,900,750,7,0.000001,0.003519,0.005018,0.001049,0.000379,0.000094,0.006532,0.000233,0.000231,0.108716,0.033700,0.033697,0.009069,0.000001,0.161821,0.000062,0.086685,0.018317,0.002678,0.000659,0.000366,0.000000,0.023835,0.006510,0.002410,0.000968,0.161877,0.161942,0.162305,0.162305,8.033966,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.426524,1.276717,,1.426524,,1.426524,0.987336,0.988342,1.004447,1.619545,,,,,,,,,,,,,,,,,,,,,1.426524,1.276717,0.987336,0.991650,1.930325,0.504824,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.008232,0.009902,0.002397,0.000426,0.000159,0.012879,0.000495,0.000493,0.229824,0.066561,0.066557,0.017964,0.000002,0.335998,0.000065,0.177970,0.042699,0.006955,0.001542,0.000658,0.000000,0.049043,0.012114,0.003485,0.001903,0.336055,0.336121,0.336473,0.336473,16.891338,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.397032,1.105839,,1.397032,1.397032,,0.998499,1.006269,1.000000,1.611831,,,,,,,,,,,,,,,,,,,,,1.397032,1.105839,0.998499,1.006269,1.801661,0.500519,
6,conesFullSizeCropped,FLOAT,96,16,8,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX256,900,750,7,0.000001,0.008292,0.009954,0.002469,0.000478,0.000169,0.013056,0.000486,0.000484,0.231340,0.066962,0.066958,0.017958,0.000001,0.338112,0.000063,0.179150,0.042924,0.006919,0.001593,0.000729,0.000000,0.049966,0.012350,0.002760,0.001868,0.338165,0.338230,0.338582,0.338582,16.891338,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.399822,1.101772,,1.399822,,1.399822,0.995829,1.006269,1.000000,1.638254,,,,,,,,,,,,,,,,,,,,,1.399822,1.101772,0.995829,1.006269,1.813425,0.499953,
0,tsukubaSetHalfSize,DOUBLE,96,16,8,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,24,AVX256,192,144,15,0.000000,0.000015,0.000012,0.000011,0.000012,0.000011,0.000046,0.000014,0.000014,0.000343,0.000099,0.000099,0.000023,0.000000,0.000543,0.000009,0.000146,0.000065,0.000040,0.000039,0.000045,0.000000,0.000032,0.000022,0.000024,0.000021,0.000553,0.000574,0.000582,0.000582,0.009646,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.234515,1.151081,1.234515,,1.234515,,1.794481,1.797668,1.000000,1.773880,,,,,,,,,,,1.234515,1.151081,1.794481,1.712661,,0.790630,
0,tsukubaSetHalfSize,DOUBLE,96,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,48,AVX512,192,144,15,0.000000,0.000015,0.000020,0.000019,0.000020,0.000021,0.000080,0.000017,0.000017,0.000677,0.000139,0.000138,0.000032,0.000000,0.000961,0.000017,0.000303,0.000140,0.000078,0.000083,0.000071,0.000000,0.000042,0.000034,0.000027,0.000035,0.000972,0.000989,0.000997,0.000997,0.009646,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.025419,1.169306,2.025419,,,2.025419,1.207662,1.671680,1.049635,1.363292,,,,,,,,,,,2.025419,1.169306,1.207662,1.712661,,0.706305,
1,tsukubaSet,DOUBLE,96,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000048,0.000048,0.000036,0.000032,0.000031,0.000147,0.000026,0.000026,0.001187,0.000580,0.000579,0.000073,0.000000,0.002058,0.000031,0.000548,0.000244,0.000151,0.000112,0.000123,0.000000,0.000322,0.000117,0.000075,0.000057,0.002082,0.002113,0.002155,0.002155,0.085865,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,1.711170,1.420979,1.711170,,1.711170,,0.997746,1.352975,1.039224,1.977127,,,,,,,,,,,1.711170,1.420979,0.997746,1.352975,,0.640315,
1,tsukubaSet,DOUBLE,96,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,384,288,15,0.000000,0.000049,0.000048,0.000037,0.000031,0.000031,0.000147,0.000040,0.000040,0.001939,0.000575,0.000574,0.000075,0.000000,0.002823,0.000030,0.001056,0.000402,0.000203,0.000144,0.000129,0.000000,0.000324,0.000117,0.000073,0.000056,0.002850,0.002881,0.002916,0.002916,0.085865,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,2.031014,1.429865,2.031014,,,2.031014,1.004146,1.352975,1.149860,2.088810,,,,,,,,,,,2.031014,1.429865,1.004146,1.352975,,0.694208,
2,venus,DOUBLE,96,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000000,0.000088,0.000065,0.000039,0.000032,0.000033,0.000170,0.000049,0.000048,0.003429,0.000944,0.000940,0.000206,0.000000,0.004891,0.000033,0.002302,0.000505,0.000272,0.000176,0.000149,0.000000,0.000558,0.000204,0.000105,0.000070,0.004941,0.004974,0.005055,0.005055,0.223059,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.189404,1.950390,1.189404,,1.189404,,0.996795,1.214691,1.154262,1.810856,,,,,,,,,,,1.189404,1.950390,0.996795,1.214691,,0.477432,
2,venus,DOUBLE,96,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,YES,Optimized CPU,96,AVX512,434,383,15,0.000001,0.000095,0.000064,0.000041,0.000033,0.000035,0.000177,0.000049,0.000049,0.004445,0.000967,0.000966,0.000228,0.000000,0.005962,0.000035,0.003076,0.000676,0.000312,0.000202,0.000178,0.000000,0.000570,0.000214,0.000110,0.000074,0.006014,0.006049,0.006141,0.006141,0.223059,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,1.533415,1.938321,1.533415,,,1.533415,1.008883,1.214691,1.038924,1.868222,,,,,,,,,,,1.533415,1.938321,1.008883,1.214691,,0.452015,
