Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006780,0.007032,0.001686,0.000538,0.000128,0.009380,0.000188,0.000187,0.166650,0.054831,0.054829,0.010670,0.000001,0.248614,0.000070,0.130536,0.028218,0.005987,0.001534,0.000367,0.000000,0.039144,0.009624,0.004951,0.001110,0.248647,0.248717,0.249013,0.249013,7.699478,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919033,1.326934,,0.919033,0.919033,,1.011189,1.014067,,,,,,,,,,,,,,,,,0.919033,1.326934,1.011189,1.014067,1.399587,0.502621,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006507,0.006999,0.001790,0.001044,0.000146,0.009927,0.000281,0.000280,0.168282,0.056553,0.056551,0.010456,0.000001,0.252127,0.000070,0.131488,0.028416,0.006183,0.001772,0.000432,0.000000,0.039837,0.009686,0.005863,0.001294,0.252164,0.252234,0.252516,0.252516,7.699478,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.916901,1.332181,,0.916901,,0.916901,1.002380,1.014067,,,,,,,,,,,,,,,,,0.916901,1.332181,1.002380,1.014067,1.437333,0.509920,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020410,0.014875,0.004076,0.001923,0.000410,0.021254,0.000471,0.000469,0.342954,0.125996,0.125995,0.021833,0.000001,0.533387,0.000070,0.264220,0.061536,0.012897,0.003474,0.000781,0.000000,0.088695,0.022605,0.010826,0.003877,0.533425,0.533496,0.533781,0.533781,16.651926,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.880631,1.121738,,0.880631,0.880631,,1.027234,1.017756,,,,,,,,,,,,,,,,,0.880631,1.121738,1.027234,1.017756,1.271097,0.486838,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020315,0.014956,0.004443,0.002086,0.000376,0.021846,0.000714,0.000713,0.348298,0.129705,0.129703,0.021501,0.000001,0.542862,0.000069,0.268275,0.061825,0.013543,0.003552,0.000832,0.000000,0.088612,0.023439,0.013465,0.004654,0.542906,0.542975,0.543259,0.543259,16.651926,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.872429,1.117612,,0.872429,,0.872429,1.012688,1.017756,,,,,,,,,,,,,,,,,0.872429,1.117612,1.012688,1.017756,1.278850,0.485755,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000016,0.000014,0.000014,0.000011,0.000009,0.000047,0.000011,0.000011,0.000375,0.000109,0.000108,0.000021,0.000000,0.000580,0.000007,0.000174,0.000068,0.000046,0.000047,0.000040,0.000000,0.000040,0.000023,0.000020,0.000022,0.000596,0.000603,0.000609,0.000609,0.007108,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.181372,1.562142,1.181372,,1.181372,,0.966174,1.525069,,,,,,,,,1.181372,1.562142,0.966174,1.525069,,0.858008,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000012,0.000010,0.000008,0.000044,0.000018,0.000018,0.000665,0.000116,0.000115,0.000020,0.000000,0.000899,0.000007,0.000351,0.000139,0.000074,0.000055,0.000043,0.000000,0.000041,0.000024,0.000025,0.000021,0.000916,0.000923,0.000928,0.000928,0.007108,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,2.176643,1.586875,2.176643,,,2.176643,0.976023,1.525069,,,,,,,,,2.176643,1.586875,0.976023,1.525069,,0.747796,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000121,0.000094,0.000024,0.000017,0.000013,0.000147,0.000027,0.000027,0.002628,0.001088,0.001087,0.000251,0.000000,0.004262,0.000014,0.001996,0.000345,0.000125,0.000076,0.000074,0.000000,0.000807,0.000194,0.000052,0.000042,0.004285,0.004300,0.004348,0.004348,0.079386,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.848314,1.536962,0.848314,,0.848314,,1.035200,1.389303,,,,,,,,,0.848314,1.536962,1.035200,1.389303,,0.516926,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000115,0.000087,0.000027,0.000015,0.000012,0.000138,0.000027,0.000026,0.004402,0.001064,0.001063,0.000246,0.000000,0.005974,0.000013,0.003439,0.000600,0.000207,0.000102,0.000082,0.000000,0.000764,0.000201,0.000062,0.000035,0.005996,0.006010,0.006040,0.006040,0.079386,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,0.980549,1.546574,0.980549,,,0.980549,1.070326,1.389303,,,,,,,,,0.980549,1.546574,1.070326,1.389303,,0.493288,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000225,0.000286,0.000046,0.000015,0.000009,0.000354,0.000013,0.000013,0.007467,0.001809,0.001808,0.000528,0.000000,0.010373,0.000018,0.005853,0.001181,0.000243,0.000121,0.000079,0.000000,0.001398,0.000298,0.000084,0.000041,0.010395,0.010412,0.010473,0.010473,0.205064,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.574094,2.121541,0.574094,,0.574094,,1.002884,1.683002,,,,,,,,,0.574094,2.121541,1.002884,1.683002,,0.494862,
2,venus,DOUBLE,24,64,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000260,0.000241,0.000042,0.000014,0.000010,0.000303,0.000013,0.000013,0.014571,0.001831,0.001830,0.000536,0.000000,0.017498,0.000052,0.011743,0.002090,0.000443,0.000194,0.000101,0.000000,0.001418,0.000303,0.000071,0.000041,0.017522,0.017575,0.017627,0.017627,0.205064,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,0.534188,2.108413,0.534188,,,0.534188,1.033268,1.683002,,,,,,,,,0.534188,2.108413,1.033268,1.683002,,0.499283,
