Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
5,conesHalfSize,FLOAT,24,64,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006914,0.007224,0.001707,0.000592,0.000129,0.009646,0.000274,0.000273,0.168591,0.059003,0.059000,0.010630,0.000001,0.254728,0.000075,0.131001,0.029396,0.006140,0.001608,0.000387,0.000000,0.040435,0.010715,0.006687,0.001343,0.254764,0.254834,0.255139,0.255139,7.712901,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.896966,1.324625,,0.896966,0.896966,,1.012058,0.993872,,,,,,,,,,,,,,,,,,,,,,,0.896966,1.324625,1.012058,0.993872,,,
5,conesHalfSize,FLOAT,24,64,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.006809,0.006989,0.001703,0.000691,0.000141,0.009502,0.000238,0.000237,0.169757,0.056291,0.056289,0.010515,0.000002,0.253167,0.000070,0.132459,0.028386,0.006610,0.001614,0.000452,0.000000,0.039915,0.010148,0.005084,0.001142,0.253206,0.253276,0.253575,0.253575,7.712901,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.913069,1.329863,,0.913069,,0.913069,1.005319,0.993872,,,,,,,,,,,,,,,,,,,,,,,0.913069,1.329863,1.005319,0.993872,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020486,0.014985,0.004009,0.001996,0.000329,0.021302,0.000527,0.000526,0.346363,0.127299,0.127296,0.022035,0.000001,0.538717,0.000070,0.267812,0.061691,0.013021,0.003385,0.000803,0.000000,0.090009,0.022731,0.011152,0.003553,0.538756,0.538826,0.539127,0.539127,16.773850,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871898,1.113585,,0.871898,0.871898,,1.022912,1.032314,,,,,,,,,,,,,,,,,,,,,,,0.871898,1.113585,1.022912,1.032314,,,
6,conesFullSizeCropped,FLOAT,24,64,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,900,750,3,0.000001,0.020376,0.015101,0.004090,0.002031,0.000324,0.021541,0.000598,0.000596,0.354412,0.135132,0.135129,0.021785,0.000001,0.556133,0.000071,0.269907,0.061614,0.018374,0.003724,0.000830,0.000000,0.090204,0.025916,0.014500,0.004647,0.556172,0.556242,0.556549,0.556549,16.773850,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851597,1.109489,,0.851597,,0.851597,0.999203,1.032314,,,,,,,,,,,,,,,,,,,,,,,0.851597,1.109489,0.999203,1.032314,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000017,0.000014,0.000014,0.000010,0.000009,0.000047,0.000012,0.000012,0.000378,0.000112,0.000112,0.000021,0.000000,0.000589,0.000008,0.000159,0.000065,0.000047,0.000048,0.000039,0.000000,0.000042,0.000025,0.000023,0.000021,0.000605,0.000613,0.000619,0.000619,0.007123,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,1.162165,1.558863,1.162165,,1.162165,,1.030856,1.509022,,,,,,,,,,,,,1.162165,1.558863,1.030856,1.509022,,,
0,tsukubaSetHalfSize,DOUBLE,24,64,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,192,144,3,0.000000,0.000019,0.000014,0.000012,0.000010,0.000009,0.000045,0.000018,0.000018,0.000687,0.000112,0.000111,0.000021,0.000000,0.000905,0.000008,0.000383,0.000134,0.000071,0.000055,0.000041,0.000000,0.000041,0.000024,0.000022,0.000021,0.000920,0.000928,0.000934,0.000934,0.007123,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,,2.164025,1.583544,2.164025,,,2.164025,0.988106,1.509022,,,,,,,,,,,,,2.164025,1.583544,0.988106,1.509022,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000114,0.000098,0.000024,0.000015,0.000012,0.000148,0.000026,0.000026,0.002684,0.001065,0.001064,0.000257,0.000000,0.004294,0.000016,0.002049,0.000373,0.000123,0.000068,0.000073,0.000000,0.000788,0.000193,0.000047,0.000039,0.004317,0.004332,0.004363,0.004363,0.080477,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.845386,1.516124,0.845386,,0.845386,,0.998933,1.443251,,,,,,,,,,,,,0.845386,1.516124,0.998933,1.443251,,,
1,tsukubaSet,DOUBLE,24,64,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,384,288,3,0.000000,0.000112,0.000106,0.000024,0.000029,0.000011,0.000166,0.000028,0.000028,0.004616,0.001044,0.001043,0.000255,0.000000,0.006222,0.000014,0.003577,0.000640,0.000208,0.000106,0.000082,0.000000,0.000771,0.000179,0.000058,0.000039,0.006240,0.006254,0.006296,0.006296,0.080477,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,,0.940638,1.525605,0.940638,,,0.940638,0.987621,1.443251,,,,,,,,,,,,,0.940638,1.525605,0.987621,1.443251,,,
2,venus,DOUBLE,24,64,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX512,434,383,3,0.000000,0.000224,0.000240,0.000042,0.000014,0.000010,0.000306,0.000013,0.000013,0.007353,0.001811,0.001810,0.000534,0.000000,0.010234,0.000018,0.005837,0.001074,0.000248,0.000122,0.000084,0.000000,0.001405,0.000298,0.000065,0.000041,0.010261,0.010279,0.010343,0.010343,0.207642,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.581357,2.095201,0.581357,,0.581357,,0.998187,1.662564,,,,,,,,,,,,,0.581357,2.095201,0.998187,1.528670,,,
2,venus,DOUBLE,24,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,24,AVX256,434,383,3,0.000000,0.000255,0.000197,0.000042,0.000014,0.000010,0.000261,0.000015,0.000014,0.013168,0.001522,0.001521,0.000512,0.000000,0.015708,0.000019,0.010566,0.001880,0.000455,0.000166,0.000096,0.000000,0.001099,0.000319,0.000074,0.000030,0.015739,0.015757,0.015810,0.015810,0.207642,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,,0.595559,2.082237,0.595559,,,0.595559,0.992881,1.350147,,0.919465,,,,,,,,,,,0.595559,2.082237,0.992881,1.528670,,,
