Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown),
5,conesHalfSize,FLOAT,64,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002453,0.004075,0.000747,0.000155,0.000058,0.005029,0.000060,0.000057,0.118424,0.020375,0.020373,0.008503,0.000002,0.154733,0.000252,0.090278,0.022201,0.003968,0.001175,0.000340,0.000000,0.015098,0.003917,0.001161,0.000235,0.154787,0.154991,0.155097,0.155097,7.401988,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.475530,1.380264,,1.475530,1.475530,,1.025006,1.116365,,,,,,,,,,,,,,,,,,,,1.475530,1.380264,1.025006,1.116365,1.412060,0.466126,
5,conesHalfSize,FLOAT,64,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.002377,0.004330,0.000768,0.000137,0.000051,0.005287,0.000058,0.000056,0.133990,0.020348,0.020347,0.008669,0.000002,0.172778,0.000202,0.103818,0.024245,0.004269,0.001307,0.000373,0.000000,0.015277,0.003924,0.001023,0.000228,0.172836,0.173034,0.173145,0.173145,7.401988,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337212,1.385722,,1.337212,,1.337212,0.958314,1.116365,,,,,,,,,,,,,,,,,,,,1.337212,1.385722,0.958314,1.116365,1.465832,0.476292,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005633,0.008403,0.002045,0.000391,0.000082,0.011051,0.000113,0.000111,0.252752,0.044310,0.044308,0.018270,0.000002,0.329771,0.000246,0.193699,0.045373,0.010186,0.002708,0.000685,0.000000,0.033429,0.008011,0.002394,0.000499,0.329825,0.330026,0.330136,0.330136,14.535008,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.423849,1.285111,,1.423849,1.423849,,0.967695,1.015704,,,,,,,,,,,,,,,,,,,,1.423849,1.285111,0.967695,1.015704,1.466401,0.479499,
6,conesFullSizeCropped,FLOAT,64,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,900,750,3,0.000001,0.005625,0.008808,0.002121,0.000568,0.000080,0.011719,0.000107,0.000105,0.249129,0.043435,0.043432,0.017914,0.000002,0.334915,0.000229,0.188298,0.046833,0.010518,0.002751,0.000722,0.000000,0.032456,0.008107,0.002715,0.000487,0.334973,0.335202,0.335320,0.335320,14.535008,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413439,1.280385,,1.413439,,1.413439,0.980517,1.015704,,,,,,,,,,,,,,,,,,,,1.413439,1.280385,0.980517,1.015704,1.502591,0.503397,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,32,NEON,192,144,3,0.000000,0.000013,0.000013,0.000011,0.000011,0.000011,0.000046,0.000006,0.000006,0.000408,0.000090,0.000089,0.000024,0.000000,0.000592,0.000011,0.000204,0.000078,0.000046,0.000037,0.000036,0.000000,0.000043,0.000020,0.000014,0.000012,0.000619,0.000635,0.000639,0.000639,0.010539,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.125455,1.053544,1.125455,,1.125455,,1.133797,1.642688,,,,,,,,,,,1.125455,1.053544,1.133797,1.642688,,0.768021,
0,tsukubaSetHalfSize,DOUBLE,64,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,192,144,3,0.000000,0.000013,0.000021,0.000020,0.000019,0.000019,0.000080,0.000010,0.000010,0.000771,0.000095,0.000095,0.000033,0.000000,0.001008,0.000019,0.000398,0.000158,0.000082,0.000065,0.000065,0.000000,0.000032,0.000023,0.000021,0.000020,0.001028,0.001046,0.001049,0.001049,0.010539,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,,1.925143,1.070224,1.925143,,,1.925143,1.018906,1.642688,,,,,,,,,,,1.925143,1.070224,1.018906,1.642688,,0.709054,
1,tsukubaSet,DOUBLE,64,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000039,0.000033,0.000025,0.000021,0.000020,0.000099,0.000012,0.000012,0.001480,0.000251,0.000250,0.000077,0.000000,0.001958,0.000020,0.000895,0.000296,0.000124,0.000081,0.000079,0.000000,0.000147,0.000055,0.000026,0.000022,0.001980,0.002000,0.002014,0.002014,0.093257,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.830872,1.308350,1.830872,,1.830872,,1.020969,2.385042,,,,,,,,,,,1.830872,1.308350,1.020969,2.385042,,0.660487,
1,tsukubaSet,DOUBLE,64,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,384,288,3,0.000000,0.000038,0.000033,0.000024,0.000021,0.000020,0.000097,0.000019,0.000018,0.003413,0.000235,0.000234,0.000076,0.000000,0.004720,0.000045,0.002249,0.000725,0.000269,0.000108,0.000073,0.000000,0.000140,0.000047,0.000027,0.000022,0.004744,0.004789,0.004804,0.004804,0.093257,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,,1.232740,1.316531,1.232740,,,1.232740,0.817619,2.385042,,,,,,,,,,,1.232740,1.316531,0.817619,2.385042,,0.474370,
2,venus,DOUBLE,64,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000057,0.000093,0.000045,0.000025,0.000022,0.000177,0.000015,0.000015,0.004851,0.000564,0.000564,0.000183,0.000000,0.005855,0.000024,0.003401,0.000895,0.000334,0.000136,0.000084,0.000000,0.000316,0.000158,0.000057,0.000035,0.005889,0.005913,0.005939,0.005939,0.279596,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.012497,1.556005,1.012497,,1.012497,,1.016904,1.120941,,,,,,,,,,,1.012497,1.556005,1.016904,1.120941,,0.529583,
2,venus,DOUBLE,64,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,64,NEON,434,383,3,0.000000,0.000063,0.000071,0.000037,0.000025,0.000022,0.000155,0.000016,0.000015,0.005575,0.000563,0.000562,0.000201,0.000000,0.006571,0.000024,0.003921,0.000999,0.000379,0.000147,0.000093,0.000000,0.000315,0.000158,0.000060,0.000033,0.006606,0.006630,0.006657,0.006657,0.279596,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,,,,,,,,,,1.414512,1.546377,1.414512,,,1.414512,1.002317,1.120941,,,,,,,,,,,1.414512,1.546377,1.002317,1.120941,,0.505812,
