,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup over AVX256 CPU vectorization - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup over AVX256 CPU vectorization - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
Average Speedup,1.65827,1.14307,1.23755,2.18092,1.1006,1.31619,1.04086,2.4868,1.06758,1.37278,1.04472,1.64758,1.11926,1.3239,1.13791,3.31689,1.69593,1.17542,1.09984,1.33498,0.601059,1.33541,
Median Speedup,1.45151,1.16692,1.24764,2.36282,1.00839,1.23547,1.04212,2.47755,1.00344,1.22687,1.01847,1.57072,1.02111,1.2316,1.14381,3.68705,1.48797,1.153,1.00633,1.23547,0.621369,1.25726,
